RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,269",+/-84,(X),(X),"10,135",+/-60,(X),(X),"11,134",+/-39,(X),(X)
High school graduate or higher,"18,808",+/-318,88.4%,+/-1.4,"9,032",+/-210,89.1%,+/-1.9,"9,776",+/-209,87.8%,+/-1.9
Bachelor's degree or higher,"3,966",+/-361,18.6%,+/-1.7,"1,894",+/-284,18.7%,+/-2.8,"2,072",+/-218,18.6%,+/-1.9
"White alone, not Hispanic or Latino","21,084",+/-22,(X),(X),"9,987",+/-11,(X),(X),"11,097",+/-11,(X),(X)
High school graduate or higher,"18,648",+/-297,88.4%,+/-1.4,"8,901",+/-193,89.1%,+/-1.9,"9,747",+/-204,87.8%,+/-1.9
Bachelor's degree or higher,"3,926",+/-353,18.6%,+/-1.7,"1,858",+/-273,18.6%,+/-2.7,"2,068",+/-219,18.6%,+/-2.0
Black alone,106,+/-77,(X),(X),67,+/-57,(X),(X),39,+/-41,(X),(X)
High school graduate or higher,78,+/-58,73.6%,+/-28.9,67,+/-57,100.0%,+/-34.3,11,+/-18,28.2%,+/-54.4
Bachelor's degree or higher,0,+/-24,0.0%,+/-24.3,0,+/-24,0.0%,+/-34.3,0,+/-24,0.0%,+/-45.6
American Indian or Alaska Native alone,177,+/-79,(X),(X),125,+/-64,(X),(X),52,+/-40,(X),(X)
High school graduate or higher,152,+/-79,85.9%,+/-12.0,108,+/-62,86.4%,+/-13.8,44,+/-38,84.6%,+/-23.5
Bachelor's degree or higher,22,+/-25,12.4%,+/-13.4,8,+/-13,6.4%,+/-10.5,14,+/-22,26.9%,+/-35.8
Asian alone,24,+/-37,(X),(X),13,+/-25,(X),(X),11,+/-19,(X),(X)
High school graduate or higher,15,+/-27,62.5%,+/-51.7,13,+/-25,100.0%,+/-79.0,2,+/-4,18.2%,+/-46.9
Bachelor's degree or higher,13,+/-25,54.2%,+/-48.1,13,+/-25,100.0%,+/-79.0,0,+/-24,0.0%,+/-85.9
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,213,+/-86,(X),(X),89,+/-55,(X),(X),124,+/-52,(X),(X)
High school graduate or higher,114,+/-64,53.5%,+/-17.7,59,+/-43,66.3%,+/-27.8,55,+/-38,44.4%,+/-21.4
Bachelor's degree or higher,0,+/-24,0.0%,+/-13.1,0,+/-24,0.0%,+/-27.9,0,+/-24,0.0%,+/-21.3
Two or more races,182,+/-80,(X),(X),100,+/-56,(X),(X),82,+/-53,(X),(X)
High school graduate or higher,155,+/-73,85.2%,+/-11.3,85,+/-53,85.0%,+/-16.9,70,+/-46,85.4%,+/-22.1
Bachelor's degree or higher,19,+/-20,10.4%,+/-11.8,11,+/-16,11.0%,+/-16.6,8,+/-12,9.8%,+/-15.4
Hispanic or Latino Origin,392,+/-43,(X),(X),237,+/-29,(X),(X),155,+/-39,(X),(X)
High school graduate or higher,261,+/-56,66.6%,+/-13.7,183,+/-39,77.2%,+/-15.8,78,+/-39,50.3%,+/-19.1
Bachelor's degree or higher,40,+/-51,10.2%,+/-13.0,36,+/-50,15.2%,+/-20.3,4,+/-8,2.6%,+/-5.4
