Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,251",+/-100,(X),(X),"1,714",+/-63,(X),(X),"1,537",+/-55,(X),(X)
Less than high school graduate,388,+/-102,11.9%,+/-3.2,139,+/-58,8.1%,+/-3.4,249,+/-92,16.2%,+/-6.1
High school graduate (includes equivalency),"1,269",+/-169,39.0%,+/-5.3,784,+/-126,45.7%,+/-7.4,485,+/-110,31.6%,+/-7.0
Some college or associate's degree,"1,410",+/-164,43.4%,+/-4.9,689,+/-114,40.2%,+/-6.8,721,+/-114,46.9%,+/-7.2
Bachelor's degree or higher,184,+/-130,5.7%,+/-3.9,102,+/-81,6.0%,+/-4.6,82,+/-55,5.3%,+/-3.5
Population 25 years and over,"22,061",+/-127,(X),(X),"10,589",+/-103,(X),(X),"11,472",+/-68,(X),(X)
Less than 9th grade,813,+/-183,3.7%,+/-0.8,504,+/-140,4.8%,+/-1.3,309,+/-91,2.7%,+/-0.8
"9th to 12th grade, no diploma","1,803",+/-231,8.2%,+/-1.0,734,+/-144,6.9%,+/-1.4,"1,069",+/-168,9.3%,+/-1.5
High school graduate (includes equivalency),"9,365",+/-379,42.5%,+/-1.7,"4,637",+/-271,43.8%,+/-2.5,"4,728",+/-263,41.2%,+/-2.3
"Some college, no degree","4,359",+/-392,19.8%,+/-1.8,"2,176",+/-271,20.5%,+/-2.5,"2,183",+/-264,19.0%,+/-2.3
Associate's degree,"1,570",+/-241,7.1%,+/-1.1,491,+/-119,4.6%,+/-1.1,"1,079",+/-191,9.4%,+/-1.7
Bachelor's degree,"2,428",+/-283,11.0%,+/-1.3,"1,206",+/-179,11.4%,+/-1.7,"1,222",+/-182,10.7%,+/-1.6
Graduate or professional degree,"1,723",+/-361,7.8%,+/-1.6,841,+/-303,7.9%,+/-2.9,882,+/-160,7.7%,+/-1.4
Percent high school graduate or higher,(X),(X),88.1%,+/-1.3,(X),(X),88.3%,+/-1.7,(X),(X),88.0%,+/-1.6
Percent bachelor's degree or higher,(X),(X),18.8%,+/-2.1,(X),(X),19.3%,+/-3.3,(X),(X),18.3%,+/-2.1
Population 25 to 34 years,"3,308",+/-70,(X),(X),"1,706",+/-65,(X),(X),"1,602",+/-27,(X),(X)
High school graduate or higher,"3,070",+/-114,92.8%,+/-2.7,"1,581",+/-96,92.7%,+/-4.2,"1,489",+/-61,92.9%,+/-3.6
Bachelor's degree or higher,853,+/-173,25.8%,+/-5.2,324,+/-111,19.0%,+/-6.5,529,+/-143,33.0%,+/-9.0
Population 35 to 44 years,"3,684",+/-94,(X),(X),"1,842",+/-60,(X),(X),"1,842",+/-55,(X),(X)
High school graduate or higher,"3,369",+/-117,91.4%,+/-2.5,"1,715",+/-77,93.1%,+/-3.0,"1,654",+/-76,89.8%,+/-4.0
Bachelor's degree or higher,748,+/-176,20.3%,+/-4.8,428,+/-137,23.2%,+/-7.4,320,+/-81,17.4%,+/-4.4
Population 45 to 64 years,"8,873",+/-102,(X),(X),"4,392",+/-90,(X),(X),"4,481",+/-56,(X),(X)
High school graduate or higher,"7,966",+/-208,89.8%,+/-2.2,"3,941",+/-137,89.7%,+/-2.6,"4,025",+/-135,89.8%,+/-2.9
Bachelor's degree or higher,"1,455",+/-310,16.4%,+/-3.6,785,+/-272,17.9%,+/-6.3,670,+/-123,15.0%,+/-2.8
Population 65 years and over,"6,196",+/-75,(X),(X),"2,649",+/-53,(X),(X),"3,547",+/-49,(X),(X)
High school graduate or higher,"5,040",+/-162,81.3%,+/-2.7,"2,114",+/-95,79.8%,+/-3.6,"2,926",+/-116,82.5%,+/-3.1
Bachelor's degree or higher,"1,095",+/-172,17.7%,+/-2.8,510,+/-113,19.3%,+/-4.3,585,+/-112,16.5%,+/-3.1
