Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,178",+/-29,(X),(X),639,+/-23,(X),(X),539,+/-20,(X),(X)
Less than high school graduate,311,+/-93,26.4%,+/-7.8,182,+/-60,28.5%,+/-9.1,129,+/-62,23.9%,+/-11.6
High school graduate (includes equivalency),345,+/-101,29.3%,+/-8.6,260,+/-90,40.7%,+/-14.3,85,+/-51,15.8%,+/-9.3
Some college or associate's degree,475,+/-99,40.3%,+/-8.3,194,+/-69,30.4%,+/-10.9,281,+/-62,52.1%,+/-11.1
Bachelor's degree or higher,47,+/-34,4.0%,+/-2.9,3,+/-7,0.5%,+/-1.1,44,+/-31,8.2%,+/-5.8
Population 25 years and over,"10,981",+/-40,(X),(X),"5,332",+/-67,(X),(X),"5,649",+/-50,(X),(X)
Less than 9th grade,435,+/-121,4.0%,+/-1.1,165,+/-77,3.1%,+/-1.4,270,+/-90,4.8%,+/-1.6
"9th to 12th grade, no diploma",840,+/-167,7.6%,+/-1.5,475,+/-128,8.9%,+/-2.4,365,+/-118,6.5%,+/-2.1
High school graduate (includes equivalency),"4,444",+/-346,40.5%,+/-3.1,"2,069",+/-235,38.8%,+/-4.3,"2,375",+/-224,42.0%,+/-4.0
"Some college, no degree","2,159",+/-283,19.7%,+/-2.6,"1,101",+/-198,20.6%,+/-3.8,"1,058",+/-176,18.7%,+/-3.1
Associate's degree,974,+/-181,8.9%,+/-1.7,493,+/-125,9.2%,+/-2.4,481,+/-129,8.5%,+/-2.3
Bachelor's degree,"1,462",+/-211,13.3%,+/-1.9,759,+/-160,14.2%,+/-3.0,703,+/-140,12.4%,+/-2.5
Graduate or professional degree,667,+/-140,6.1%,+/-1.3,270,+/-88,5.1%,+/-1.6,397,+/-99,7.0%,+/-1.7
Percent high school graduate or higher,(X),(X),88.4%,+/-1.8,(X),(X),88.0%,+/-2.6,(X),(X),88.8%,+/-2.4
Percent bachelor's degree or higher,(X),(X),19.4%,+/-2.2,(X),(X),19.3%,+/-3.4,(X),(X),19.5%,+/-2.7
Population 25 to 34 years,"1,533",+/-53,(X),(X),815,+/-53,(X),(X),718,+/-4,(X),(X)
High school graduate or higher,"1,432",+/-78,93.4%,+/-3.4,754,+/-72,92.5%,+/-5.0,678,+/-32,94.4%,+/-4.5
Bachelor's degree or higher,340,+/-101,22.2%,+/-6.4,153,+/-73,18.8%,+/-8.4,187,+/-58,26.0%,+/-8.1
Population 35 to 44 years,"1,871",+/-30,(X),(X),923,+/-26,(X),(X),948,+/-17,(X),(X)
High school graduate or higher,"1,809",+/-43,96.7%,+/-1.8,895,+/-32,97.0%,+/-2.3,914,+/-25,96.4%,+/-2.2
Bachelor's degree or higher,456,+/-115,24.4%,+/-6.1,202,+/-71,21.9%,+/-7.7,254,+/-87,26.8%,+/-9.0
Population 45 to 64 years,"4,621",+/-48,(X),(X),"2,307",+/-39,(X),(X),"2,314",+/-40,(X),(X)
High school graduate or higher,"4,141",+/-136,89.6%,+/-3.1,"2,010",+/-104,87.1%,+/-4.5,"2,131",+/-89,92.1%,+/-3.9
Bachelor's degree or higher,836,+/-155,18.1%,+/-3.4,446,+/-114,19.3%,+/-5.0,390,+/-97,16.9%,+/-4.2
Population 65 years and over,"2,956",+/-53,(X),(X),"1,287",+/-27,(X),(X),"1,669",+/-43,(X),(X)
High school graduate or higher,"2,324",+/-136,78.6%,+/-4.2,"1,033",+/-92,80.3%,+/-6.5,"1,291",+/-105,77.4%,+/-5.7
Bachelor's degree or higher,497,+/-117,16.8%,+/-3.9,228,+/-87,17.7%,+/-6.8,269,+/-67,16.1%,+/-3.9
