Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,175",+/-31,(X),(X),637,+/-22,(X),(X),538,+/-20,(X),(X)
Less than high school graduate,291,+/-101,24.8%,+/-8.6,141,+/-59,22.1%,+/-9.1,150,+/-65,27.9%,+/-12.2
High school graduate (includes equivalency),364,+/-97,31.0%,+/-8.3,266,+/-83,41.8%,+/-13.0,98,+/-53,18.2%,+/-9.8
Some college or associate's degree,446,+/-111,38.0%,+/-9.3,223,+/-71,35.0%,+/-11.3,223,+/-76,41.4%,+/-13.9
Bachelor's degree or higher,74,+/-50,6.3%,+/-4.3,7,+/-11,1.1%,+/-1.7,67,+/-48,12.5%,+/-8.9
Population 25 years and over,"10,926",+/-34,(X),(X),"5,276",+/-70,(X),(X),"5,650",+/-73,(X),(X)
Less than 9th grade,433,+/-123,4.0%,+/-1.1,145,+/-82,2.7%,+/-1.6,288,+/-83,5.1%,+/-1.5
"9th to 12th grade, no diploma",850,+/-177,7.8%,+/-1.6,470,+/-136,8.9%,+/-2.6,380,+/-134,6.7%,+/-2.3
High school graduate (includes equivalency),"4,301",+/-395,39.4%,+/-3.6,"2,064",+/-277,39.1%,+/-5.3,"2,237",+/-215,39.6%,+/-3.8
"Some college, no degree","2,141",+/-329,19.6%,+/-3.0,"1,072",+/-227,20.3%,+/-4.3,"1,069",+/-176,18.9%,+/-3.1
Associate's degree,900,+/-182,8.2%,+/-1.7,444,+/-143,8.4%,+/-2.7,456,+/-112,8.1%,+/-2.0
Bachelor's degree,"1,462",+/-234,13.4%,+/-2.1,743,+/-158,14.1%,+/-3.0,719,+/-146,12.7%,+/-2.6
Graduate or professional degree,839,+/-157,7.7%,+/-1.4,338,+/-89,6.4%,+/-1.7,501,+/-120,8.9%,+/-2.1
Percent high school graduate or higher,(X),(X),88.3%,+/-1.9,(X),(X),88.3%,+/-3.0,(X),(X),88.2%,+/-2.3
Percent bachelor's degree or higher,(X),(X),21.1%,+/-2.2,(X),(X),20.5%,+/-3.2,(X),(X),21.6%,+/-2.9
Population 25 to 34 years,"1,484",+/-31,(X),(X),778,+/-31,(X),(X),706,+/-4,(X),(X)
High school graduate or higher,"1,380",+/-59,93.0%,+/-3.9,730,+/-39,93.8%,+/-4.7,650,+/-42,92.1%,+/-5.8
Bachelor's degree or higher,365,+/-110,24.6%,+/-7.4,156,+/-76,20.1%,+/-9.7,209,+/-64,29.6%,+/-9.0
Population 35 to 44 years,"1,818",+/-53,(X),(X),873,+/-16,(X),(X),945,+/-53,(X),(X)
High school graduate or higher,"1,725",+/-40,94.9%,+/-3.2,846,+/-26,96.9%,+/-2.4,879,+/-25,93.0%,+/-5.6
Bachelor's degree or higher,419,+/-107,23.0%,+/-5.8,168,+/-65,19.2%,+/-7.4,251,+/-86,26.6%,+/-9.2
Population 45 to 64 years,"4,638",+/-32,(X),(X),"2,314",+/-47,(X),(X),"2,324",+/-41,(X),(X)
High school graduate or higher,"4,195",+/-117,90.4%,+/-2.6,"2,026",+/-108,87.6%,+/-4.7,"2,169",+/-49,93.3%,+/-2.2
Bachelor's degree or higher,924,+/-143,19.9%,+/-3.1,477,+/-95,20.6%,+/-4.1,447,+/-106,19.2%,+/-4.6
Population 65 years and over,"2,986",+/-31,(X),(X),"1,311",+/-18,(X),(X),"1,675",+/-29,(X),(X)
High school graduate or higher,"2,343",+/-134,78.5%,+/-4.5,"1,059",+/-94,80.8%,+/-7.2,"1,284",+/-77,76.7%,+/-4.7
Bachelor's degree or higher,593,+/-133,19.9%,+/-4.4,280,+/-96,21.4%,+/-7.3,313,+/-71,18.7%,+/-4.3
