RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"10,721",+/-81,(X),(X),"5,186",+/-73,(X),(X),"5,535",+/-29,(X),(X)
High school graduate or higher,"9,564",+/-199,89.2%,+/-1.7,"4,620",+/-152,89.1%,+/-2.6,"4,944",+/-131,89.3%,+/-2.4
Bachelor's degree or higher,"2,091",+/-241,19.5%,+/-2.2,"1,016",+/-181,19.6%,+/-3.5,"1,075",+/-151,19.4%,+/-2.7
"White alone, not Hispanic or Latino","10,640",+/-18,(X),(X),"5,123",+/-18,(X),(X),"5,517",+/-18,(X),(X)
High school graduate or higher,"9,500",+/-185,89.3%,+/-1.7,"4,559",+/-133,89.0%,+/-2.6,"4,941",+/-132,89.6%,+/-2.4
Bachelor's degree or higher,"2,091",+/-241,19.7%,+/-2.3,"1,016",+/-181,19.8%,+/-3.5,"1,075",+/-151,19.5%,+/-2.7
Black alone,23,+/-21,(X),(X),7,+/-8,(X),(X),16,+/-20,(X),(X)
High school graduate or higher,21,+/-21,91.3%,+/-29.6,5,+/-6,71.4%,+/-70.7,16,+/-20,100.0%,+/-71.2
Bachelor's degree or higher,16,+/-20,69.6%,+/-44.9,0,+/-18,0.0%,+/-100.0,16,+/-20,100.0%,+/-71.2
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,9,+/-15,(X),(X),0,+/-18,(X),(X),9,+/-15,(X),(X)
High school graduate or higher,0,+/-18,0.0%,+/-95.0,0,+/-18,-,**,0,+/-18,0.0%,+/-95.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-95.0,0,+/-18,-,**,0,+/-18,0.0%,+/-95.0
Native Hawaiian and Other Pacific Islander alone,28,+/-41,(X),(X),28,+/-41,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,28,+/-41,100.0%,+/-53.8,28,+/-41,100.0%,+/-53.8,0,+/-18,-,**
Bachelor's degree or higher,13,+/-19,46.4%,+/-21.5,13,+/-19,46.4%,+/-21.5,0,+/-18,-,**
Some other race alone,109,+/-64,(X),(X),54,+/-53,(X),(X),55,+/-32,(X),(X)
High school graduate or higher,20,+/-38,18.3%,+/-43.7,0,+/-18,0.0%,+/-38.8,20,+/-38,36.4%,+/-54.3
Bachelor's degree or higher,0,+/-18,0.0%,+/-23.7,0,+/-18,0.0%,+/-38.8,0,+/-18,0.0%,+/-38.4
Two or more races,91,+/-31,(X),(X),57,+/-34,(X),(X),34,+/-24,(X),(X)
High school graduate or higher,73,+/-33,80.2%,+/-25.6,39,+/-32,68.4%,+/-38.3,34,+/-24,100.0%,+/-48.9
Bachelor's degree or higher,9,+/-17,9.9%,+/-18.3,0,+/-18,0.0%,+/-37.7,9,+/-17,26.5%,+/-48.6
Hispanic or Latino Origin,190,+/-22,(X),(X),117,+/-42,(X),(X),73,+/-40,(X),(X)
High school graduate or higher,84,+/-89,44.2%,+/-41.4,61,+/-72,52.1%,+/-50.8,23,+/-39,31.5%,+/-40.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-14.6,0,+/-18,0.0%,+/-22.4,0,+/-18,0.0%,+/-32.3
