RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"10,623",+/-60,(X),(X),"5,132",+/-36,(X),(X),"5,491",+/-36,(X),(X)
High school graduate or higher,"9,507",+/-204,89.5%,+/-1.9,"4,588",+/-156,89.4%,+/-2.9,"4,919",+/-112,89.6%,+/-2.1
Bachelor's degree or higher,"2,248",+/-241,21.2%,+/-2.2,"1,054",+/-167,20.5%,+/-3.2,"1,194",+/-163,21.7%,+/-3.0
"White alone, not Hispanic or Latino","10,566",+/-18,(X),(X),"5,102",+/-18,(X),(X),"5,464",+/-18,(X),(X)
High school graduate or higher,"9,479",+/-201,89.7%,+/-1.9,"4,560",+/-151,89.4%,+/-3.0,"4,919",+/-112,90.0%,+/-2.1
Bachelor's degree or higher,"2,248",+/-241,21.3%,+/-2.3,"1,054",+/-167,20.7%,+/-3.3,"1,194",+/-163,21.9%,+/-3.0
Black alone,25,+/-24,(X),(X),7,+/-8,(X),(X),18,+/-23,(X),(X)
High school graduate or higher,23,+/-24,92.0%,+/-21.7,5,+/-6,71.4%,+/-62.3,18,+/-23,100.0%,+/-67.2
Bachelor's degree or higher,18,+/-23,72.0%,+/-36.7,0,+/-18,0.0%,+/-100.0,18,+/-23,100.0%,+/-67.2
American Indian or Alaska Native alone,2,+/-4,(X),(X),0,+/-18,(X),(X),2,+/-4,(X),(X)
High school graduate or higher,2,+/-4,100.0%,+/-100.0,0,+/-18,-,**,2,+/-4,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Asian alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Native Hawaiian and Other Pacific Islander alone,26,+/-39,(X),(X),26,+/-39,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,26,+/-39,100.0%,+/-55.9,26,+/-39,100.0%,+/-55.9,0,+/-18,-,**
Bachelor's degree or higher,12,+/-18,46.2%,+/-25.5,12,+/-18,46.2%,+/-25.5,0,+/-18,-,**
Some other race alone,143,+/-59,(X),(X),47,+/-51,(X),(X),96,+/-67,(X),(X)
High school graduate or higher,0,+/-18,0.0%,+/-18.8,0,+/-18,0.0%,+/-41.6,0,+/-18,0.0%,+/-26.3
Bachelor's degree or higher,0,+/-18,0.0%,+/-18.8,0,+/-18,0.0%,+/-41.6,0,+/-18,0.0%,+/-26.3
Two or more races,107,+/-35,(X),(X),64,+/-38,(X),(X),43,+/-31,(X),(X)
High school graduate or higher,85,+/-42,79.4%,+/-29.8,42,+/-35,65.6%,+/-44.7,43,+/-31,100.0%,+/-43.5
Bachelor's degree or higher,23,+/-27,21.5%,+/-24.5,15,+/-23,23.4%,+/-37.4,8,+/-16,18.6%,+/-38.1
Hispanic or Latino Origin,202,+/-21,(X),(X),77,+/-48,(X),(X),125,+/-65,(X),(X)
High school graduate or higher,30,+/-36,14.9%,+/-17.3,28,+/-34,36.4%,+/-46.5,2,+/-4,1.6%,+/-3.6
Bachelor's degree or higher,0,+/-18,0.0%,+/-13.8,0,+/-18,0.0%,+/-31.1,0,+/-18,0.0%,+/-21.1
