Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,550",+/-129,(X),(X),"1,823",+/-89,(X),(X),"1,727",+/-72,(X),(X)
Less than high school graduate,711,+/-179,20.0%,+/-4.8,270,+/-97,14.8%,+/-5.2,441,+/-133,25.5%,+/-7.4
High school graduate (includes equivalency),"1,507",+/-252,42.5%,+/-7.0,984,+/-161,54.0%,+/-8.7,523,+/-160,30.3%,+/-9.3
Some college or associate's degree,"1,173",+/-224,33.0%,+/-6.4,497,+/-141,27.3%,+/-7.5,676,+/-149,39.1%,+/-8.7
Bachelor's degree or higher,159,+/-68,4.5%,+/-1.9,72,+/-60,3.9%,+/-3.3,87,+/-53,5.0%,+/-3.1
Population 25 years and over,"29,371",+/-175,(X),(X),"14,380",+/-163,(X),(X),"14,991",+/-94,(X),(X)
Less than 9th grade,"1,245",+/-206,4.2%,+/-0.7,678,+/-140,4.7%,+/-1.0,567,+/-127,3.8%,+/-0.8
"9th to 12th grade, no diploma","2,424",+/-280,8.3%,+/-0.9,"1,309",+/-195,9.1%,+/-1.3,"1,115",+/-175,7.4%,+/-1.2
High school graduate (includes equivalency),"14,130",+/-552,48.1%,+/-1.8,"6,768",+/-377,47.1%,+/-2.6,"7,362",+/-360,49.1%,+/-2.4
"Some college, no degree","4,897",+/-475,16.7%,+/-1.6,"2,251",+/-240,15.7%,+/-1.7,"2,646",+/-331,17.7%,+/-2.2
Associate's degree,"2,266",+/-284,7.7%,+/-1.0,"1,000",+/-190,7.0%,+/-1.3,"1,266",+/-221,8.4%,+/-1.5
Bachelor's degree,"2,879",+/-340,9.8%,+/-1.2,"1,560",+/-235,10.8%,+/-1.6,"1,319",+/-202,8.8%,+/-1.4
Graduate or professional degree,"1,530",+/-252,5.2%,+/-0.9,814,+/-173,5.7%,+/-1.2,716,+/-145,4.8%,+/-1.0
Percent high school graduate or higher,(X),(X),87.5%,+/-1.1,(X),(X),86.2%,+/-1.6,(X),(X),88.8%,+/-1.4
Percent bachelor's degree or higher,(X),(X),15.0%,+/-1.3,(X),(X),16.5%,+/-1.8,(X),(X),13.6%,+/-1.5
Population 25 to 34 years,"5,459",+/-178,(X),(X),"2,706",+/-145,(X),(X),"2,753",+/-116,(X),(X)
High school graduate or higher,"4,936",+/-199,90.4%,+/-2.3,"2,413",+/-139,89.2%,+/-3.6,"2,523",+/-148,91.6%,+/-3.0
Bachelor's degree or higher,920,+/-176,16.9%,+/-3.2,537,+/-129,19.8%,+/-4.6,383,+/-92,13.9%,+/-3.2
Population 35 to 44 years,"5,864",+/-192,(X),(X),"3,111",+/-143,(X),(X),"2,753",+/-106,(X),(X)
High school graduate or higher,"5,346",+/-242,91.2%,+/-2.7,"2,780",+/-203,89.4%,+/-4.4,"2,566",+/-127,93.2%,+/-3.3
Bachelor's degree or higher,"1,104",+/-183,18.8%,+/-3.0,506,+/-149,16.3%,+/-4.4,598,+/-132,21.7%,+/-4.7
Population 45 to 64 years,"11,533",+/-162,(X),(X),"5,712",+/-115,(X),(X),"5,821",+/-95,(X),(X)
High school graduate or higher,"10,330",+/-243,89.6%,+/-1.8,"4,986",+/-179,87.3%,+/-2.8,"5,344",+/-125,91.8%,+/-2.0
Bachelor's degree or higher,"1,619",+/-263,14.0%,+/-2.3,862,+/-191,15.1%,+/-3.3,757,+/-151,13.0%,+/-2.6
Population 65 years and over,"6,515",+/-64,(X),(X),"2,851",+/-45,(X),(X),"3,664",+/-42,(X),(X)
High school graduate or higher,"5,090",+/-218,78.1%,+/-3.1,"2,214",+/-142,77.7%,+/-4.6,"2,876",+/-150,78.5%,+/-4.0
Bachelor's degree or higher,766,+/-153,11.8%,+/-2.3,469,+/-122,16.5%,+/-4.3,297,+/-83,8.1%,+/-2.3
