RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"27,602",+/-157,(X),(X),"13,377",+/-114,(X),(X),"14,225",+/-78,(X),(X)
High school graduate or higher,"24,315",+/-430,88.1%,+/-1.5,"11,692",+/-282,87.4%,+/-1.9,"12,623",+/-260,88.7%,+/-1.8
Bachelor's degree or higher,"4,447",+/-446,16.1%,+/-1.6,"2,217",+/-291,16.6%,+/-2.2,"2,230",+/-265,15.7%,+/-1.9
"White alone, not Hispanic or Latino","27,185",+/-18,(X),(X),"13,105",+/-24,(X),(X),"14,080",+/-18,(X),(X)
High school graduate or higher,"23,995",+/-400,88.3%,+/-1.5,"11,458",+/-251,87.4%,+/-1.9,"12,537",+/-246,89.0%,+/-1.8
Bachelor's degree or higher,"4,395",+/-436,16.2%,+/-1.6,"2,174",+/-285,16.6%,+/-2.2,"2,221",+/-264,15.8%,+/-1.9
Black alone,161,+/-97,(X),(X),148,+/-93,(X),(X),13,+/-19,(X),(X)
High school graduate or higher,110,+/-85,68.3%,+/-23.5,109,+/-85,73.6%,+/-20.4,1,+/-4,7.7%,+/-39.9
Bachelor's degree or higher,0,+/-24,0.0%,+/-16.9,0,+/-24,0.0%,+/-18.2,0,+/-24,0.0%,+/-79.0
American Indian or Alaska Native alone,118,+/-47,(X),(X),70,+/-39,(X),(X),48,+/-25,(X),(X)
High school graduate or higher,88,+/-32,74.6%,+/-19.1,70,+/-39,100.0%,+/-33.3,18,+/-25,37.5%,+/-48.7
Bachelor's degree or higher,0,+/-24,0.0%,+/-22.2,0,+/-24,0.0%,+/-33.3,0,+/-24,0.0%,+/-41.1
Asian alone,652,+/-161,(X),(X),320,+/-122,(X),(X),332,+/-67,(X),(X)
High school graduate or higher,500,+/-212,76.7%,+/-23.3,256,+/-137,80.0%,+/-28.1,244,+/-89,73.5%,+/-19.9
Bachelor's degree or higher,258,+/-141,39.6%,+/-16.1,214,+/-146,66.9%,+/-32.0,44,+/-37,13.3%,+/-12.0
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,848,+/-161,(X),(X),472,+/-116,(X),(X),376,+/-86,(X),(X)
High school graduate or higher,590,+/-170,69.6%,+/-14.9,328,+/-136,69.5%,+/-20.8,262,+/-98,69.7%,+/-19.7
Bachelor's degree or higher,20,+/-27,2.4%,+/-3.2,6,+/-13,1.3%,+/-2.8,14,+/-20,3.7%,+/-5.3
Two or more races,182,+/-96,(X),(X),123,+/-85,(X),(X),59,+/-40,(X),(X)
High school graduate or higher,132,+/-76,72.5%,+/-21.6,83,+/-70,67.5%,+/-32.9,49,+/-39,83.1%,+/-25.6
Bachelor's degree or higher,55,+/-42,30.2%,+/-18.8,30,+/-34,24.4%,+/-22.1,25,+/-29,42.4%,+/-34.0
Hispanic or Latino Origin,"1,288",*****,(X),(X),775,+/-50,(X),(X),513,+/-51,(X),(X)
High school graduate or higher,933,+/-152,72.4%,+/-11.8,593,+/-122,76.5%,+/-14.3,340,+/-95,66.3%,+/-17.2
Bachelor's degree or higher,62,+/-49,4.8%,+/-3.8,49,+/-48,6.3%,+/-6.2,13,+/-15,2.5%,+/-3.0
