RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"31,157",+/-69,(X),(X),"15,092",+/-42,(X),(X),"16,065",+/-57,(X),(X)
High school graduate or higher,"27,586",+/-434,88.5%,+/-1.4,"13,445",+/-279,89.1%,+/-1.8,"14,141",+/-254,88.0%,+/-1.6
Bachelor's degree or higher,"4,410",+/-454,14.2%,+/-1.5,"2,163",+/-288,14.3%,+/-1.9,"2,247",+/-301,14.0%,+/-1.9
"White alone, not Hispanic or Latino","30,984",+/-24,(X),(X),"15,024",+/-24,(X),(X),"15,960",+/-24,(X),(X)
High school graduate or higher,"27,448",+/-435,88.6%,+/-1.4,"13,387",+/-277,89.1%,+/-1.8,"14,061",+/-255,88.1%,+/-1.6
Bachelor's degree or higher,"4,375",+/-452,14.1%,+/-1.5,"2,163",+/-288,14.4%,+/-1.9,"2,212",+/-299,13.9%,+/-1.9
Black alone,111,+/-34,(X),(X),72,+/-50,(X),(X),39,+/-31,(X),(X)
High school graduate or higher,101,+/-36,91.0%,+/-11.9,62,+/-50,86.1%,+/-19.2,39,+/-31,100.0%,+/-45.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-23.4,0,+/-24,0.0%,+/-32.7,0,+/-24,0.0%,+/-45.6
American Indian or Alaska Native alone,30,+/-33,(X),(X),30,+/-33,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,30,+/-33,100.0%,+/-52.0,30,+/-33,100.0%,+/-52.0,0,+/-24,-,**
Bachelor's degree or higher,22,+/-25,73.3%,+/-41.6,22,+/-25,73.3%,+/-41.6,0,+/-24,-,**
Asian alone,151,+/-63,(X),(X),40,+/-25,(X),(X),111,+/-48,(X),(X)
High school graduate or higher,132,+/-62,87.4%,+/-12.9,31,+/-28,77.5%,+/-34.6,101,+/-46,91.0%,+/-14.1
Bachelor's degree or higher,84,+/-67,55.6%,+/-33.7,31,+/-28,77.5%,+/-34.6,53,+/-45,47.7%,+/-35.0
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,136,+/-86,(X),(X),61,+/-46,(X),(X),75,+/-64,(X),(X)
High school graduate or higher,110,+/-61,80.9%,+/-22.8,61,+/-46,100.0%,+/-36.3,49,+/-54,65.3%,+/-49.4
Bachelor's degree or higher,25,+/-38,18.4%,+/-28.1,0,+/-24,0.0%,+/-36.3,25,+/-38,33.3%,+/-48.1
Two or more races,374,+/-91,(X),(X),142,+/-58,(X),(X),232,+/-76,(X),(X)
High school graduate or higher,291,+/-84,77.8%,+/-15.3,98,+/-52,69.0%,+/-27.8,193,+/-74,83.2%,+/-18.0
Bachelor's degree or higher,43,+/-28,11.5%,+/-7.8,36,+/-28,25.4%,+/-19.6,7,+/-11,3.0%,+/-4.8
Hispanic or Latino Origin,341,+/-61,(X),(X),161,+/-64,(X),(X),180,+/-55,(X),(X)
High school graduate or higher,280,+/-71,82.1%,+/-13.4,151,+/-63,93.8%,+/-8.3,129,+/-60,71.7%,+/-25.7
Bachelor's degree or higher,71,+/-59,20.8%,+/-16.6,11,+/-19,6.8%,+/-11.1,60,+/-54,33.3%,+/-27.8
