Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,498",+/-89,(X),(X),"1,831",+/-60,(X),(X),"1,667",+/-76,(X),(X)
Less than high school graduate,691,+/-155,19.8%,+/-4.4,333,+/-121,18.2%,+/-6.6,358,+/-108,21.5%,+/-6.2
High school graduate (includes equivalency),"1,229",+/-219,35.1%,+/-6.3,757,+/-167,41.3%,+/-8.6,472,+/-137,28.3%,+/-8.3
Some college or associate's degree,"1,281",+/-228,36.6%,+/-6.6,644,+/-167,35.2%,+/-9.3,637,+/-154,38.2%,+/-9.3
Bachelor's degree or higher,297,+/-162,8.5%,+/-4.6,97,+/-65,5.3%,+/-3.5,200,+/-135,12.0%,+/-8.0
Population 25 years and over,"31,959",+/-89,(X),(X),"15,437",+/-95,(X),(X),"16,522",+/-90,(X),(X)
Less than 9th grade,"1,098",+/-224,3.4%,+/-0.7,612,+/-160,4.0%,+/-1.0,486,+/-129,2.9%,+/-0.8
"9th to 12th grade, no diploma","2,611",+/-363,8.2%,+/-1.1,"1,098",+/-235,7.1%,+/-1.5,"1,513",+/-250,9.2%,+/-1.5
High school graduate (includes equivalency),"13,581",+/-768,42.5%,+/-2.4,"6,648",+/-480,43.1%,+/-3.1,"6,933",+/-454,42.0%,+/-2.8
"Some college, no degree","6,433",+/-559,20.1%,+/-1.8,"3,034",+/-320,19.7%,+/-2.1,"3,399",+/-387,20.6%,+/-2.3
Associate's degree,"3,652",+/-435,11.4%,+/-1.4,"1,793",+/-286,11.6%,+/-1.9,"1,859",+/-294,11.3%,+/-1.8
Bachelor's degree,"2,972",+/-376,9.3%,+/-1.2,"1,455",+/-238,9.4%,+/-1.5,"1,517",+/-244,9.2%,+/-1.5
Graduate or professional degree,"1,612",+/-292,5.0%,+/-0.9,797,+/-200,5.2%,+/-1.3,815,+/-184,4.9%,+/-1.1
Percent high school graduate or higher,(X),(X),88.4%,+/-1.4,(X),(X),88.9%,+/-1.8,(X),(X),87.9%,+/-1.6
Percent bachelor's degree or higher,(X),(X),14.3%,+/-1.4,(X),(X),14.6%,+/-1.9,(X),(X),14.1%,+/-1.8
Population 25 to 34 years,"5,016",+/-82,(X),(X),"2,510",+/-58,(X),(X),"2,506",+/-71,(X),(X)
High school graduate or higher,"4,642",+/-136,92.5%,+/-2.2,"2,298",+/-101,91.6%,+/-3.4,"2,344",+/-112,93.5%,+/-3.4
Bachelor's degree or higher,854,+/-174,17.0%,+/-3.5,288,+/-96,11.5%,+/-3.8,566,+/-134,22.6%,+/-5.3
Population 35 to 44 years,"5,632",+/-93,(X),(X),"2,777",+/-39,(X),(X),"2,855",+/-101,(X),(X)
High school graduate or higher,"5,148",+/-201,91.4%,+/-3.1,"2,573",+/-104,92.7%,+/-3.6,"2,575",+/-138,90.2%,+/-3.7
Bachelor's degree or higher,851,+/-210,15.1%,+/-3.7,370,+/-131,13.3%,+/-4.7,481,+/-144,16.8%,+/-5.0
Population 45 to 64 years,"13,081",+/-109,(X),(X),"6,478",+/-68,(X),(X),"6,603",+/-78,(X),(X)
High school graduate or higher,"11,924",+/-280,91.2%,+/-2.0,"5,855",+/-188,90.4%,+/-2.8,"6,069",+/-151,91.9%,+/-2.3
Bachelor's degree or higher,"1,968",+/-333,15.0%,+/-2.5,"1,018",+/-193,15.7%,+/-3.0,950,+/-213,14.4%,+/-3.2
Population 65 years and over,"8,230",+/-62,(X),(X),"3,672",+/-48,(X),(X),"4,558",+/-44,(X),(X)
High school graduate or higher,"6,536",+/-254,79.4%,+/-3.0,"3,001",+/-142,81.7%,+/-3.6,"3,535",+/-176,77.6%,+/-3.9
Bachelor's degree or higher,911,+/-166,11.1%,+/-2.0,576,+/-138,15.7%,+/-3.8,335,+/-87,7.3%,+/-1.9
