RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"31,178",+/-80,(X),(X),"15,097",+/-48,(X),(X),"16,081",+/-61,(X),(X)
High school graduate or higher,"27,260",+/-470,87.4%,+/-1.5,"13,215",+/-267,87.5%,+/-1.8,"14,045",+/-285,87.3%,+/-1.8
Bachelor's degree or higher,"4,226",+/-494,13.6%,+/-1.6,"1,986",+/-303,13.2%,+/-2.0,"2,240",+/-292,13.9%,+/-1.8
"White alone, not Hispanic or Latino","30,999",+/-24,(X),(X),"15,011",+/-24,(X),(X),"15,988",+/-24,(X),(X)
High school graduate or higher,"27,140",+/-456,87.6%,+/-1.5,"13,149",+/-265,87.6%,+/-1.8,"13,991",+/-269,87.5%,+/-1.7
Bachelor's degree or higher,"4,226",+/-494,13.6%,+/-1.6,"1,986",+/-303,13.2%,+/-2.0,"2,240",+/-292,14.0%,+/-1.8
Black alone,111,+/-28,(X),(X),76,+/-45,(X),(X),35,+/-27,(X),(X)
High school graduate or higher,90,+/-27,81.1%,+/-20.2,55,+/-33,72.4%,+/-24.9,35,+/-27,100.0%,+/-48.2
Bachelor's degree or higher,0,+/-24,0.0%,+/-23.4,0,+/-24,0.0%,+/-31.4,0,+/-24,0.0%,+/-48.2
American Indian or Alaska Native alone,39,+/-33,(X),(X),39,+/-33,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,39,+/-33,100.0%,+/-45.6,39,+/-33,100.0%,+/-45.6,0,+/-24,-,**
Bachelor's degree or higher,19,+/-20,48.7%,+/-42.1,19,+/-20,48.7%,+/-42.1,0,+/-24,-,**
Asian alone,197,+/-65,(X),(X),63,+/-40,(X),(X),134,+/-49,(X),(X)
High school graduate or higher,159,+/-59,80.7%,+/-17.2,35,+/-32,55.6%,+/-41.4,124,+/-50,92.5%,+/-12.9
Bachelor's degree or higher,96,+/-63,48.7%,+/-24.1,15,+/-23,23.8%,+/-35.2,81,+/-52,60.4%,+/-28.0
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,108,+/-75,(X),(X),26,+/-24,(X),(X),82,+/-74,(X),(X)
High school graduate or higher,108,+/-75,100.0%,+/-23.9,26,+/-24,100.0%,+/-55.9,82,+/-74,100.0%,+/-29.7
Bachelor's degree or higher,46,+/-58,42.6%,+/-47.1,8,+/-14,30.8%,+/-44.9,38,+/-55,46.3%,+/-53.7
Two or more races,369,+/-96,(X),(X),149,+/-59,(X),(X),220,+/-74,(X),(X)
High school graduate or higher,294,+/-104,79.7%,+/-17.6,103,+/-50,69.1%,+/-29.9,191,+/-75,86.8%,+/-19.3
Bachelor's degree or higher,23,+/-23,6.2%,+/-6.3,23,+/-23,15.4%,+/-15.4,0,+/-24,0.0%,+/-12.7
Hispanic or Latino Origin,320,+/-69,(X),(X),145,+/-55,(X),(X),175,+/-62,(X),(X)
High school graduate or higher,261,+/-81,81.6%,+/-15.4,125,+/-56,86.2%,+/-15.9,136,+/-72,77.7%,+/-29.4
Bachelor's degree or higher,56,+/-59,17.5%,+/-17.9,18,+/-21,12.4%,+/-15.0,38,+/-55,21.7%,+/-30.5
