Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,497",+/-92,(X),(X),"1,845",+/-56,(X),(X),"1,652",+/-67,(X),(X)
Less than high school graduate,621,+/-177,17.8%,+/-5.0,288,+/-102,15.6%,+/-5.6,333,+/-130,20.2%,+/-7.5
High school graduate (includes equivalency),"1,367",+/-206,39.1%,+/-5.8,876,+/-167,47.5%,+/-8.9,491,+/-142,29.7%,+/-8.6
Some college or associate's degree,"1,210",+/-206,34.6%,+/-5.8,583,+/-139,31.6%,+/-7.3,627,+/-174,38.0%,+/-10.6
Bachelor's degree or higher,299,+/-178,8.6%,+/-5.1,98,+/-78,5.3%,+/-4.2,201,+/-130,12.2%,+/-7.9
Population 25 years and over,"32,030",+/-131,(X),(X),"15,436",+/-100,(X),(X),"16,594",+/-104,(X),(X)
Less than 9th grade,"1,172",+/-230,3.7%,+/-0.7,501,+/-143,3.2%,+/-0.9,671,+/-183,4.0%,+/-1.1
"9th to 12th grade, no diploma","2,345",+/-393,7.3%,+/-1.2,"1,106",+/-247,7.2%,+/-1.6,"1,239",+/-238,7.5%,+/-1.4
High school graduate (includes equivalency),"13,489",+/-723,42.1%,+/-2.2,"6,655",+/-473,43.1%,+/-3.0,"6,834",+/-474,41.2%,+/-2.8
"Some college, no degree","6,426",+/-513,20.1%,+/-1.6,"2,966",+/-293,19.2%,+/-1.9,"3,460",+/-356,20.9%,+/-2.1
Associate's degree,"3,450",+/-418,10.8%,+/-1.3,"1,685",+/-279,10.9%,+/-1.8,"1,765",+/-249,10.6%,+/-1.5
Bachelor's degree,"3,195",+/-400,10.0%,+/-1.2,"1,603",+/-269,10.4%,+/-1.8,"1,592",+/-296,9.6%,+/-1.8
Graduate or professional degree,"1,953",+/-314,6.1%,+/-1.0,920,+/-200,6.0%,+/-1.3,"1,033",+/-225,6.2%,+/-1.4
Percent high school graduate or higher,(X),(X),89.0%,+/-1.3,(X),(X),89.6%,+/-1.7,(X),(X),88.5%,+/-1.6
Percent bachelor's degree or higher,(X),(X),16.1%,+/-1.4,(X),(X),16.3%,+/-1.9,(X),(X),15.8%,+/-1.9
Population 25 to 34 years,"5,023",+/-90,(X),(X),"2,486",+/-56,(X),(X),"2,537",+/-79,(X),(X)
High school graduate or higher,"4,609",+/-170,91.8%,+/-3.2,"2,297",+/-104,92.4%,+/-3.5,"2,312",+/-134,91.1%,+/-4.7
Bachelor's degree or higher,985,+/-212,19.6%,+/-4.2,274,+/-93,11.0%,+/-3.7,711,+/-188,28.0%,+/-7.3
Population 35 to 44 years,"5,472",+/-79,(X),(X),"2,718",+/-36,(X),(X),"2,754",+/-70,(X),(X)
High school graduate or higher,"5,033",+/-160,92.0%,+/-3.0,"2,554",+/-95,94.0%,+/-3.2,"2,479",+/-101,90.0%,+/-3.8
Bachelor's degree or higher,900,+/-197,16.4%,+/-3.6,367,+/-132,13.5%,+/-4.8,533,+/-153,19.4%,+/-5.5
Population 45 to 64 years,"12,994",+/-103,(X),(X),"6,445",+/-62,(X),(X),"6,549",+/-79,(X),(X)
High school graduate or higher,"11,905",+/-253,91.6%,+/-1.7,"5,853",+/-174,90.8%,+/-2.5,"6,052",+/-148,92.4%,+/-1.9
Bachelor's degree or higher,"2,121",+/-312,16.3%,+/-2.4,"1,175",+/-212,18.2%,+/-3.3,946,+/-182,14.4%,+/-2.8
Population 65 years and over,"8,541",+/-104,(X),(X),"3,787",+/-70,(X),(X),"4,754",+/-72,(X),(X)
High school graduate or higher,"6,966",+/-302,81.6%,+/-3.1,"3,125",+/-177,82.5%,+/-4.2,"3,841",+/-219,80.8%,+/-4.1
Bachelor's degree or higher,"1,142",+/-235,13.4%,+/-2.8,707,+/-164,18.7%,+/-4.3,435,+/-136,9.2%,+/-2.9
