RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"18,220",+/-91,(X),(X),"8,990",+/-53,(X),(X),"9,230",+/-51,(X),(X)
High school graduate or higher,"15,298",+/-373,84.0%,+/-2.0,"7,480",+/-269,83.2%,+/-3.0,"7,818",+/-208,84.7%,+/-2.2
Bachelor's degree or higher,"1,900",+/-276,10.4%,+/-1.5,875,+/-185,9.7%,+/-2.1,"1,025",+/-190,11.1%,+/-2.1
"White alone, not Hispanic or Latino","18,014",+/-21,(X),(X),"8,911",+/-21,(X),(X),"9,103",+/-21,(X),(X)
High school graduate or higher,"15,126",+/-367,84.0%,+/-2.0,"7,412",+/-267,83.2%,+/-3.0,"7,714",+/-205,84.7%,+/-2.3
Bachelor's degree or higher,"1,887",+/-274,10.5%,+/-1.5,875,+/-185,9.8%,+/-2.1,"1,012",+/-188,11.1%,+/-2.1
Black alone,238,+/-77,(X),(X),124,+/-71,(X),(X),114,+/-53,(X),(X)
High school graduate or higher,181,+/-76,76.1%,+/-20.9,75,+/-59,60.5%,+/-33.8,106,+/-52,93.0%,+/-14.0
Bachelor's degree or higher,31,+/-49,13.0%,+/-19.8,15,+/-24,12.1%,+/-19.6,16,+/-25,14.0%,+/-21.6
American Indian or Alaska Native alone,22,+/-37,(X),(X),22,+/-37,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,22,+/-37,100.0%,+/-60.7,22,+/-37,100.0%,+/-60.7,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-60.7,0,+/-21,0.0%,+/-60.7,0,+/-21,-,**
Asian alone,43,+/-29,(X),(X),12,+/-19,(X),(X),31,+/-13,(X),(X)
High school graduate or higher,37,+/-26,86.0%,+/-18.5,12,+/-19,100.0%,+/-82.2,25,+/-15,80.6%,+/-29.5
Bachelor's degree or higher,12,+/-29,27.9%,+/-45.5,6,+/-15,50.0%,+/-50.0,6,+/-15,19.4%,+/-38.9
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,84,+/-85,(X),(X),43,+/-43,(X),(X),41,+/-52,(X),(X)
High school graduate or higher,84,+/-85,100.0%,+/-29.2,43,+/-43,100.0%,+/-43.5,41,+/-52,100.0%,+/-44.5
Bachelor's degree or higher,0,+/-21,0.0%,+/-29.2,0,+/-21,0.0%,+/-43.5,0,+/-21,0.0%,+/-44.5
Two or more races,84,+/-66,(X),(X),34,+/-45,(X),(X),50,+/-52,(X),(X)
High school graduate or higher,51,+/-56,60.7%,+/-44.3,26,+/-43,76.5%,+/-47.5,25,+/-41,50.0%,+/-50.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-29.2,0,+/-21,0.0%,+/-48.9,0,+/-21,0.0%,+/-40.3
Hispanic or Latino Origin,298,+/-55,(X),(X),130,+/-45,(X),(X),168,+/-44,(X),(X)
High school graduate or higher,256,+/-85,85.9%,+/-14.2,111,+/-54,85.4%,+/-19.4,145,+/-52,86.3%,+/-16.0
Bachelor's degree or higher,13,+/-22,4.4%,+/-8.0,0,+/-21,0.0%,+/-20.4,13,+/-22,7.7%,+/-13.1
