Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,473",+/-58,(X),(X),"1,323",+/-48,(X),(X),"1,150",+/-21,(X),(X)
Less than high school graduate,376,+/-129,15.2%,+/-5.2,223,+/-90,16.9%,+/-6.8,153,+/-71,13.3%,+/-6.2
High school graduate (includes equivalency),993,+/-209,40.2%,+/-8.5,595,+/-139,45.0%,+/-10.5,398,+/-123,34.6%,+/-10.6
Some college or associate's degree,874,+/-202,35.3%,+/-8.1,447,+/-138,33.8%,+/-10.3,427,+/-102,37.1%,+/-8.9
Bachelor's degree or higher,230,+/-104,9.3%,+/-4.2,58,+/-52,4.4%,+/-4.0,172,+/-76,15.0%,+/-6.6
Population 25 years and over,"18,740",+/-98,(X),(X),"9,288",+/-110,(X),(X),"9,452",+/-60,(X),(X)
Less than 9th grade,825,+/-185,4.4%,+/-1.0,426,+/-126,4.6%,+/-1.4,399,+/-124,4.2%,+/-1.3
"9th to 12th grade, no diploma","2,076",+/-315,11.1%,+/-1.7,"1,011",+/-197,10.9%,+/-2.1,"1,065",+/-234,11.3%,+/-2.5
High school graduate (includes equivalency),"8,849",+/-416,47.2%,+/-2.2,"4,682",+/-268,50.4%,+/-2.8,"4,167",+/-349,44.1%,+/-3.7
"Some college, no degree","3,722",+/-384,19.9%,+/-2.1,"1,732",+/-242,18.6%,+/-2.6,"1,990",+/-258,21.1%,+/-2.8
Associate's degree,"1,462",+/-279,7.8%,+/-1.5,641,+/-160,6.9%,+/-1.7,821,+/-192,8.7%,+/-2.0
Bachelor's degree,"1,247",+/-270,6.7%,+/-1.4,535,+/-167,5.8%,+/-1.8,712,+/-179,7.5%,+/-1.9
Graduate or professional degree,559,+/-159,3.0%,+/-0.8,261,+/-116,2.8%,+/-1.3,298,+/-93,3.2%,+/-1.0
Percent high school graduate or higher,(X),(X),84.5%,+/-1.9,(X),(X),84.5%,+/-2.5,(X),(X),84.5%,+/-2.6
Percent bachelor's degree or higher,(X),(X),9.6%,+/-1.5,(X),(X),8.6%,+/-2.1,(X),(X),10.7%,+/-1.9
Population 25 to 34 years,"3,017",+/-90,(X),(X),"1,562",+/-61,(X),(X),"1,455",+/-43,(X),(X)
High school graduate or higher,"2,715",+/-117,90.0%,+/-3.5,"1,365",+/-77,87.4%,+/-5.5,"1,350",+/-72,92.8%,+/-4.2
Bachelor's degree or higher,320,+/-123,10.6%,+/-4.1,139,+/-82,8.9%,+/-5.2,181,+/-84,12.4%,+/-5.8
Population 35 to 44 years,"3,674",+/-110,(X),(X),"1,872",+/-87,(X),(X),"1,802",+/-58,(X),(X)
High school graduate or higher,"3,233",+/-140,88.0%,+/-3.3,"1,622",+/-91,86.6%,+/-5.4,"1,611",+/-89,89.4%,+/-3.6
Bachelor's degree or higher,334,+/-121,9.1%,+/-3.3,104,+/-53,5.6%,+/-2.8,230,+/-107,12.8%,+/-6.0
Population 45 to 64 years,"7,892",+/-76,(X),(X),"3,977",+/-52,(X),(X),"3,915",+/-58,(X),(X)
High school graduate or higher,"6,795",+/-210,86.1%,+/-2.7,"3,463",+/-152,87.1%,+/-3.7,"3,332",+/-173,85.1%,+/-4.3
Bachelor's degree or higher,843,+/-168,10.7%,+/-2.1,401,+/-120,10.1%,+/-3.0,442,+/-113,11.3%,+/-2.9
Population 65 years and over,"4,157",+/-85,(X),(X),"1,877",+/-44,(X),(X),"2,280",+/-61,(X),(X)
High school graduate or higher,"3,096",+/-205,74.5%,+/-4.6,"1,401",+/-150,74.6%,+/-7.5,"1,695",+/-141,74.3%,+/-5.9
Bachelor's degree or higher,309,+/-101,7.4%,+/-2.4,152,+/-70,8.1%,+/-3.8,157,+/-82,6.9%,+/-3.6
