RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"18,193",+/-69,(X),(X),"8,997",+/-49,(X),(X),"9,196",+/-43,(X),(X)
High school graduate or higher,"15,624",+/-370,85.9%,+/-2.0,"7,694",+/-208,85.5%,+/-2.3,"7,930",+/-245,86.2%,+/-2.6
Bachelor's degree or higher,"1,948",+/-284,10.7%,+/-1.6,842,+/-182,9.4%,+/-2.0,"1,106",+/-199,12.0%,+/-2.2
"White alone, not Hispanic or Latino","18,027",+/-12,(X),(X),"8,913",+/-12,(X),(X),"9,114",+/-21,(X),(X)
High school graduate or higher,"15,514",+/-355,86.1%,+/-2.0,"7,638",+/-203,85.7%,+/-2.3,"7,876",+/-233,86.4%,+/-2.6
Bachelor's degree or higher,"1,914",+/-277,10.6%,+/-1.5,823,+/-175,9.2%,+/-2.0,"1,091",+/-200,12.0%,+/-2.2
Black alone,229,+/-61,(X),(X),119,+/-57,(X),(X),110,+/-52,(X),(X)
High school graduate or higher,183,+/-64,79.9%,+/-19.1,73,+/-55,61.3%,+/-34.4,110,+/-52,100.0%,+/-23.6
Bachelor's degree or higher,25,+/-45,10.9%,+/-19.4,12,+/-22,10.1%,+/-19.8,13,+/-23,11.8%,+/-21.7
American Indian or Alaska Native alone,62,+/-60,(X),(X),62,+/-60,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,18,+/-28,29.0%,+/-48.0,18,+/-28,29.0%,+/-48.0,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-36.0,0,+/-21,0.0%,+/-36.0,0,+/-21,-,**
Asian alone,62,+/-56,(X),(X),26,+/-30,(X),(X),36,+/-32,(X),(X)
High school graduate or higher,49,+/-47,79.0%,+/-30.0,26,+/-30,100.0%,+/-55.9,23,+/-28,63.9%,+/-51.6
Bachelor's degree or higher,26,+/-41,41.9%,+/-52.9,13,+/-22,50.0%,+/-50.0,13,+/-20,36.1%,+/-49.3
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,89,+/-76,(X),(X),48,+/-46,(X),(X),41,+/-38,(X),(X)
High school graduate or higher,58,+/-66,65.2%,+/-36.6,39,+/-40,81.3%,+/-30.1,19,+/-31,46.3%,+/-53.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-27.9,0,+/-21,0.0%,+/-41.1,0,+/-21,0.0%,+/-44.5
Two or more races,45,+/-44,(X),(X),5,+/-12,(X),(X),40,+/-43,(X),(X)
High school graduate or higher,24,+/-32,53.3%,+/-52.7,5,+/-12,100.0%,+/-100.0,19,+/-30,47.5%,+/-52.5
Bachelor's degree or higher,0,+/-21,0.0%,+/-42.5,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-45.1
Hispanic or Latino Origin,255,+/-66,(X),(X),132,+/-53,(X),(X),123,+/-37,(X),(X)
High school graduate or higher,168,+/-79,65.9%,+/-20.1,95,+/-56,72.0%,+/-19.4,73,+/-41,59.3%,+/-25.9
Bachelor's degree or higher,34,+/-37,13.3%,+/-15.2,19,+/-28,14.4%,+/-20.0,15,+/-24,12.2%,+/-19.9
