Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,479",+/-46,(X),(X),"1,354",+/-33,(X),(X),"1,125",+/-30,(X),(X)
Less than high school graduate,452,+/-115,18.2%,+/-4.6,242,+/-81,17.9%,+/-5.9,210,+/-85,18.7%,+/-7.4
High school graduate (includes equivalency),"1,089",+/-157,43.9%,+/-6.3,672,+/-104,49.6%,+/-7.7,417,+/-100,37.1%,+/-8.9
Some college or associate's degree,819,+/-161,33.0%,+/-6.5,408,+/-113,30.1%,+/-8.3,411,+/-105,36.5%,+/-9.4
Bachelor's degree or higher,119,+/-79,4.8%,+/-3.2,32,+/-38,2.4%,+/-2.8,87,+/-69,7.7%,+/-6.1
Population 25 years and over,"22,771",+/-49,(X),(X),"11,173",+/-55,(X),(X),"11,598",+/-48,(X),(X)
Less than 9th grade,920,+/-193,4.0%,+/-0.8,475,+/-129,4.3%,+/-1.1,445,+/-127,3.8%,+/-1.1
"9th to 12th grade, no diploma","2,358",+/-297,10.4%,+/-1.3,"1,255",+/-212,11.2%,+/-1.9,"1,103",+/-189,9.5%,+/-1.6
High school graduate (includes equivalency),"9,170",+/-460,40.3%,+/-2.0,"4,461",+/-301,39.9%,+/-2.7,"4,709",+/-301,40.6%,+/-2.6
"Some college, no degree","4,565",+/-329,20.0%,+/-1.4,"2,220",+/-200,19.9%,+/-1.8,"2,345",+/-240,20.2%,+/-2.1
Associate's degree,"2,491",+/-272,10.9%,+/-1.2,"1,130",+/-184,10.1%,+/-1.6,"1,361",+/-181,11.7%,+/-1.6
Bachelor's degree,"2,079",+/-274,9.1%,+/-1.2,"1,078",+/-180,9.6%,+/-1.6,"1,001",+/-176,8.6%,+/-1.5
Graduate or professional degree,"1,188",+/-203,5.2%,+/-0.9,554,+/-124,5.0%,+/-1.1,634,+/-137,5.5%,+/-1.2
Percent high school graduate or higher,(X),(X),85.6%,+/-1.5,(X),(X),84.5%,+/-2.3,(X),(X),86.7%,+/-1.9
Percent bachelor's degree or higher,(X),(X),14.3%,+/-1.5,(X),(X),14.6%,+/-1.9,(X),(X),14.1%,+/-1.8
Population 25 to 34 years,"3,566",+/-45,(X),(X),"1,826",+/-49,(X),(X),"1,740",+/-26,(X),(X)
High school graduate or higher,"3,173",+/-139,89.0%,+/-3.8,"1,586",+/-105,86.9%,+/-5.3,"1,587",+/-82,91.2%,+/-4.5
Bachelor's degree or higher,512,+/-122,14.4%,+/-3.4,207,+/-78,11.3%,+/-4.2,305,+/-101,17.5%,+/-5.8
Population 35 to 44 years,"3,886",+/-37,(X),(X),"1,910",+/-24,(X),(X),"1,976",+/-37,(X),(X)
High school graduate or higher,"3,396",+/-139,87.4%,+/-3.5,"1,666",+/-89,87.2%,+/-4.7,"1,730",+/-103,87.6%,+/-5.0
Bachelor's degree or higher,647,+/-144,16.6%,+/-3.7,254,+/-79,13.3%,+/-4.1,393,+/-96,19.9%,+/-4.9
Population 45 to 64 years,"9,398",+/-72,(X),(X),"4,761",+/-41,(X),(X),"4,637",+/-63,(X),(X)
High school graduate or higher,"8,253",+/-178,87.8%,+/-1.9,"4,068",+/-127,85.4%,+/-2.8,"4,185",+/-140,90.3%,+/-2.8
Bachelor's degree or higher,"1,452",+/-219,15.5%,+/-2.3,776,+/-135,16.3%,+/-2.8,676,+/-130,14.6%,+/-2.8
Population 65 years and over,"5,921",+/-58,(X),(X),"2,676",+/-36,(X),(X),"3,245",+/-45,(X),(X)
High school graduate or higher,"4,671",+/-209,78.9%,+/-3.6,"2,123",+/-131,79.3%,+/-5.2,"2,548",+/-141,78.5%,+/-3.9
Bachelor's degree or higher,656,+/-161,11.1%,+/-2.7,395,+/-109,14.8%,+/-4.1,261,+/-88,8.0%,+/-2.7
