RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,471",+/-36,(X),(X),"11,022",+/-35,(X),(X),"11,449",+/-26,(X),(X)
High school graduate or higher,"19,255",+/-339,85.7%,+/-1.5,"9,321",+/-221,84.6%,+/-2.0,"9,934",+/-237,86.8%,+/-2.1
Bachelor's degree or higher,"3,100",+/-405,13.8%,+/-1.8,"1,545",+/-259,14.0%,+/-2.3,"1,555",+/-234,13.6%,+/-2.0
"White alone, not Hispanic or Latino","22,317",+/-5,(X),(X),"10,969",+/-5,(X),(X),"11,348",+/-24,(X),(X)
High school graduate or higher,"19,120",+/-334,85.7%,+/-1.5,"9,281",+/-217,84.6%,+/-2.0,"9,839",+/-238,86.7%,+/-2.1
Bachelor's degree or higher,"3,089",+/-404,13.8%,+/-1.8,"1,534",+/-258,14.0%,+/-2.3,"1,555",+/-234,13.7%,+/-2.1
Black alone,61,+/-32,(X),(X),45,+/-26,(X),(X),16,+/-21,(X),(X)
High school graduate or higher,52,+/-30,85.2%,+/-16.7,41,+/-25,91.1%,+/-22.6,11,+/-18,68.8%,+/-68.8
Bachelor's degree or higher,19,+/-23,31.1%,+/-32.8,8,+/-15,17.8%,+/-33.6,11,+/-18,68.8%,+/-68.8
American Indian or Alaska Native alone,4,+/-7,(X),(X),0,+/-24,(X),(X),4,+/-7,(X),(X)
High school graduate or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**,0,+/-24,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**,0,+/-24,0.0%,+/-100.0
Asian alone,63,+/-23,(X),(X),14,+/-11,(X),(X),49,+/-29,(X),(X)
High school graduate or higher,39,+/-18,61.9%,+/-28.7,14,+/-11,100.0%,+/-76.1,25,+/-25,51.0%,+/-38.2
Bachelor's degree or higher,5,+/-9,7.9%,+/-13.3,3,+/-6,21.4%,+/-46.6,2,+/-6,4.1%,+/-12.5
Native Hawaiian and Other Pacific Islander alone,14,+/-20,(X),(X),14,+/-20,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,14,+/-20,100.0%,+/-76.1,14,+/-20,100.0%,+/-76.1,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-76.1,0,+/-24,0.0%,+/-76.1,0,+/-24,-,**
Some other race alone,29,+/-32,(X),(X),29,+/-32,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,11,+/-15,37.9%,+/-54.6,11,+/-15,37.9%,+/-54.6,0,+/-24,-,**
Bachelor's degree or higher,3,+/-8,10.3%,+/-33.3,3,+/-8,10.3%,+/-33.3,0,+/-24,-,**
Two or more races,132,+/-70,(X),(X),28,+/-25,(X),(X),104,+/-56,(X),(X)
High school graduate or higher,114,+/-58,86.4%,+/-13.4,21,+/-22,75.0%,+/-37.3,93,+/-49,89.4%,+/-16.2
Bachelor's degree or higher,0,+/-24,0.0%,+/-20.2,0,+/-24,0.0%,+/-53.8,0,+/-24,0.0%,+/-24.7
Hispanic or Latino Origin,202,+/-50,(X),(X),90,+/-50,(X),(X),112,+/-19,(X),(X)
High school graduate or higher,165,+/-41,81.7%,+/-16.9,59,+/-38,65.6%,+/-32.6,106,+/-22,94.6%,+/-11.6
Bachelor's degree or higher,25,+/-24,12.4%,+/-11.4,14,+/-15,15.6%,+/-18.9,11,+/-18,9.8%,+/-16.2
