RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,421",+/-42,(X),(X),"11,036",+/-40,(X),(X),"11,385",+/-24,(X),(X)
High school graduate or higher,"19,233",+/-344,85.8%,+/-1.5,"9,360",+/-244,84.8%,+/-2.2,"9,873",+/-214,86.7%,+/-1.9
Bachelor's degree or higher,"3,234",+/-341,14.4%,+/-1.5,"1,612",+/-216,14.6%,+/-1.9,"1,622",+/-206,14.2%,+/-1.8
"White alone, not Hispanic or Latino","22,255",+/-6,(X),(X),"10,962",+/-6,(X),(X),"11,293",+/-24,(X),(X)
High school graduate or higher,"19,084",+/-341,85.8%,+/-1.5,"9,296",+/-243,84.8%,+/-2.2,"9,788",+/-213,86.7%,+/-1.9
Bachelor's degree or higher,"3,183",+/-336,14.3%,+/-1.5,"1,567",+/-208,14.3%,+/-1.9,"1,616",+/-206,14.3%,+/-1.8
Black alone,80,+/-35,(X),(X),50,+/-33,(X),(X),30,+/-34,(X),(X)
High school graduate or higher,55,+/-29,68.8%,+/-29.4,37,+/-22,74.0%,+/-47.8,18,+/-20,60.0%,+/-60.0
Bachelor's degree or higher,23,+/-24,28.8%,+/-25.2,12,+/-17,24.0%,+/-36.1,11,+/-17,36.7%,+/-57.4
American Indian or Alaska Native alone,7,+/-12,(X),(X),0,+/-24,(X),(X),7,+/-12,(X),(X)
High school graduate or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**,0,+/-24,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**,0,+/-24,0.0%,+/-100.0
Asian alone,48,+/-21,(X),(X),13,+/-11,(X),(X),35,+/-21,(X),(X)
High school graduate or higher,40,+/-22,83.3%,+/-19.6,13,+/-11,100.0%,+/-79.0,27,+/-25,77.1%,+/-32.8
Bachelor's degree or higher,7,+/-9,14.6%,+/-18.6,5,+/-7,38.5%,+/-50.0,2,+/-5,5.7%,+/-14.2
Native Hawaiian and Other Pacific Islander alone,10,+/-12,(X),(X),10,+/-12,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,10,+/-12,100.0%,+/-90.1,10,+/-12,100.0%,+/-90.1,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-90.1,0,+/-24,0.0%,+/-90.1,0,+/-24,-,**
Some other race alone,28,+/-28,(X),(X),28,+/-28,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,10,+/-10,35.7%,+/-51.8,10,+/-10,35.7%,+/-51.8,0,+/-24,-,**
Bachelor's degree or higher,3,+/-6,10.7%,+/-26.6,3,+/-6,10.7%,+/-26.6,0,+/-24,-,**
Two or more races,177,+/-28,(X),(X),36,+/-27,(X),(X),141,+/-30,(X),(X)
High school graduate or higher,145,+/-31,81.9%,+/-12.5,13,+/-17,36.1%,+/-39.3,132,+/-25,93.6%,+/-9.2
Bachelor's degree or higher,0,+/-24,0.0%,+/-15.5,0,+/-24,0.0%,+/-47.5,0,+/-24,0.0%,+/-19.0
Hispanic or Latino Origin,214,+/-29,(X),(X),111,+/-34,(X),(X),103,+/-19,(X),(X)
High school graduate or higher,179,+/-38,83.6%,+/-13.7,83,+/-37,74.8%,+/-24.4,96,+/-22,93.2%,+/-12.7
Bachelor's degree or higher,65,+/-42,30.4%,+/-18.4,48,+/-39,43.2%,+/-30.4,17,+/-18,16.5%,+/-17.5
