Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,490",+/-57,(X),(X),"1,368",+/-54,(X),(X),"1,122",+/-17,(X),(X)
Less than high school graduate,382,+/-117,15.3%,+/-4.6,236,+/-85,17.3%,+/-6.1,146,+/-70,13.0%,+/-6.2
High school graduate (includes equivalency),999,+/-165,40.1%,+/-6.4,639,+/-108,46.7%,+/-7.3,360,+/-107,32.1%,+/-9.6
Some college or associate's degree,936,+/-133,37.6%,+/-5.3,433,+/-97,31.7%,+/-7.1,503,+/-86,44.8%,+/-7.5
Bachelor's degree or higher,173,+/-123,6.9%,+/-5.0,60,+/-52,4.4%,+/-3.9,113,+/-83,10.1%,+/-7.4
Population 25 years and over,"22,774",+/-89,(X),(X),"11,152",+/-63,(X),(X),"11,622",+/-71,(X),(X)
Less than 9th grade,934,+/-189,4.1%,+/-0.8,496,+/-137,4.4%,+/-1.2,438,+/-117,3.8%,+/-1.0
"9th to 12th grade, no diploma","2,355",+/-299,10.3%,+/-1.3,"1,234",+/-197,11.1%,+/-1.8,"1,121",+/-212,9.6%,+/-1.8
High school graduate (includes equivalency),"9,369",+/-487,41.1%,+/-2.1,"4,683",+/-329,42.0%,+/-2.9,"4,686",+/-324,40.3%,+/-2.8
"Some college, no degree","4,568",+/-403,20.1%,+/-1.8,"2,134",+/-245,19.1%,+/-2.2,"2,434",+/-261,20.9%,+/-2.2
Associate's degree,"2,421",+/-269,10.6%,+/-1.2,"1,046",+/-154,9.4%,+/-1.4,"1,375",+/-202,11.8%,+/-1.7
Bachelor's degree,"1,941",+/-305,8.5%,+/-1.3,946,+/-202,8.5%,+/-1.8,995,+/-182,8.6%,+/-1.6
Graduate or professional degree,"1,186",+/-214,5.2%,+/-0.9,613,+/-137,5.5%,+/-1.2,573,+/-142,4.9%,+/-1.2
Percent high school graduate or higher,(X),(X),85.6%,+/-1.5,(X),(X),84.5%,+/-1.9,(X),(X),86.6%,+/-2.1
Percent bachelor's degree or higher,(X),(X),13.7%,+/-1.8,(X),(X),14.0%,+/-2.3,(X),(X),13.5%,+/-2.0
Population 25 to 34 years,"3,553",+/-38,(X),(X),"1,817",+/-38,(X),(X),"1,736",+/-21,(X),(X)
High school graduate or higher,"3,165",+/-123,89.1%,+/-3.6,"1,565",+/-83,86.1%,+/-4.6,"1,600",+/-78,92.2%,+/-4.4
Bachelor's degree or higher,478,+/-141,13.5%,+/-4.0,194,+/-82,10.7%,+/-4.5,284,+/-93,16.4%,+/-5.3
Population 35 to 44 years,"3,968",+/-44,(X),(X),"1,944",+/-24,(X),(X),"2,024",+/-44,(X),(X)
High school graduate or higher,"3,506",+/-124,88.4%,+/-2.8,"1,705",+/-87,87.7%,+/-4.5,"1,801",+/-86,89.0%,+/-3.9
Bachelor's degree or higher,597,+/-132,15.0%,+/-3.3,252,+/-93,13.0%,+/-4.8,345,+/-82,17.0%,+/-4.1
Population 45 to 64 years,"9,498",+/-70,(X),(X),"4,810",+/-57,(X),(X),"4,688",+/-48,(X),(X)
High school graduate or higher,"8,414",+/-181,88.6%,+/-1.8,"4,128",+/-138,85.8%,+/-2.8,"4,286",+/-110,91.4%,+/-2.2
Bachelor's degree or higher,"1,412",+/-226,14.9%,+/-2.4,743,+/-150,15.4%,+/-3.1,669,+/-152,14.3%,+/-3.3
Population 65 years and over,"5,755",+/-50,(X),(X),"2,581",+/-20,(X),(X),"3,174",+/-41,(X),(X)
High school graduate or higher,"4,400",+/-230,76.5%,+/-4.0,"2,024",+/-130,78.4%,+/-4.9,"2,376",+/-161,74.9%,+/-5.0
Bachelor's degree or higher,640,+/-186,11.1%,+/-3.2,370,+/-124,14.3%,+/-4.8,270,+/-84,8.5%,+/-2.7
