RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"27,887",+/-73,(X),(X),"13,632",+/-65,(X),(X),"14,255",+/-67,(X),(X)
High school graduate or higher,"25,033",+/-337,89.8%,+/-1.1,"12,238",+/-238,89.8%,+/-1.7,"12,795",+/-210,89.8%,+/-1.4
Bachelor's degree or higher,"4,969",+/-433,17.8%,+/-1.6,"2,437",+/-269,17.9%,+/-2.0,"2,532",+/-259,17.8%,+/-1.8
"White alone, not Hispanic or Latino","27,405",+/-24,(X),(X),"13,390",+/-24,(X),(X),"14,015",+/-24,(X),(X)
High school graduate or higher,"24,623",+/-319,89.8%,+/-1.2,"12,040",+/-228,89.9%,+/-1.7,"12,583",+/-196,89.8%,+/-1.4
Bachelor's degree or higher,"4,876",+/-424,17.8%,+/-1.5,"2,403",+/-263,17.9%,+/-2.0,"2,473",+/-260,17.6%,+/-1.9
Black alone,57,+/-46,(X),(X),23,+/-24,(X),(X),34,+/-33,(X),(X)
High school graduate or higher,44,+/-43,77.2%,+/-37.0,10,+/-13,43.5%,+/-56.5,34,+/-33,100.0%,+/-48.9
Bachelor's degree or higher,28,+/-41,49.1%,+/-50.3,7,+/-11,30.4%,+/-54.0,21,+/-31,61.8%,+/-52.1
American Indian or Alaska Native alone,12,+/-10,(X),(X),4,+/-6,(X),(X),8,+/-9,(X),(X)
High school graduate or higher,9,+/-9,75.0%,+/-31.3,1,+/-3,25.0%,+/-63.7,8,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,3,+/-5,25.0%,+/-36.7,0,+/-24,0.0%,+/-100.0,3,+/-5,37.5%,+/-50.1
Asian alone,102,+/-43,(X),(X),53,+/-35,(X),(X),49,+/-34,(X),(X)
High school graduate or higher,97,+/-43,95.1%,+/-8.8,53,+/-35,100.0%,+/-39.1,44,+/-34,89.8%,+/-19.4
Bachelor's degree or higher,26,+/-26,25.5%,+/-24.3,26,+/-26,49.1%,+/-35.8,0,+/-24,0.0%,+/-40.7
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,90,+/-49,(X),(X),65,+/-38,(X),(X),25,+/-26,(X),(X)
High school graduate or higher,83,+/-48,92.2%,+/-8.3,59,+/-37,90.8%,+/-10.7,24,+/-26,96.0%,+/-10.6
Bachelor's degree or higher,9,+/-15,10.0%,+/-18.1,9,+/-15,13.8%,+/-24.1,0,+/-24,0.0%,+/-57.0
Two or more races,283,+/-37,(X),(X),115,+/-27,(X),(X),168,+/-39,(X),(X)
High school graduate or higher,226,+/-39,79.9%,+/-9.2,105,+/-28,91.3%,+/-8.7,121,+/-37,72.0%,+/-13.3
Bachelor's degree or higher,32,+/-29,11.3%,+/-9.5,4,+/-7,3.5%,+/-5.9,28,+/-27,16.7%,+/-13.5
Hispanic or Latino Origin,620,+/-52,(X),(X),311,+/-58,(X),(X),309,+/-57,(X),(X)
High school graduate or higher,541,+/-67,87.3%,+/-7.8,261,+/-49,83.9%,+/-11.4,280,+/-60,90.6%,+/-9.8
Bachelor's degree or higher,142,+/-67,22.9%,+/-10.5,47,+/-40,15.1%,+/-13.3,95,+/-54,30.7%,+/-16.5
