Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,559",+/-84,(X),(X),"1,839",+/-41,(X),(X),"1,720",+/-64,(X),(X)
Less than high school graduate,461,+/-111,13.0%,+/-3.0,278,+/-77,15.1%,+/-4.2,183,+/-71,10.6%,+/-4.0
High school graduate (includes equivalency),"1,592",+/-202,44.7%,+/-5.4,927,+/-159,50.4%,+/-8.4,665,+/-138,38.7%,+/-7.5
Some college or associate's degree,"1,160",+/-186,32.6%,+/-5.4,490,+/-131,26.6%,+/-7.2,670,+/-139,39.0%,+/-8.4
Bachelor's degree or higher,346,+/-122,9.7%,+/-3.4,144,+/-100,7.8%,+/-5.4,202,+/-101,11.7%,+/-5.9
Population 25 years and over,"28,431",+/-81,(X),(X),"13,892",+/-67,(X),(X),"14,539",+/-75,(X),(X)
Less than 9th grade,735,+/-186,2.6%,+/-0.7,452,+/-141,3.3%,+/-1.0,283,+/-95,1.9%,+/-0.7
"9th to 12th grade, no diploma","2,204",+/-291,7.8%,+/-1.0,974,+/-195,7.0%,+/-1.4,"1,230",+/-194,8.5%,+/-1.3
High school graduate (includes equivalency),"11,538",+/-627,40.6%,+/-2.2,"5,837",+/-430,42.0%,+/-3.1,"5,701",+/-347,39.2%,+/-2.4
"Some college, no degree","6,040",+/-474,21.2%,+/-1.7,"2,952",+/-357,21.2%,+/-2.6,"3,088",+/-276,21.2%,+/-1.9
Associate's degree,"2,847",+/-346,10.0%,+/-1.2,"1,194",+/-232,8.6%,+/-1.7,"1,653",+/-219,11.4%,+/-1.5
Bachelor's degree,"3,503",+/-377,12.3%,+/-1.3,"1,623",+/-219,11.7%,+/-1.6,"1,880",+/-278,12.9%,+/-1.9
Graduate or professional degree,"1,564",+/-221,5.5%,+/-0.8,860,+/-159,6.2%,+/-1.1,704,+/-141,4.8%,+/-1.0
Percent high school graduate or higher,(X),(X),89.7%,+/-1.1,(X),(X),89.7%,+/-1.7,(X),(X),89.6%,+/-1.3
Percent bachelor's degree or higher,(X),(X),17.8%,+/-1.6,(X),(X),17.9%,+/-2.0,(X),(X),17.8%,+/-1.9
Population 25 to 34 years,"5,035",+/-68,(X),(X),"2,493",+/-52,(X),(X),"2,542",+/-44,(X),(X)
High school graduate or higher,"4,709",+/-153,93.5%,+/-2.7,"2,347",+/-77,94.1%,+/-2.7,"2,362",+/-111,92.9%,+/-3.7
Bachelor's degree or higher,"1,084",+/-197,21.5%,+/-3.9,440,+/-117,17.6%,+/-4.7,644,+/-128,25.3%,+/-5.0
Population 35 to 44 years,"5,130",+/-76,(X),(X),"2,600",+/-51,(X),(X),"2,530",+/-45,(X),(X)
High school graduate or higher,"4,651",+/-167,90.7%,+/-2.9,"2,299",+/-138,88.4%,+/-5.1,"2,352",+/-85,93.0%,+/-3.2
Bachelor's degree or higher,916,+/-211,17.9%,+/-4.1,412,+/-117,15.8%,+/-4.6,504,+/-126,19.9%,+/-5.0
Population 45 to 64 years,"11,845",+/-77,(X),(X),"5,930",+/-52,(X),(X),"5,915",+/-56,(X),(X)
High school graduate or higher,"10,737",+/-219,90.6%,+/-1.8,"5,317",+/-147,89.7%,+/-2.4,"5,420",+/-134,91.6%,+/-2.1
Bachelor's degree or higher,"2,109",+/-307,17.8%,+/-2.6,"1,038",+/-196,17.5%,+/-3.3,"1,071",+/-188,18.1%,+/-3.2
Population 65 years and over,"6,421",+/-37,(X),(X),"2,869",+/-39,(X),(X),"3,552",+/-35,(X),(X)
High school graduate or higher,"5,395",+/-176,84.0%,+/-2.6,"2,503",+/-113,87.2%,+/-3.9,"2,892",+/-121,81.4%,+/-3.5
Bachelor's degree or higher,958,+/-196,14.9%,+/-3.1,593,+/-149,20.7%,+/-5.2,365,+/-92,10.3%,+/-2.6
