Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,596",+/-110,(X),(X),"1,811",+/-36,(X),(X),"1,785",+/-98,(X),(X)
Less than high school graduate,635,+/-158,17.7%,+/-4.4,337,+/-116,18.6%,+/-6.4,298,+/-121,16.7%,+/-6.8
High school graduate (includes equivalency),"1,482",+/-277,41.2%,+/-7.1,836,+/-155,46.2%,+/-8.3,646,+/-175,36.2%,+/-8.9
Some college or associate's degree,"1,122",+/-183,31.2%,+/-5.3,509,+/-134,28.1%,+/-7.4,613,+/-133,34.3%,+/-7.8
Bachelor's degree or higher,357,+/-115,9.9%,+/-3.2,129,+/-62,7.1%,+/-3.4,228,+/-101,12.8%,+/-5.7
Population 25 years and over,"28,125",+/-66,(X),(X),"13,797",+/-86,(X),(X),"14,328",+/-82,(X),(X)
Less than 9th grade,974,+/-235,3.5%,+/-0.8,577,+/-175,4.2%,+/-1.3,397,+/-136,2.8%,+/-1.0
"9th to 12th grade, no diploma","2,378",+/-347,8.5%,+/-1.2,"1,102",+/-213,8.0%,+/-1.6,"1,276",+/-229,8.9%,+/-1.6
High school graduate (includes equivalency),"11,406",+/-534,40.6%,+/-1.9,"5,768",+/-359,41.8%,+/-2.6,"5,638",+/-354,39.3%,+/-2.4
"Some college, no degree","6,017",+/-386,21.4%,+/-1.4,"2,910",+/-288,21.1%,+/-2.1,"3,107",+/-284,21.7%,+/-2.0
Associate's degree,"2,556",+/-279,9.1%,+/-1.0,"1,119",+/-190,8.1%,+/-1.4,"1,437",+/-187,10.0%,+/-1.3
Bachelor's degree,"3,220",+/-290,11.4%,+/-1.0,"1,527",+/-188,11.1%,+/-1.4,"1,693",+/-212,11.8%,+/-1.5
Graduate or professional degree,"1,574",+/-294,5.6%,+/-1.0,794,+/-197,5.8%,+/-1.4,780,+/-169,5.4%,+/-1.2
Percent high school graduate or higher,(X),(X),88.1%,+/-1.5,(X),(X),87.8%,+/-1.9,(X),(X),88.3%,+/-1.9
Percent bachelor's degree or higher,(X),(X),17.0%,+/-1.4,(X),(X),16.8%,+/-1.8,(X),(X),17.3%,+/-1.9
Population 25 to 34 years,"4,951",+/-92,(X),(X),"2,416",+/-56,(X),(X),"2,535",+/-74,(X),(X)
High school graduate or higher,"4,452",+/-200,89.9%,+/-3.7,"2,181",+/-111,90.3%,+/-4.3,"2,271",+/-130,89.6%,+/-4.2
Bachelor's degree or higher,"1,081",+/-236,21.8%,+/-4.8,368,+/-125,15.2%,+/-5.2,713,+/-156,28.1%,+/-6.1
Population 35 to 44 years,"5,262",+/-71,(X),(X),"2,718",+/-53,(X),(X),"2,544",+/-42,(X),(X)
High school graduate or higher,"4,675",+/-200,88.8%,+/-3.4,"2,339",+/-158,86.1%,+/-5.4,"2,336",+/-106,91.8%,+/-3.7
Bachelor's degree or higher,955,+/-178,18.1%,+/-3.4,443,+/-103,16.3%,+/-3.7,512,+/-117,20.1%,+/-4.6
Population 45 to 64 years,"11,848",+/-104,(X),(X),"5,995",+/-97,(X),(X),"5,853",+/-49,(X),(X)
High school graduate or higher,"10,609",+/-255,89.5%,+/-2.0,"5,305",+/-151,88.5%,+/-2.4,"5,304",+/-160,90.6%,+/-2.5
Bachelor's degree or higher,"1,943",+/-218,16.4%,+/-1.9,"1,058",+/-165,17.6%,+/-2.8,885,+/-152,15.1%,+/-2.6
Population 65 years and over,"6,064",+/-43,(X),(X),"2,668",+/-31,(X),(X),"3,396",+/-31,(X),(X)
High school graduate or higher,"5,037",+/-161,83.1%,+/-2.6,"2,293",+/-91,85.9%,+/-3.2,"2,744",+/-140,80.8%,+/-4.2
Bachelor's degree or higher,815,+/-186,13.4%,+/-3.1,452,+/-125,16.9%,+/-4.7,363,+/-121,10.7%,+/-3.6
