RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"27,555",+/-93,(X),(X),"13,499",+/-92,(X),(X),"14,056",+/-65,(X),(X)
High school graduate or higher,"24,276",+/-403,88.1%,+/-1.5,"11,842",+/-254,87.7%,+/-1.9,"12,434",+/-259,88.5%,+/-1.9
Bachelor's degree or higher,"4,679",+/-385,17.0%,+/-1.4,"2,267",+/-240,16.8%,+/-1.8,"2,412",+/-278,17.2%,+/-2.0
"White alone, not Hispanic or Latino","27,194",+/-7,(X),(X),"13,274",+/-7,(X),(X),"13,920",+/-24,(X),(X)
High school graduate or higher,"24,035",+/-400,88.4%,+/-1.5,"11,726",+/-250,88.3%,+/-1.9,"12,309",+/-260,88.4%,+/-1.9
Bachelor's degree or higher,"4,614",+/-382,17.0%,+/-1.4,"2,245",+/-238,16.9%,+/-1.8,"2,369",+/-274,17.0%,+/-2.0
Black alone,61,+/-50,(X),(X),17,+/-16,(X),(X),44,+/-41,(X),(X)
High school graduate or higher,57,+/-49,93.4%,+/-18.0,13,+/-12,76.5%,+/-55.9,44,+/-41,100.0%,+/-43.0
Bachelor's degree or higher,31,+/-45,50.8%,+/-48.8,6,+/-10,35.3%,+/-55.6,25,+/-36,56.8%,+/-52.9
American Indian or Alaska Native alone,16,+/-16,(X),(X),4,+/-6,(X),(X),12,+/-12,(X),(X)
High school graduate or higher,10,+/-10,62.5%,+/-22.5,4,+/-6,100.0%,+/-100.0,6,+/-7,50.0%,+/-32.9
Bachelor's degree or higher,2,+/-5,12.5%,+/-27.3,0,+/-24,0.0%,+/-100.0,2,+/-5,16.7%,+/-36.1
Asian alone,104,+/-46,(X),(X),56,+/-41,(X),(X),48,+/-18,(X),(X)
High school graduate or higher,90,+/-51,86.5%,+/-21.2,56,+/-41,100.0%,+/-38.1,34,+/-18,70.8%,+/-38.6
Bachelor's degree or higher,11,+/-10,10.6%,+/-11.3,5,+/-8,8.9%,+/-15.9,6,+/-8,12.5%,+/-17.6
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,135,+/-64,(X),(X),96,+/-49,(X),(X),39,+/-35,(X),(X)
High school graduate or higher,117,+/-57,86.7%,+/-15.0,91,+/-49,94.8%,+/-8.2,26,+/-27,66.7%,+/-45.2
Bachelor's degree or higher,41,+/-48,30.4%,+/-30.5,41,+/-48,42.7%,+/-39.2,0,+/-24,0.0%,+/-45.6
Two or more races,254,+/-42,(X),(X),125,+/-32,(X),(X),129,+/-40,(X),(X)
High school graduate or higher,223,+/-42,87.8%,+/-6.6,112,+/-31,89.6%,+/-8.6,111,+/-40,86.0%,+/-9.6
Bachelor's degree or higher,30,+/-32,11.8%,+/-11.7,2,+/-4,1.6%,+/-2.9,28,+/-31,21.7%,+/-21.3
Hispanic or Latino Origin,553,+/-39,(X),(X),319,+/-79,(X),(X),234,+/-75,(X),(X)
High school graduate or higher,415,+/-83,75.0%,+/-14.4,205,+/-30,64.3%,+/-17.6,210,+/-77,89.7%,+/-11.6
Bachelor's degree or higher,155,+/-81,28.0%,+/-14.8,65,+/-53,20.4%,+/-17.5,90,+/-74,38.5%,+/-25.6
