Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,888",+/-69,(X),(X),931,+/-41,(X),(X),957,+/-56,(X),(X)
Less than high school graduate,542,+/-138,28.7%,+/-6.8,269,+/-88,28.9%,+/-9.0,273,+/-85,28.5%,+/-8.2
High school graduate (includes equivalency),773,+/-107,40.9%,+/-5.8,448,+/-94,48.1%,+/-10.4,325,+/-71,34.0%,+/-7.2
Some college or associate's degree,399,+/-112,21.1%,+/-6.1,177,+/-69,19.0%,+/-7.5,222,+/-76,23.2%,+/-8.2
Bachelor's degree or higher,174,+/-74,9.2%,+/-3.9,37,+/-28,4.0%,+/-3.0,137,+/-64,14.3%,+/-6.7
Population 25 years and over,"15,848",+/-72,(X),(X),"7,776",+/-79,(X),(X),"8,072",+/-61,(X),(X)
Less than 9th grade,818,+/-151,5.2%,+/-1.0,398,+/-114,5.1%,+/-1.5,420,+/-94,5.2%,+/-1.2
"9th to 12th grade, no diploma","1,897",+/-257,12.0%,+/-1.6,992,+/-177,12.8%,+/-2.2,905,+/-150,11.2%,+/-1.9
High school graduate (includes equivalency),"6,568",+/-341,41.4%,+/-2.2,"3,347",+/-233,43.0%,+/-3.1,"3,221",+/-241,39.9%,+/-3.0
"Some college, no degree","3,213",+/-348,20.3%,+/-2.2,"1,491",+/-208,19.2%,+/-2.6,"1,722",+/-199,21.3%,+/-2.5
Associate's degree,"1,512",+/-214,9.5%,+/-1.4,630,+/-120,8.1%,+/-1.6,882,+/-151,10.9%,+/-1.8
Bachelor's degree,"1,282",+/-191,8.1%,+/-1.2,697,+/-140,9.0%,+/-1.8,585,+/-121,7.2%,+/-1.5
Graduate or professional degree,558,+/-129,3.5%,+/-0.8,221,+/-69,2.8%,+/-0.9,337,+/-102,4.2%,+/-1.3
Percent high school graduate or higher,(X),(X),82.9%,+/-1.8,(X),(X),82.1%,+/-2.5,(X),(X),83.6%,+/-2.1
Percent bachelor's degree or higher,(X),(X),11.6%,+/-1.5,(X),(X),11.8%,+/-1.9,(X),(X),11.4%,+/-1.9
Population 25 to 34 years,"2,539",+/-43,(X),(X),"1,232",+/-41,(X),(X),"1,307",+/-32,(X),(X)
High school graduate or higher,"2,110",+/-147,83.1%,+/-5.6,"1,015",+/-93,82.4%,+/-7.0,"1,095",+/-93,83.8%,+/-6.7
Bachelor's degree or higher,367,+/-94,14.5%,+/-3.7,127,+/-48,10.3%,+/-3.9,240,+/-74,18.4%,+/-5.7
Population 35 to 44 years,"2,720",+/-58,(X),(X),"1,382",+/-46,(X),(X),"1,338",+/-29,(X),(X)
High school graduate or higher,"2,333",+/-153,85.8%,+/-5.6,"1,179",+/-98,85.3%,+/-6.5,"1,154",+/-81,86.2%,+/-6.2
Bachelor's degree or higher,298,+/-84,11.0%,+/-3.1,167,+/-59,12.1%,+/-4.2,131,+/-50,9.8%,+/-3.7
Population 45 to 64 years,"6,703",+/-111,(X),(X),"3,319",+/-85,(X),(X),"3,384",+/-72,(X),(X)
High school graduate or higher,"5,722",+/-180,85.4%,+/-2.7,"2,799",+/-127,84.3%,+/-3.6,"2,923",+/-114,86.4%,+/-3.2
Bachelor's degree or higher,793,+/-150,11.8%,+/-2.2,388,+/-84,11.7%,+/-2.5,405,+/-101,12.0%,+/-3.0
Population 65 years and over,"3,886",+/-66,(X),(X),"1,843",+/-51,(X),(X),"2,043",+/-37,(X),(X)
High school graduate or higher,"2,968",+/-133,76.4%,+/-3.3,"1,393",+/-107,75.6%,+/-5.4,"1,575",+/-104,77.1%,+/-5.0
Bachelor's degree or higher,382,+/-102,9.8%,+/-2.6,236,+/-77,12.8%,+/-4.2,146,+/-49,7.1%,+/-2.4
