Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,796",+/-45,(X),(X),915,+/-43,(X),(X),881,+/-23,(X),(X)
Less than high school graduate,484,+/-129,26.9%,+/-6.9,250,+/-88,27.3%,+/-9.1,234,+/-72,26.6%,+/-8.0
High school graduate (includes equivalency),731,+/-115,40.7%,+/-6.7,392,+/-90,42.8%,+/-10.2,339,+/-71,38.5%,+/-7.9
Some college or associate's degree,415,+/-120,23.1%,+/-6.8,222,+/-89,24.3%,+/-9.8,193,+/-66,21.9%,+/-7.5
Bachelor's degree or higher,166,+/-72,9.2%,+/-4.0,51,+/-36,5.6%,+/-3.9,115,+/-53,13.1%,+/-6.0
Population 25 years and over,"15,788",+/-77,(X),(X),"7,742",+/-75,(X),(X),"8,046",+/-55,(X),(X)
Less than 9th grade,822,+/-170,5.2%,+/-1.1,400,+/-110,5.2%,+/-1.4,422,+/-112,5.2%,+/-1.4
"9th to 12th grade, no diploma","1,846",+/-212,11.7%,+/-1.3,940,+/-173,12.1%,+/-2.2,906,+/-140,11.3%,+/-1.8
High school graduate (includes equivalency),"6,326",+/-305,40.1%,+/-1.9,"3,347",+/-214,43.2%,+/-2.8,"2,979",+/-218,37.0%,+/-2.7
"Some college, no degree","3,431",+/-309,21.7%,+/-1.9,"1,622",+/-202,21.0%,+/-2.6,"1,809",+/-194,22.5%,+/-2.4
Associate's degree,"1,571",+/-189,10.0%,+/-1.2,588,+/-133,7.6%,+/-1.7,983,+/-161,12.2%,+/-2.0
Bachelor's degree,"1,193",+/-186,7.6%,+/-1.2,592,+/-126,7.6%,+/-1.6,601,+/-123,7.5%,+/-1.5
Graduate or professional degree,599,+/-128,3.8%,+/-0.8,253,+/-70,3.3%,+/-0.9,346,+/-93,4.3%,+/-1.2
Percent high school graduate or higher,(X),(X),83.1%,+/-1.7,(X),(X),82.7%,+/-2.4,(X),(X),83.5%,+/-2.0
Percent bachelor's degree or higher,(X),(X),11.4%,+/-1.6,(X),(X),10.9%,+/-1.9,(X),(X),11.8%,+/-1.9
Population 25 to 34 years,"2,539",+/-45,(X),(X),"1,247",+/-42,(X),(X),"1,292",+/-21,(X),(X)
High school graduate or higher,"2,077",+/-157,81.8%,+/-5.8,"1,033",+/-102,82.8%,+/-7.4,"1,044",+/-96,80.8%,+/-7.2
Bachelor's degree or higher,378,+/-112,14.9%,+/-4.4,125,+/-58,10.0%,+/-4.6,253,+/-87,19.6%,+/-6.8
Population 35 to 44 years,"2,721",+/-67,(X),(X),"1,366",+/-39,(X),(X),"1,355",+/-42,(X),(X)
High school graduate or higher,"2,258",+/-160,83.0%,+/-5.1,"1,152",+/-106,84.3%,+/-6.8,"1,106",+/-88,81.6%,+/-5.7
Bachelor's degree or higher,328,+/-103,12.1%,+/-3.7,158,+/-62,11.6%,+/-4.4,170,+/-67,12.5%,+/-4.8
Population 45 to 64 years,"6,644",+/-113,(X),(X),"3,276",+/-77,(X),(X),"3,368",+/-67,(X),(X)
High school graduate or higher,"5,741",+/-161,86.4%,+/-2.2,"2,776",+/-139,84.7%,+/-4.0,"2,965",+/-103,88.0%,+/-2.6
Bachelor's degree or higher,700,+/-140,10.5%,+/-2.1,348,+/-89,10.6%,+/-2.7,352,+/-84,10.5%,+/-2.5
Population 65 years and over,"3,884",+/-40,(X),(X),"1,853",+/-34,(X),(X),"2,031",+/-24,(X),(X)
High school graduate or higher,"3,044",+/-147,78.4%,+/-3.8,"1,441",+/-104,77.8%,+/-5.8,"1,603",+/-89,78.9%,+/-4.4
Bachelor's degree or higher,386,+/-110,9.9%,+/-2.8,214,+/-70,11.5%,+/-3.8,172,+/-61,8.5%,+/-3.0
