RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,392",+/-77,(X),(X),"7,561",+/-46,(X),(X),"7,831",+/-46,(X),(X)
High school graduate or higher,"12,856",+/-270,83.5%,+/-1.6,"6,287",+/-191,83.2%,+/-2.4,"6,569",+/-164,83.9%,+/-1.9
Bachelor's degree or higher,"1,712",+/-240,11.1%,+/-1.6,805,+/-143,10.6%,+/-1.9,907,+/-154,11.6%,+/-2.0
"White alone, not Hispanic or Latino","15,125",+/-4,(X),(X),"7,422",+/-4,(X),(X),"7,703",+/-21,(X),(X)
High school graduate or higher,"12,656",+/-247,83.7%,+/-1.6,"6,175",+/-180,83.2%,+/-2.4,"6,481",+/-151,84.1%,+/-2.0
Bachelor's degree or higher,"1,712",+/-240,11.3%,+/-1.6,805,+/-143,10.8%,+/-1.9,907,+/-154,11.8%,+/-2.0
Black alone,28,+/-21,(X),(X),24,+/-21,(X),(X),4,+/-5,(X),(X)
High school graduate or higher,27,+/-21,96.4%,+/-8.3,24,+/-21,100.0%,+/-58.2,3,+/-4,75.0%,+/-75.0
Bachelor's degree or higher,9,+/-19,32.1%,+/-58.0,9,+/-19,37.5%,+/-62.5,0,+/-21,0.0%,+/-100.0
American Indian or Alaska Native alone,24,+/-24,(X),(X),4,+/-7,(X),(X),20,+/-22,(X),(X)
High school graduate or higher,24,+/-24,100.0%,+/-58.2,4,+/-7,100.0%,+/-100.0,20,+/-22,100.0%,+/-63.7
Bachelor's degree or higher,0,+/-21,0.0%,+/-58.2,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-63.7
Asian alone,48,+/-58,(X),(X),24,+/-29,(X),(X),24,+/-30,(X),(X)
High school graduate or higher,48,+/-58,100.0%,+/-41.1,24,+/-29,100.0%,+/-58.2,24,+/-30,100.0%,+/-58.2
Bachelor's degree or higher,48,+/-58,100.0%,+/-41.1,24,+/-29,100.0%,+/-58.2,24,+/-30,100.0%,+/-58.2
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,182,+/-90,(X),(X),75,+/-53,(X),(X),107,+/-46,(X),(X)
High school graduate or higher,51,+/-29,28.0%,+/-17.2,9,+/-13,12.0%,+/-21.6,42,+/-27,39.3%,+/-20.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-15.2,0,+/-21,0.0%,+/-31.7,0,+/-21,0.0%,+/-24.1
Two or more races,114,+/-76,(X),(X),54,+/-53,(X),(X),60,+/-56,(X),(X)
High school graduate or higher,114,+/-76,100.0%,+/-22.9,54,+/-53,100.0%,+/-38.8,60,+/-56,100.0%,+/-36.7
Bachelor's degree or higher,23,+/-31,20.2%,+/-21.5,7,+/-11,13.0%,+/-21.7,16,+/-28,26.7%,+/-37.1
Hispanic or Latino Origin,455,+/-43,(X),(X),214,+/-43,(X),(X),241,+/-30,(X),(X)
High school graduate or higher,257,+/-57,56.5%,+/-13.8,121,+/-43,56.5%,+/-22.3,136,+/-40,56.4%,+/-13.8
Bachelor's degree or higher,0,+/-21,0.0%,+/-6.4,0,+/-21,0.0%,+/-13.1,0,+/-21,0.0%,+/-11.7
