Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,002",+/-48,(X),(X),"2,079",+/-38,(X),(X),"1,923",+/-27,(X),(X)
Less than high school graduate,959,+/-187,24.0%,+/-4.6,498,+/-130,24.0%,+/-6.1,461,+/-109,24.0%,+/-5.6
High school graduate (includes equivalency),"1,634",+/-249,40.8%,+/-6.2,974,+/-154,46.8%,+/-7.6,660,+/-149,34.3%,+/-7.7
Some college or associate's degree,"1,153",+/-190,28.8%,+/-4.8,508,+/-123,24.4%,+/-5.9,645,+/-141,33.5%,+/-7.4
Bachelor's degree or higher,256,+/-135,6.4%,+/-3.3,99,+/-65,4.8%,+/-3.1,157,+/-88,8.2%,+/-4.6
Population 25 years and over,"31,331",+/-38,(X),(X),"15,459",+/-47,(X),(X),"15,872",+/-46,(X),(X)
Less than 9th grade,"1,993",+/-262,6.4%,+/-0.8,"1,077",+/-185,7.0%,+/-1.2,916,+/-167,5.8%,+/-1.1
"9th to 12th grade, no diploma","2,701",+/-327,8.6%,+/-1.0,"1,459",+/-234,9.4%,+/-1.5,"1,242",+/-219,7.8%,+/-1.4
High school graduate (includes equivalency),"13,084",+/-572,41.8%,+/-1.8,"6,733",+/-439,43.6%,+/-2.8,"6,351",+/-365,40.0%,+/-2.3
"Some college, no degree","6,373",+/-434,20.3%,+/-1.4,"3,162",+/-300,20.5%,+/-1.9,"3,211",+/-349,20.2%,+/-2.2
Associate's degree,"2,807",+/-345,9.0%,+/-1.1,"1,072",+/-188,6.9%,+/-1.2,"1,735",+/-247,10.9%,+/-1.6
Bachelor's degree,"3,051",+/-399,9.7%,+/-1.3,"1,355",+/-254,8.8%,+/-1.6,"1,696",+/-272,10.7%,+/-1.7
Graduate or professional degree,"1,322",+/-200,4.2%,+/-0.6,601,+/-152,3.9%,+/-1.0,721,+/-131,4.5%,+/-0.8
Percent high school graduate or higher,(X),(X),85.0%,+/-1.3,(X),(X),83.6%,+/-1.9,(X),(X),86.4%,+/-1.9
Percent bachelor's degree or higher,(X),(X),14.0%,+/-1.4,(X),(X),12.7%,+/-1.8,(X),(X),15.2%,+/-1.8
Population 25 to 34 years,"5,569",+/-75,(X),(X),"2,856",+/-47,(X),(X),"2,713",+/-44,(X),(X)
High school graduate or higher,"4,843",+/-186,87.0%,+/-2.9,"2,441",+/-125,85.5%,+/-4.4,"2,402",+/-132,88.5%,+/-4.1
Bachelor's degree or higher,"1,047",+/-224,18.8%,+/-4.1,387,+/-119,13.6%,+/-4.2,660,+/-144,24.3%,+/-5.4
Population 35 to 44 years,"6,073",+/-167,(X),(X),"2,996",+/-99,(X),(X),"3,077",+/-103,(X),(X)
High school graduate or higher,"5,021",+/-228,82.7%,+/-3.3,"2,478",+/-126,82.7%,+/-3.6,"2,543",+/-170,82.6%,+/-5.1
Bachelor's degree or higher,756,+/-230,12.4%,+/-3.8,251,+/-100,8.4%,+/-3.3,505,+/-156,16.4%,+/-5.1
Population 45 to 64 years,"12,856",+/-161,(X),(X),"6,560",+/-116,(X),(X),"6,296",+/-88,(X),(X)
High school graduate or higher,"10,968",+/-258,85.3%,+/-2.2,"5,475",+/-191,83.5%,+/-2.9,"5,493",+/-143,87.2%,+/-2.5
Bachelor's degree or higher,"1,866",+/-243,14.5%,+/-1.9,921,+/-175,14.0%,+/-2.7,945,+/-174,15.0%,+/-2.8
Population 65 years and over,"6,833",+/-55,(X),(X),"3,047",+/-48,(X),(X),"3,786",+/-35,(X),(X)
High school graduate or higher,"5,805",+/-163,85.0%,+/-2.5,"2,529",+/-114,83.0%,+/-3.7,"3,276",+/-101,86.5%,+/-2.9
Bachelor's degree or higher,704,+/-131,10.3%,+/-1.9,397,+/-104,13.0%,+/-3.4,307,+/-86,8.1%,+/-2.3
