RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"33,052",+/-74,(X),(X),"16,548",+/-50,(X),(X),"16,504",+/-51,(X),(X)
High school graduate or higher,"29,235",+/-373,88.5%,+/-1.1,"14,511",+/-258,87.7%,+/-1.5,"14,724",+/-267,89.2%,+/-1.6
Bachelor's degree or higher,"5,264",+/-457,15.9%,+/-1.4,"2,378",+/-282,14.4%,+/-1.7,"2,886",+/-240,17.5%,+/-1.5
"White alone, not Hispanic or Latino","32,790",+/-27,(X),(X),"16,423",+/-14,(X),(X),"16,367",+/-14,(X),(X)
High school graduate or higher,"29,055",+/-360,88.6%,+/-1.1,"14,435",+/-244,87.9%,+/-1.5,"14,620",+/-269,89.3%,+/-1.6
Bachelor's degree or higher,"5,240",+/-456,16.0%,+/-1.4,"2,354",+/-280,14.3%,+/-1.7,"2,886",+/-240,17.6%,+/-1.5
Black alone,795,+/-132,(X),(X),689,+/-123,(X),(X),106,+/-36,(X),(X)
High school graduate or higher,656,+/-139,82.5%,+/-7.6,560,+/-131,81.3%,+/-8.8,96,+/-32,90.6%,+/-10.6
Bachelor's degree or higher,34,+/-31,4.3%,+/-3.7,25,+/-30,3.6%,+/-4.2,9,+/-10,8.5%,+/-9.4
American Indian or Alaska Native alone,103,+/-44,(X),(X),63,+/-31,(X),(X),40,+/-32,(X),(X)
High school graduate or higher,65,+/-37,63.1%,+/-24.0,41,+/-26,65.1%,+/-27.2,24,+/-24,60.0%,+/-41.3
Bachelor's degree or higher,17,+/-18,16.5%,+/-15.2,12,+/-13,19.0%,+/-19.5,5,+/-11,12.5%,+/-23.1
Asian alone,108,+/-43,(X),(X),61,+/-25,(X),(X),47,+/-28,(X),(X)
High school graduate or higher,59,+/-25,54.6%,+/-27.0,45,+/-19,73.8%,+/-27.5,14,+/-15,29.8%,+/-28.9
Bachelor's degree or higher,22,+/-13,20.4%,+/-14.7,19,+/-12,31.1%,+/-23.2,3,+/-4,6.4%,+/-8.0
Native Hawaiian and Other Pacific Islander alone,10,+/-10,(X),(X),2,+/-3,(X),(X),8,+/-10,(X),(X)
High school graduate or higher,10,+/-10,100.0%,+/-90.1,2,+/-3,100.0%,+/-100.0,8,+/-10,100.0%,+/-100.0
Bachelor's degree or higher,2,+/-3,20.0%,+/-37.4,0,+/-24,0.0%,+/-100.0,2,+/-3,25.0%,+/-50.9
Some other race alone,126,+/-70,(X),(X),75,+/-45,(X),(X),51,+/-48,(X),(X)
High school graduate or higher,36,+/-33,28.6%,+/-22.0,16,+/-18,21.3%,+/-19.6,20,+/-22,39.2%,+/-50.9
Bachelor's degree or higher,0,+/-24,0.0%,+/-21.0,0,+/-24,0.0%,+/-31.7,0,+/-24,0.0%,+/-39.9
Two or more races,403,+/-100,(X),(X),305,+/-90,(X),(X),98,+/-44,(X),(X)
High school graduate or higher,332,+/-87,82.4%,+/-8.6,246,+/-72,80.7%,+/-9.6,86,+/-43,87.8%,+/-15.3
Bachelor's degree or higher,104,+/-56,25.8%,+/-11.8,59,+/-39,19.3%,+/-11.0,45,+/-30,45.9%,+/-25.3
Hispanic or Latino Origin,407,+/-41,(X),(X),227,+/-46,(X),(X),180,+/-24,(X),(X)
High school graduate or higher,240,+/-69,59.0%,+/-15.6,124,+/-47,54.6%,+/-18.1,116,+/-53,64.4%,+/-30.8
Bachelor's degree or higher,24,+/-26,5.9%,+/-6.3,24,+/-26,10.6%,+/-11.6,0,+/-24,0.0%,+/-15.3
