Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,061",+/-115,(X),(X),"2,366",+/-114,(X),(X),"1,695",+/-15,(X),(X)
Less than high school graduate,901,+/-172,22.2%,+/-4.0,647,+/-151,27.3%,+/-5.8,254,+/-78,15.0%,+/-4.6
High school graduate (includes equivalency),"1,670",+/-196,41.1%,+/-5.1,"1,005",+/-134,42.5%,+/-6.1,665,+/-131,39.2%,+/-7.8
Some college or associate's degree,"1,220",+/-198,30.0%,+/-4.7,636,+/-124,26.9%,+/-5.1,584,+/-138,34.5%,+/-8.2
Bachelor's degree or higher,270,+/-104,6.6%,+/-2.5,78,+/-63,3.3%,+/-2.6,192,+/-84,11.3%,+/-5.0
Population 25 years and over,"34,597",+/-115,(X),(X),"17,743",+/-129,(X),(X),"16,854",+/-47,(X),(X)
Less than 9th grade,"1,225",+/-170,3.5%,+/-0.5,644,+/-120,3.6%,+/-0.7,581,+/-125,3.4%,+/-0.7
"9th to 12th grade, no diploma","2,979",+/-321,8.6%,+/-0.9,"1,678",+/-219,9.5%,+/-1.2,"1,301",+/-234,7.7%,+/-1.4
High school graduate (includes equivalency),"15,032",+/-628,43.4%,+/-1.8,"7,879",+/-451,44.4%,+/-2.5,"7,153",+/-360,42.4%,+/-2.1
"Some college, no degree","7,190",+/-480,20.8%,+/-1.4,"3,710",+/-328,20.9%,+/-1.9,"3,480",+/-276,20.6%,+/-1.6
Associate's degree,"2,728",+/-304,7.9%,+/-0.9,"1,339",+/-205,7.5%,+/-1.2,"1,389",+/-200,8.2%,+/-1.2
Bachelor's degree,"3,645",+/-348,10.5%,+/-1.0,"1,776",+/-229,10.0%,+/-1.3,"1,869",+/-189,11.1%,+/-1.1
Graduate or professional degree,"1,798",+/-246,5.2%,+/-0.7,717,+/-127,4.0%,+/-0.7,"1,081",+/-156,6.4%,+/-0.9
Percent high school graduate or higher,(X),(X),87.8%,+/-1.1,(X),(X),86.9%,+/-1.5,(X),(X),88.8%,+/-1.6
Percent bachelor's degree or higher,(X),(X),15.7%,+/-1.3,(X),(X),14.1%,+/-1.6,(X),(X),17.5%,+/-1.5
Population 25 to 34 years,"5,626",+/-106,(X),(X),"3,203",+/-91,(X),(X),"2,423",+/-56,(X),(X)
High school graduate or higher,"4,967",+/-167,88.3%,+/-2.7,"2,703",+/-146,84.4%,+/-4.2,"2,264",+/-86,93.4%,+/-3.0
Bachelor's degree or higher,923,+/-193,16.4%,+/-3.5,344,+/-113,10.7%,+/-3.5,579,+/-113,23.9%,+/-4.7
Population 35 to 44 years,"6,211",+/-86,(X),(X),"3,375",+/-69,(X),(X),"2,836",+/-53,(X),(X)
High school graduate or higher,"5,705",+/-121,91.9%,+/-1.7,"3,086",+/-94,91.4%,+/-2.1,"2,619",+/-71,92.3%,+/-2.6
Bachelor's degree or higher,"1,076",+/-189,17.3%,+/-3.0,447,+/-104,13.2%,+/-3.1,629,+/-129,22.2%,+/-4.6
Population 45 to 64 years,"13,962",+/-111,(X),(X),"7,297",+/-114,(X),(X),"6,665",+/-33,(X),(X)
High school graduate or higher,"12,554",+/-222,89.9%,+/-1.5,"6,546",+/-155,89.7%,+/-1.8,"6,008",+/-177,90.1%,+/-2.7
Bachelor's degree or higher,"2,223",+/-267,15.9%,+/-1.9,"1,125",+/-181,15.4%,+/-2.4,"1,098",+/-158,16.5%,+/-2.4
Population 65 years and over,"8,798",+/-66,(X),(X),"3,868",+/-35,(X),(X),"4,930",+/-57,(X),(X)
High school graduate or higher,"7,167",+/-244,81.5%,+/-2.7,"3,086",+/-136,79.8%,+/-3.6,"4,081",+/-163,82.8%,+/-3.2
Bachelor's degree or higher,"1,221",+/-211,13.9%,+/-2.4,577,+/-129,14.9%,+/-3.3,644,+/-126,13.1%,+/-2.6
