RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"32,862",+/-78,(X),(X),"16,506",+/-49,(X),(X),"16,356",+/-52,(X),(X)
High school graduate or higher,"29,300",+/-300,89.2%,+/-0.9,"14,573",+/-203,88.3%,+/-1.2,"14,727",+/-230,90.0%,+/-1.4
Bachelor's degree or higher,"5,507",+/-469,16.8%,+/-1.4,"2,496",+/-280,15.1%,+/-1.7,"3,011",+/-291,18.4%,+/-1.8
"White alone, not Hispanic or Latino","32,582",+/-32,(X),(X),"16,358",+/-17,(X),(X),"16,224",+/-16,(X),(X)
High school graduate or higher,"29,101",+/-290,89.3%,+/-0.9,"14,481",+/-198,88.5%,+/-1.2,"14,620",+/-221,90.1%,+/-1.4
Bachelor's degree or higher,"5,478",+/-472,16.8%,+/-1.4,"2,467",+/-283,15.1%,+/-1.7,"3,011",+/-291,18.6%,+/-1.8
Black alone,805,+/-145,(X),(X),709,+/-158,(X),(X),96,+/-52,(X),(X)
High school graduate or higher,650,+/-151,80.7%,+/-7.5,579,+/-156,81.7%,+/-7.0,71,+/-35,74.0%,+/-24.2
Bachelor's degree or higher,27,+/-21,3.4%,+/-2.8,16,+/-17,2.3%,+/-2.5,11,+/-17,11.5%,+/-15.5
American Indian or Alaska Native alone,111,+/-38,(X),(X),84,+/-37,(X),(X),27,+/-25,(X),(X)
High school graduate or higher,89,+/-37,80.2%,+/-18.9,62,+/-32,73.8%,+/-22.6,27,+/-25,100.0%,+/-54.8
Bachelor's degree or higher,13,+/-15,11.7%,+/-12.1,6,+/-10,7.1%,+/-11.5,7,+/-11,25.9%,+/-36.0
Asian alone,125,+/-40,(X),(X),84,+/-21,(X),(X),41,+/-29,(X),(X)
High school graduate or higher,79,+/-20,63.2%,+/-23.3,65,+/-22,77.4%,+/-24.1,14,+/-13,34.1%,+/-25.3
Bachelor's degree or higher,30,+/-29,24.0%,+/-22.9,28,+/-30,33.3%,+/-33.7,2,+/-3,4.9%,+/-9.7
Native Hawaiian and Other Pacific Islander alone,8,+/-8,(X),(X),3,+/-5,(X),(X),5,+/-7,(X),(X)
High school graduate or higher,8,+/-8,100.0%,+/-100.0,3,+/-5,100.0%,+/-100.0,5,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,2,+/-3,25.0%,+/-40.0,0,+/-24,0.0%,+/-100.0,2,+/-3,40.0%,+/-60.0
Some other race alone,117,+/-63,(X),(X),34,+/-28,(X),(X),83,+/-52,(X),(X)
High school graduate or higher,65,+/-47,55.6%,+/-29.9,8,+/-10,23.5%,+/-30.7,57,+/-46,68.7%,+/-41.5
Bachelor's degree or higher,21,+/-38,17.9%,+/-29.1,0,+/-24,0.0%,+/-48.9,21,+/-38,25.3%,+/-38.8
Two or more races,427,+/-155,(X),(X),208,+/-63,(X),(X),219,+/-132,(X),(X)
High school graduate or higher,364,+/-149,85.2%,+/-10.3,158,+/-53,76.0%,+/-18.1,206,+/-133,94.1%,+/-7.8
Bachelor's degree or higher,94,+/-59,22.0%,+/-13.3,31,+/-26,14.9%,+/-11.9,63,+/-46,28.8%,+/-20.9
Hispanic or Latino Origin,451,+/-50,(X),(X),243,+/-48,(X),(X),208,+/-15,(X),(X)
High school graduate or higher,287,+/-74,63.6%,+/-15.2,133,+/-55,54.7%,+/-18.0,154,+/-52,74.0%,+/-24.8
Bachelor's degree or higher,50,+/-48,11.1%,+/-10.3,29,+/-31,11.9%,+/-11.8,21,+/-38,10.1%,+/-18.2
