Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,079",+/-112,(X),(X),"2,382",+/-106,(X),(X),"1,697",+/-49,(X),(X)
Less than high school graduate,883,+/-137,21.6%,+/-3.4,606,+/-116,25.4%,+/-5.1,277,+/-72,16.3%,+/-4.2
High school graduate (includes equivalency),"1,690",+/-243,41.4%,+/-5.7,994,+/-194,41.7%,+/-7.6,696,+/-137,41.0%,+/-7.9
Some college or associate's degree,"1,228",+/-208,30.1%,+/-5.1,682,+/-149,28.6%,+/-6.1,546,+/-127,32.2%,+/-7.6
Bachelor's degree or higher,278,+/-101,6.8%,+/-2.4,100,+/-70,4.2%,+/-2.9,178,+/-71,10.5%,+/-4.1
Population 25 years and over,"34,455",+/-100,(X),(X),"17,628",+/-171,(X),(X),"16,827",+/-145,(X),(X)
Less than 9th grade,"1,085",+/-143,3.1%,+/-0.4,572,+/-102,3.2%,+/-0.6,513,+/-108,3.0%,+/-0.6
"9th to 12th grade, no diploma","2,815",+/-256,8.2%,+/-0.7,"1,608",+/-194,9.1%,+/-1.1,"1,207",+/-193,7.2%,+/-1.1
High school graduate (includes equivalency),"15,039",+/-658,43.6%,+/-1.9,"8,099",+/-385,45.9%,+/-2.0,"6,940",+/-471,41.2%,+/-2.8
"Some college, no degree","7,134",+/-493,20.7%,+/-1.4,"3,579",+/-354,20.3%,+/-2.0,"3,555",+/-287,21.1%,+/-1.7
Associate's degree,"2,688",+/-269,7.8%,+/-0.8,"1,193",+/-164,6.8%,+/-0.9,"1,495",+/-197,8.9%,+/-1.2
Bachelor's degree,"3,791",+/-351,11.0%,+/-1.0,"1,786",+/-237,10.1%,+/-1.3,"2,005",+/-242,11.9%,+/-1.5
Graduate or professional degree,"1,903",+/-266,5.5%,+/-0.8,791,+/-162,4.5%,+/-0.9,"1,112",+/-182,6.6%,+/-1.1
Percent high school graduate or higher,(X),(X),88.7%,+/-0.9,(X),(X),87.6%,+/-1.2,(X),(X),89.8%,+/-1.4
Percent bachelor's degree or higher,(X),(X),16.5%,+/-1.4,(X),(X),14.6%,+/-1.6,(X),(X),18.5%,+/-1.8
Population 25 to 34 years,"5,839",+/-133,(X),(X),"3,319",+/-122,(X),(X),"2,520",+/-153,(X),(X)
High school graduate or higher,"5,259",+/-161,90.1%,+/-2.2,"2,921",+/-131,88.0%,+/-3.1,"2,338",+/-152,92.8%,+/-3.0
Bachelor's degree or higher,886,+/-194,15.2%,+/-3.4,350,+/-110,10.5%,+/-3.3,536,+/-112,21.3%,+/-4.8
Population 35 to 44 years,"6,137",+/-98,(X),(X),"3,370",+/-82,(X),(X),"2,767",+/-46,(X),(X)
High school graduate or higher,"5,562",+/-148,90.6%,+/-2.4,"3,022",+/-120,89.7%,+/-3.3,"2,540",+/-75,91.8%,+/-2.9
Bachelor's degree or higher,"1,253",+/-203,20.4%,+/-3.3,484,+/-108,14.4%,+/-3.2,769,+/-146,27.8%,+/-5.2
Population 45 to 64 years,"13,712",+/-93,(X),(X),"7,086",+/-100,(X),(X),"6,626",+/-68,(X),(X)
High school graduate or higher,"12,416",+/-181,90.5%,+/-1.3,"6,350",+/-171,89.6%,+/-1.8,"6,066",+/-143,91.5%,+/-2.2
Bachelor's degree or higher,"2,230",+/-298,16.3%,+/-2.2,"1,116",+/-180,15.7%,+/-2.5,"1,114",+/-193,16.8%,+/-2.9
Population 65 years and over,"8,767",+/-63,(X),(X),"3,853",+/-33,(X),(X),"4,914",+/-53,(X),(X)
High school graduate or higher,"7,318",+/-190,83.5%,+/-2.1,"3,155",+/-117,81.9%,+/-3.0,"4,163",+/-142,84.7%,+/-2.9
Bachelor's degree or higher,"1,325",+/-208,15.1%,+/-2.4,627,+/-119,16.3%,+/-3.1,698,+/-147,14.2%,+/-3.0
