Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,726",+/-119,(X),(X),"2,179",+/-84,(X),(X),"1,547",+/-55,(X),(X)
Less than high school graduate,565,+/-179,15.2%,+/-4.6,332,+/-118,15.2%,+/-5.3,233,+/-96,15.1%,+/-5.9
High school graduate (includes equivalency),"1,342",+/-183,36.0%,+/-4.8,798,+/-139,36.6%,+/-6.0,544,+/-92,35.2%,+/-6.4
Some college or associate's degree,"1,593",+/-210,42.8%,+/-5.6,929,+/-158,42.6%,+/-7.3,664,+/-116,42.9%,+/-7.2
Bachelor's degree or higher,226,+/-127,6.1%,+/-3.4,120,+/-97,5.5%,+/-4.5,106,+/-68,6.9%,+/-4.4
Population 25 years and over,"23,294",+/-119,(X),(X),"11,543",+/-82,(X),(X),"11,751",+/-65,(X),(X)
Less than 9th grade,750,+/-174,3.2%,+/-0.7,407,+/-121,3.5%,+/-1.0,343,+/-100,2.9%,+/-0.8
"9th to 12th grade, no diploma","1,934",+/-298,8.3%,+/-1.3,871,+/-147,7.5%,+/-1.3,"1,063",+/-235,9.0%,+/-2.0
High school graduate (includes equivalency),"8,852",+/-452,38.0%,+/-1.9,"4,404",+/-274,38.2%,+/-2.4,"4,448",+/-318,37.9%,+/-2.7
"Some college, no degree","5,066",+/-372,21.7%,+/-1.6,"2,640",+/-247,22.9%,+/-2.1,"2,426",+/-234,20.6%,+/-2.0
Associate's degree,"2,046",+/-231,8.8%,+/-1.0,911,+/-132,7.9%,+/-1.2,"1,135",+/-188,9.7%,+/-1.6
Bachelor's degree,"3,027",+/-339,13.0%,+/-1.5,"1,519",+/-224,13.2%,+/-1.9,"1,508",+/-201,12.8%,+/-1.7
Graduate or professional degree,"1,619",+/-263,7.0%,+/-1.1,791,+/-149,6.9%,+/-1.3,828,+/-157,7.0%,+/-1.3
Percent high school graduate or higher,(X),(X),88.5%,+/-1.5,(X),(X),88.9%,+/-1.6,(X),(X),88.0%,+/-2.0
Percent bachelor's degree or higher,(X),(X),19.9%,+/-1.8,(X),(X),20.0%,+/-2.2,(X),(X),19.9%,+/-2.0
Population 25 to 34 years,"3,490",+/-43,(X),(X),"1,809",+/-33,(X),(X),"1,681",+/-26,(X),(X)
High school graduate or higher,"3,136",+/-151,89.9%,+/-4.2,"1,629",+/-67,90.0%,+/-3.6,"1,507",+/-124,89.6%,+/-7.2
Bachelor's degree or higher,718,+/-180,20.6%,+/-5.1,374,+/-119,20.7%,+/-6.6,344,+/-103,20.5%,+/-6.1
Population 35 to 44 years,"3,971",+/-116,(X),(X),"2,007",+/-72,(X),(X),"1,964",+/-62,(X),(X)
High school graduate or higher,"3,686",+/-84,92.8%,+/-3.0,"1,809",+/-66,90.1%,+/-4.6,"1,877",+/-51,95.6%,+/-2.6
Bachelor's degree or higher,989,+/-176,24.9%,+/-4.7,429,+/-104,21.4%,+/-5.4,560,+/-124,28.5%,+/-6.5
Population 45 to 64 years,"9,933",+/-90,(X),(X),"4,971",+/-51,(X),(X),"4,962",+/-60,(X),(X)
High school graduate or higher,"8,766",+/-226,88.3%,+/-2.2,"4,454",+/-115,89.6%,+/-2.3,"4,312",+/-147,86.9%,+/-3.0
Bachelor's degree or higher,"1,795",+/-252,18.1%,+/-2.5,771,+/-150,15.5%,+/-3.0,"1,024",+/-164,20.6%,+/-3.3
Population 65 years and over,"5,900",+/-42,(X),(X),"2,756",+/-38,(X),(X),"3,144",+/-20,(X),(X)
High school graduate or higher,"5,022",+/-153,85.1%,+/-2.5,"2,373",+/-91,86.1%,+/-3.3,"2,649",+/-123,84.3%,+/-3.9
Bachelor's degree or higher,"1,144",+/-201,19.4%,+/-3.4,736,+/-137,26.7%,+/-5.0,408,+/-94,13.0%,+/-3.0
