RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"23,059",+/-135,(X),(X),"11,409",+/-77,(X),(X),"11,650",+/-65,(X),(X)
High school graduate or higher,"20,611",+/-269,89.4%,+/-1.3,"10,289",+/-153,90.2%,+/-1.5,"10,322",+/-221,88.6%,+/-2.0
Bachelor's degree or higher,"4,712",+/-335,20.4%,+/-1.5,"2,389",+/-244,20.9%,+/-2.1,"2,323",+/-201,19.9%,+/-1.7
"White alone, not Hispanic or Latino","22,595",+/-24,(X),(X),"11,194",+/-24,(X),(X),"11,401",+/-24,(X),(X)
High school graduate or higher,"20,472",+/-257,90.6%,+/-1.1,"10,217",+/-148,91.3%,+/-1.3,"10,255",+/-213,89.9%,+/-1.9
Bachelor's degree or higher,"4,668",+/-334,20.7%,+/-1.5,"2,368",+/-238,21.2%,+/-2.1,"2,300",+/-198,20.2%,+/-1.7
Black alone,20,+/-22,(X),(X),15,+/-22,(X),(X),5,+/-6,(X),(X)
High school graduate or higher,9,+/-14,45.0%,+/-55.0,4,+/-13,26.7%,+/-72.6,5,+/-6,100.0%,+/-100.0
Bachelor's degree or higher,1,+/-2,5.0%,+/-9.9,0,+/-24,0.0%,+/-73.6,1,+/-2,20.0%,+/-40.0
American Indian or Alaska Native alone,19,+/-14,(X),(X),9,+/-9,(X),(X),10,+/-9,(X),(X)
High school graduate or higher,19,+/-14,100.0%,+/-65.4,9,+/-9,100.0%,+/-95.0,10,+/-9,100.0%,+/-90.1
Bachelor's degree or higher,0,+/-24,0.0%,+/-65.4,0,+/-24,0.0%,+/-95.0,0,+/-24,0.0%,+/-90.1
Asian alone,119,+/-55,(X),(X),58,+/-34,(X),(X),61,+/-29,(X),(X)
High school graduate or higher,116,+/-54,97.5%,+/-6.0,56,+/-34,96.6%,+/-9.1,60,+/-29,98.4%,+/-6.1
Bachelor's degree or higher,37,+/-24,31.1%,+/-17.2,6,+/-9,10.3%,+/-15.1,31,+/-21,50.8%,+/-24.2
Native Hawaiian and Other Pacific Islander alone,11,+/-19,(X),(X),11,+/-19,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,11,+/-19,100.0%,+/-85.9,11,+/-19,100.0%,+/-85.9,0,+/-24,-,**
Bachelor's degree or higher,11,+/-19,100.0%,+/-85.9,11,+/-19,100.0%,+/-85.9,0,+/-24,-,**
Some other race alone,34,+/-36,(X),(X),34,+/-36,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,16,+/-25,47.1%,+/-48.9,16,+/-25,47.1%,+/-48.9,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-48.9,0,+/-24,0.0%,+/-48.9,0,+/-24,-,**
Two or more races,289,+/-53,(X),(X),147,+/-41,(X),(X),142,+/-27,(X),(X)
High school graduate or higher,250,+/-51,86.5%,+/-6.2,130,+/-39,88.4%,+/-9.5,120,+/-30,84.5%,+/-9.8
Bachelor's degree or higher,21,+/-18,7.3%,+/-5.8,10,+/-14,6.8%,+/-9.0,11,+/-11,7.7%,+/-7.9
Hispanic or Latino Origin,501,+/-123,(X),(X),252,+/-67,(X),(X),249,+/-65,(X),(X)
High school graduate or higher,158,+/-95,31.5%,+/-19.4,91,+/-57,36.1%,+/-20.7,67,+/-54,26.9%,+/-22.5
Bachelor's degree or higher,44,+/-46,8.8%,+/-8.9,21,+/-36,8.3%,+/-13.2,23,+/-25,9.2%,+/-10.6
