RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,721",+/-107,(X),(X),"11,239",+/-79,(X),(X),"11,482",+/-50,(X),(X)
High school graduate or higher,"20,355",+/-329,89.6%,+/-1.5,"10,111",+/-165,90.0%,+/-1.6,"10,244",+/-218,89.2%,+/-1.9
Bachelor's degree or higher,"4,543",+/-356,20.0%,+/-1.6,"2,221",+/-208,19.8%,+/-1.9,"2,322",+/-238,20.2%,+/-2.1
"White alone, not Hispanic or Latino","22,294",+/-24,(X),(X),"11,022",+/-24,(X),(X),"11,272",+/-24,(X),(X)
High school graduate or higher,"20,185",+/-314,90.5%,+/-1.4,"10,038",+/-160,91.1%,+/-1.5,"10,147",+/-209,90.0%,+/-1.9
Bachelor's degree or higher,"4,501",+/-355,20.2%,+/-1.6,"2,200",+/-213,20.0%,+/-1.9,"2,301",+/-235,20.4%,+/-2.1
Black alone,35,+/-24,(X),(X),30,+/-22,(X),(X),5,+/-7,(X),(X)
High school graduate or higher,21,+/-18,60.0%,+/-29.0,16,+/-16,53.3%,+/-31.4,5,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,5,+/-7,14.3%,+/-21.1,0,+/-24,0.0%,+/-52.0,5,+/-7,100.0%,+/-100.0
American Indian or Alaska Native alone,9,+/-9,(X),(X),6,+/-8,(X),(X),3,+/-4,(X),(X)
High school graduate or higher,8,+/-9,88.9%,+/-29.1,6,+/-8,100.0%,+/-100.0,2,+/-4,66.7%,+/-66.7
Bachelor's degree or higher,0,+/-24,0.0%,+/-95.0,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Asian alone,120,+/-32,(X),(X),63,+/-25,(X),(X),57,+/-16,(X),(X)
High school graduate or higher,113,+/-32,94.2%,+/-7.5,63,+/-25,100.0%,+/-35.6,50,+/-16,87.7%,+/-15.7
Bachelor's degree or higher,41,+/-22,34.2%,+/-18.0,13,+/-17,20.6%,+/-25.6,28,+/-18,49.1%,+/-26.7
Native Hawaiian and Other Pacific Islander alone,11,+/-14,(X),(X),9,+/-14,(X),(X),2,+/-4,(X),(X)
High school graduate or higher,11,+/-14,100.0%,+/-85.9,9,+/-14,100.0%,+/-95.0,2,+/-4,100.0%,+/-100.0
Bachelor's degree or higher,11,+/-14,100.0%,+/-85.9,9,+/-14,100.0%,+/-95.0,2,+/-4,100.0%,+/-100.0
Some other race alone,28,+/-32,(X),(X),28,+/-32,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,24,+/-30,85.7%,+/-28.3,24,+/-30,85.7%,+/-28.3,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-53.8,0,+/-24,0.0%,+/-53.8,0,+/-24,-,**
Two or more races,217,+/-50,(X),(X),118,+/-41,(X),(X),99,+/-35,(X),(X)
High school graduate or higher,192,+/-49,88.5%,+/-7.5,108,+/-42,91.5%,+/-10.6,84,+/-33,84.8%,+/-11.6
Bachelor's degree or higher,22,+/-17,10.1%,+/-7.8,8,+/-12,6.8%,+/-10.3,14,+/-12,14.1%,+/-11.9
Hispanic or Latino Origin,463,+/-103,(X),(X),249,+/-81,(X),(X),214,+/-50,(X),(X)
High school graduate or higher,202,+/-90,43.6%,+/-20.5,101,+/-51,40.6%,+/-19.1,101,+/-66,47.2%,+/-27.6
Bachelor's degree or higher,46,+/-32,9.9%,+/-7.1,21,+/-23,8.4%,+/-9.3,25,+/-22,11.7%,+/-9.7
