Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,701",+/-130,(X),(X),"2,165",+/-91,(X),(X),"1,536",+/-64,(X),(X)
Less than high school graduate,690,+/-196,18.6%,+/-5.1,364,+/-95,16.8%,+/-4.2,326,+/-139,21.2%,+/-8.8
High school graduate (includes equivalency),"1,272",+/-163,34.4%,+/-4.6,792,+/-138,36.6%,+/-6.3,480,+/-107,31.3%,+/-7.3
Some college or associate's degree,"1,503",+/-202,40.6%,+/-5.3,884,+/-135,40.8%,+/-6.1,619,+/-136,40.3%,+/-8.7
Bachelor's degree or higher,236,+/-116,6.4%,+/-3.1,125,+/-92,5.8%,+/-4.3,111,+/-61,7.2%,+/-3.9
Population 25 years and over,"23,551",+/-145,(X),(X),"11,683",+/-89,(X),(X),"11,868",+/-72,(X),(X)
Less than 9th grade,732,+/-211,3.1%,+/-0.9,329,+/-100,2.8%,+/-0.8,403,+/-133,3.4%,+/-1.1
"9th to 12th grade, no diploma","1,787",+/-242,7.6%,+/-1.0,839,+/-156,7.2%,+/-1.3,948,+/-198,8.0%,+/-1.7
High school graduate (includes equivalency),"8,837",+/-436,37.5%,+/-1.9,"4,390",+/-295,37.6%,+/-2.6,"4,447",+/-269,37.5%,+/-2.2
"Some college, no degree","4,991",+/-419,21.2%,+/-1.8,"2,578",+/-260,22.1%,+/-2.2,"2,413",+/-255,20.3%,+/-2.1
Associate's degree,"2,422",+/-276,10.3%,+/-1.2,"1,131",+/-220,9.7%,+/-1.9,"1,291",+/-211,10.9%,+/-1.8
Bachelor's degree,"3,003",+/-300,12.8%,+/-1.3,"1,569",+/-228,13.4%,+/-1.9,"1,434",+/-172,12.1%,+/-1.5
Graduate or professional degree,"1,779",+/-231,7.6%,+/-1.0,847,+/-162,7.2%,+/-1.4,932,+/-154,7.9%,+/-1.3
Percent high school graduate or higher,(X),(X),89.3%,+/-1.3,(X),(X),90.0%,+/-1.4,(X),(X),88.6%,+/-2.0
Percent bachelor's degree or higher,(X),(X),20.3%,+/-1.5,(X),(X),20.7%,+/-2.1,(X),(X),19.9%,+/-1.8
Population 25 to 34 years,"3,499",+/-58,(X),(X),"1,816",+/-39,(X),(X),"1,683",+/-39,(X),(X)
High school graduate or higher,"3,195",+/-139,91.3%,+/-3.8,"1,657",+/-88,91.2%,+/-4.2,"1,538",+/-103,91.4%,+/-5.6
Bachelor's degree or higher,737,+/-175,21.1%,+/-5.0,394,+/-117,21.7%,+/-6.5,343,+/-98,20.4%,+/-5.8
Population 35 to 44 years,"3,846",+/-123,(X),(X),"1,940",+/-83,(X),(X),"1,906",+/-61,(X),(X)
High school graduate or higher,"3,513",+/-101,91.3%,+/-3.0,"1,721",+/-78,88.7%,+/-4.4,"1,792",+/-56,94.0%,+/-3.2
Bachelor's degree or higher,"1,068",+/-194,27.8%,+/-5.2,459,+/-130,23.7%,+/-6.8,609,+/-129,32.0%,+/-6.8
Population 45 to 64 years,"9,938",+/-91,(X),(X),"4,981",+/-44,(X),(X),"4,957",+/-70,(X),(X)
High school graduate or higher,"8,963",+/-184,90.2%,+/-1.8,"4,573",+/-115,91.8%,+/-2.1,"4,390",+/-132,88.6%,+/-2.9
Bachelor's degree or higher,"1,676",+/-198,16.9%,+/-2.0,734,+/-141,14.7%,+/-2.8,942,+/-132,19.0%,+/-2.7
Population 65 years and over,"6,268",+/-40,(X),(X),"2,946",+/-33,(X),(X),"3,322",+/-16,(X),(X)
High school graduate or higher,"5,361",+/-172,85.5%,+/-2.6,"2,564",+/-106,87.0%,+/-3.3,"2,797",+/-127,84.2%,+/-3.7
Bachelor's degree or higher,"1,301",+/-189,20.8%,+/-3.0,829,+/-129,28.1%,+/-4.3,472,+/-97,14.2%,+/-2.9
