RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"20,439",+/-209,(X),(X),"9,900",+/-108,(X),(X),"10,539",+/-137,(X),(X)
High school graduate or higher,"17,910",+/-343,87.6%,+/-1.5,"8,633",+/-206,87.2%,+/-1.9,"9,277",+/-232,88.0%,+/-2.0
Bachelor's degree or higher,"3,122",+/-328,15.3%,+/-1.6,"1,310",+/-175,13.2%,+/-1.8,"1,812",+/-215,17.2%,+/-2.0
"White alone, not Hispanic or Latino","18,981",+/-24,(X),(X),"9,081",+/-24,(X),(X),"9,900",+/-24,(X),(X)
High school graduate or higher,"17,084",+/-276,90.0%,+/-1.4,"8,180",+/-166,90.1%,+/-1.8,"8,904",+/-206,89.9%,+/-2.0
Bachelor's degree or higher,"3,073",+/-323,16.2%,+/-1.7,"1,281",+/-166,14.1%,+/-1.8,"1,792",+/-216,18.1%,+/-2.2
Black alone,143,+/-72,(X),(X),83,+/-43,(X),(X),60,+/-42,(X),(X)
High school graduate or higher,71,+/-32,49.7%,+/-20.8,50,+/-29,60.2%,+/-27.3,21,+/-21,35.0%,+/-35.9
Bachelor's degree or higher,6,+/-11,4.2%,+/-7.6,0,+/-24,0.0%,+/-29.5,6,+/-11,10.0%,+/-18.1
American Indian or Alaska Native alone,35,+/-24,(X),(X),21,+/-22,(X),(X),14,+/-15,(X),(X)
High school graduate or higher,35,+/-24,100.0%,+/-48.2,21,+/-22,100.0%,+/-62.2,14,+/-15,100.0%,+/-76.1
Bachelor's degree or higher,14,+/-15,40.0%,+/-41.9,0,+/-24,0.0%,+/-62.2,14,+/-15,100.0%,+/-76.1
Asian alone,56,+/-45,(X),(X),28,+/-23,(X),(X),28,+/-23,(X),(X)
High school graduate or higher,56,+/-45,100.0%,+/-38.1,28,+/-23,100.0%,+/-53.8,28,+/-23,100.0%,+/-53.8
Bachelor's degree or higher,45,+/-43,80.4%,+/-29.1,22,+/-21,78.6%,+/-29.5,23,+/-21,82.1%,+/-30.4
Native Hawaiian and Other Pacific Islander alone,28,+/-37,(X),(X),12,+/-20,(X),(X),16,+/-20,(X),(X)
High school graduate or higher,17,+/-21,60.7%,+/-21.6,12,+/-20,100.0%,+/-82.2,5,+/-7,31.3%,+/-49.2
Bachelor's degree or higher,0,+/-24,0.0%,+/-53.8,0,+/-24,0.0%,+/-82.3,0,+/-24,0.0%,+/-71.2
Some other race alone,574,+/-185,(X),(X),286,+/-99,(X),(X),288,+/-110,(X),(X)
High school graduate or higher,269,+/-111,46.9%,+/-14.5,138,+/-58,48.3%,+/-15.7,131,+/-75,45.5%,+/-19.1
Bachelor's degree or higher,4,+/-10,0.7%,+/-1.7,0,+/-24,0.0%,+/-9.9,4,+/-10,1.4%,+/-3.4
Two or more races,156,+/-70,(X),(X),69,+/-49,(X),(X),87,+/-49,(X),(X)
High school graduate or higher,93,+/-41,59.6%,+/-23.2,45,+/-40,65.2%,+/-30.0,48,+/-33,55.2%,+/-28.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-17.4,0,+/-24,0.0%,+/-33.6,0,+/-24,0.0%,+/-28.4
Hispanic or Latino Origin,"2,180",+/-69,(X),(X),"1,194",*****,(X),(X),986,+/-69,(X),(X)
High school graduate or higher,"1,135",+/-201,52.1%,+/-8.6,641,+/-110,53.7%,+/-9.2,494,+/-125,50.1%,+/-11.2
Bachelor's degree or higher,53,+/-48,2.4%,+/-2.2,29,+/-40,2.4%,+/-3.4,24,+/-30,2.4%,+/-3.0
