Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,697",+/-81,(X),(X),"1,378",+/-37,(X),(X),"1,319",+/-70,(X),(X)
Less than high school graduate,507,+/-134,18.8%,+/-4.8,296,+/-93,21.5%,+/-6.7,211,+/-89,16.0%,+/-6.7
High school graduate (includes equivalency),"1,069",+/-186,39.6%,+/-6.8,581,+/-105,42.2%,+/-7.7,488,+/-127,37.0%,+/-9.4
Some college or associate's degree,993,+/-150,36.8%,+/-5.7,477,+/-110,34.6%,+/-8.0,516,+/-115,39.1%,+/-8.3
Bachelor's degree or higher,128,+/-55,4.7%,+/-2.0,24,+/-25,1.7%,+/-1.8,104,+/-42,7.9%,+/-3.3
Population 25 years and over,"21,431",+/-95,(X),(X),"10,399",+/-45,(X),(X),"11,032",+/-80,(X),(X)
Less than 9th grade,"1,368",+/-231,6.4%,+/-1.1,721,+/-138,6.9%,+/-1.3,647,+/-139,5.9%,+/-1.3
"9th to 12th grade, no diploma","1,612",+/-212,7.5%,+/-1.0,751,+/-140,7.2%,+/-1.3,861,+/-162,7.8%,+/-1.5
High school graduate (includes equivalency),"9,704",+/-454,45.3%,+/-2.1,"4,834",+/-318,46.5%,+/-3.0,"4,870",+/-309,44.1%,+/-2.7
"Some college, no degree","4,021",+/-350,18.8%,+/-1.6,"2,008",+/-236,19.3%,+/-2.3,"2,013",+/-256,18.2%,+/-2.3
Associate's degree,"1,535",+/-228,7.2%,+/-1.1,753,+/-157,7.2%,+/-1.5,782,+/-153,7.1%,+/-1.4
Bachelor's degree,"2,170",+/-263,10.1%,+/-1.2,957,+/-145,9.2%,+/-1.4,"1,213",+/-203,11.0%,+/-1.8
Graduate or professional degree,"1,021",+/-183,4.8%,+/-0.9,375,+/-93,3.6%,+/-0.9,646,+/-132,5.9%,+/-1.2
Percent high school graduate or higher,(X),(X),86.1%,+/-1.5,(X),(X),85.8%,+/-1.9,(X),(X),86.3%,+/-2.0
Percent bachelor's degree or higher,(X),(X),14.9%,+/-1.5,(X),(X),12.8%,+/-1.7,(X),(X),16.9%,+/-2.0
Population 25 to 34 years,"3,792",+/-69,(X),(X),"1,931",+/-21,(X),(X),"1,861",+/-69,(X),(X)
High school graduate or higher,"3,057",+/-187,80.6%,+/-4.5,"1,533",+/-113,79.4%,+/-5.8,"1,524",+/-126,81.9%,+/-5.8
Bachelor's degree or higher,739,+/-166,19.5%,+/-4.4,281,+/-90,14.6%,+/-4.6,458,+/-112,24.6%,+/-6.1
Population 35 to 44 years,"4,039",+/-128,(X),(X),"2,006",+/-99,(X),(X),"2,033",+/-61,(X),(X)
High school graduate or higher,"3,409",+/-161,84.4%,+/-4.2,"1,744",+/-101,86.9%,+/-4.5,"1,665",+/-106,81.9%,+/-5.6
Bachelor's degree or higher,566,+/-141,14.0%,+/-3.5,247,+/-92,12.3%,+/-4.7,319,+/-85,15.7%,+/-4.3
Population 45 to 64 years,"8,481",+/-129,(X),(X),"4,272",+/-99,(X),(X),"4,209",+/-64,(X),(X)
High school graduate or higher,"7,638",+/-185,90.1%,+/-2.0,"3,773",+/-130,88.3%,+/-2.6,"3,865",+/-120,91.8%,+/-2.9
Bachelor's degree or higher,"1,154",+/-173,13.6%,+/-2.1,450,+/-97,10.5%,+/-2.2,704,+/-120,16.7%,+/-2.9
Population 65 years and over,"5,119",+/-62,(X),(X),"2,190",+/-37,(X),(X),"2,929",+/-39,(X),(X)
High school graduate or higher,"4,347",+/-148,84.9%,+/-2.7,"1,877",+/-79,85.7%,+/-3.2,"2,470",+/-104,84.3%,+/-3.5
Bachelor's degree or higher,732,+/-139,14.3%,+/-2.7,354,+/-78,16.2%,+/-3.6,378,+/-98,12.9%,+/-3.3
