Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,512",+/-158,(X),(X),"2,852",+/-135,(X),(X),"2,660",+/-99,(X),(X)
Less than high school graduate,657,+/-149,11.9%,+/-2.6,376,+/-102,13.2%,+/-3.3,281,+/-98,10.6%,+/-3.7
High school graduate (includes equivalency),"1,638",+/-216,29.7%,+/-4.0,"1,091",+/-187,38.3%,+/-6.4,547,+/-173,20.6%,+/-6.3
Some college or associate's degree,"3,042",+/-249,55.2%,+/-4.1,"1,318",+/-172,46.2%,+/-5.8,"1,724",+/-168,64.8%,+/-6.3
Bachelor's degree or higher,175,+/-69,3.2%,+/-1.3,67,+/-48,2.3%,+/-1.7,108,+/-57,4.1%,+/-2.1
Population 25 years and over,"24,863",+/-116,(X),(X),"13,179",+/-132,(X),(X),"11,684",+/-59,(X),(X)
Less than 9th grade,835,+/-182,3.4%,+/-0.7,435,+/-106,3.3%,+/-0.8,400,+/-143,3.4%,+/-1.2
"9th to 12th grade, no diploma","2,048",+/-267,8.2%,+/-1.1,"1,337",+/-200,10.1%,+/-1.5,711,+/-131,6.1%,+/-1.1
High school graduate (includes equivalency),"10,335",+/-507,41.6%,+/-2.0,"5,412",+/-354,41.1%,+/-2.6,"4,923",+/-352,42.1%,+/-3.0
"Some college, no degree","5,576",+/-461,22.4%,+/-1.8,"2,918",+/-339,22.1%,+/-2.6,"2,658",+/-315,22.7%,+/-2.7
Associate's degree,"2,331",+/-292,9.4%,+/-1.2,"1,257",+/-212,9.5%,+/-1.6,"1,074",+/-186,9.2%,+/-1.6
Bachelor's degree,"2,129",+/-267,8.6%,+/-1.1,987,+/-213,7.5%,+/-1.6,"1,142",+/-187,9.8%,+/-1.6
Graduate or professional degree,"1,609",+/-228,6.5%,+/-0.9,833,+/-145,6.3%,+/-1.1,776,+/-158,6.6%,+/-1.4
Percent high school graduate or higher,(X),(X),88.4%,+/-1.3,(X),(X),86.6%,+/-1.7,(X),(X),90.5%,+/-1.6
Percent bachelor's degree or higher,(X),(X),15.0%,+/-1.5,(X),(X),13.8%,+/-1.8,(X),(X),16.4%,+/-2.2
Population 25 to 34 years,"4,427",+/-101,(X),(X),"2,662",+/-84,(X),(X),"1,765",+/-63,(X),(X)
High school graduate or higher,"3,778",+/-148,85.3%,+/-3.2,"2,161",+/-120,81.2%,+/-4.2,"1,617",+/-95,91.6%,+/-5.2
Bachelor's degree or higher,550,+/-161,12.4%,+/-3.6,193,+/-68,7.3%,+/-2.5,357,+/-133,20.2%,+/-7.5
Population 35 to 44 years,"4,501",+/-110,(X),(X),"2,525",+/-92,(X),(X),"1,976",+/-53,(X),(X)
High school graduate or higher,"4,004",+/-139,89.0%,+/-2.7,"2,183",+/-104,86.5%,+/-4.1,"1,821",+/-77,92.2%,+/-3.0
Bachelor's degree or higher,835,+/-179,18.6%,+/-4.0,393,+/-107,15.6%,+/-4.3,442,+/-105,22.4%,+/-5.3
Population 45 to 64 years,"10,264",+/-125,(X),(X),"5,473",+/-93,(X),(X),"4,791",+/-81,(X),(X)
High school graduate or higher,"9,331",+/-181,90.9%,+/-1.6,"4,867",+/-145,88.9%,+/-2.4,"4,464",+/-118,93.2%,+/-1.7
Bachelor's degree or higher,"1,627",+/-236,15.9%,+/-2.3,889,+/-157,16.2%,+/-2.8,738,+/-151,15.4%,+/-3.2
Population 65 years and over,"5,671",+/-58,(X),(X),"2,519",+/-15,(X),(X),"3,152",+/-53,(X),(X)
High school graduate or higher,"4,867",+/-207,85.8%,+/-3.4,"2,196",+/-109,87.2%,+/-4.3,"2,671",+/-165,84.7%,+/-4.7
Bachelor's degree or higher,726,+/-182,12.8%,+/-3.2,345,+/-99,13.7%,+/-3.9,381,+/-128,12.1%,+/-4.0
