RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"23,500",+/-112,(X),(X),"12,082",+/-75,(X),(X),"11,418",+/-85,(X),(X)
High school graduate or higher,"21,101",+/-315,89.8%,+/-1.3,"10,755",+/-210,89.0%,+/-1.8,"10,346",+/-198,90.6%,+/-1.6
Bachelor's degree or higher,"3,600",+/-366,15.3%,+/-1.6,"1,749",+/-223,14.5%,+/-1.8,"1,851",+/-259,16.2%,+/-2.3
"White alone, not Hispanic or Latino","23,087",+/-39,(X),(X),"11,875",+/-20,(X),(X),"11,212",+/-20,(X),(X)
High school graduate or higher,"20,811",+/-304,90.1%,+/-1.3,"10,641",+/-208,89.6%,+/-1.7,"10,170",+/-176,90.7%,+/-1.5
Bachelor's degree or higher,"3,548",+/-371,15.4%,+/-1.6,"1,728",+/-227,14.6%,+/-1.9,"1,820",+/-262,16.2%,+/-2.3
Black alone,957,+/-123,(X),(X),931,+/-119,(X),(X),26,+/-25,(X),(X)
High school graduate or higher,554,+/-113,57.9%,+/-8.6,528,+/-108,56.7%,+/-8.7,26,+/-25,100.0%,+/-55.9
Bachelor's degree or higher,44,+/-35,4.6%,+/-3.5,44,+/-35,4.7%,+/-3.6,0,+/-24,0.0%,+/-55.9
American Indian or Alaska Native alone,31,+/-28,(X),(X),13,+/-20,(X),(X),18,+/-20,(X),(X)
High school graduate or higher,13,+/-20,41.9%,+/-46.9,13,+/-20,100.0%,+/-79.0,0,+/-24,0.0%,+/-67.2
Bachelor's degree or higher,0,+/-24,0.0%,+/-51.2,0,+/-24,0.0%,+/-79.0,0,+/-24,0.0%,+/-67.2
Asian alone,119,+/-15,(X),(X),17,+/-19,(X),(X),102,+/-15,(X),(X)
High school graduate or higher,119,+/-15,100.0%,+/-22.0,17,+/-19,100.0%,+/-69.1,102,+/-15,100.0%,+/-25.1
Bachelor's degree or higher,35,+/-37,29.4%,+/-29.3,3,+/-7,17.6%,+/-44.4,32,+/-32,31.4%,+/-29.7
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,99,+/-65,(X),(X),46,+/-30,(X),(X),53,+/-58,(X),(X)
High school graduate or higher,71,+/-62,71.7%,+/-22.8,18,+/-18,39.1%,+/-30.3,53,+/-58,100.0%,+/-39.1
Bachelor's degree or higher,41,+/-36,41.4%,+/-26.9,16,+/-18,34.8%,+/-29.9,25,+/-31,47.2%,+/-42.6
Two or more races,157,+/-78,(X),(X),90,+/-49,(X),(X),67,+/-49,(X),(X)
High school graduate or higher,122,+/-64,77.7%,+/-22.7,76,+/-47,84.4%,+/-21.3,46,+/-39,68.7%,+/-30.3
Bachelor's degree or higher,18,+/-19,11.5%,+/-11.7,8,+/-15,8.9%,+/-15.8,10,+/-16,14.9%,+/-24.5
Hispanic or Latino Origin,553,+/-92,(X),(X),297,+/-75,(X),(X),256,+/-68,(X),(X)
High school graduate or higher,402,+/-84,72.7%,+/-12.0,176,+/-54,59.3%,+/-14.3,226,+/-77,88.3%,+/-18.4
Bachelor's degree or higher,97,+/-51,17.5%,+/-10.0,44,+/-31,14.8%,+/-10.4,53,+/-41,20.7%,+/-17.5
