Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,434",+/-119,(X),(X),"2,820",+/-102,(X),(X),"2,614",+/-83,(X),(X)
Less than high school graduate,405,+/-132,7.5%,+/-2.4,233,+/-91,8.3%,+/-3.1,172,+/-91,6.6%,+/-3.5
High school graduate (includes equivalency),"1,623",+/-271,29.9%,+/-4.9,"1,100",+/-196,39.0%,+/-6.8,523,+/-160,20.0%,+/-6.1
Some college or associate's degree,"3,169",+/-296,58.3%,+/-5.3,"1,360",+/-199,48.2%,+/-6.9,"1,809",+/-187,69.2%,+/-6.6
Bachelor's degree or higher,237,+/-95,4.4%,+/-1.8,127,+/-73,4.5%,+/-2.6,110,+/-58,4.2%,+/-2.2
Population 25 years and over,"24,756",+/-119,(X),(X),"13,137",+/-142,(X),(X),"11,619",+/-108,(X),(X)
Less than 9th grade,858,+/-187,3.5%,+/-0.8,495,+/-152,3.8%,+/-1.2,363,+/-121,3.1%,+/-1.0
"9th to 12th grade, no diploma","2,055",+/-287,8.3%,+/-1.2,"1,280",+/-221,9.7%,+/-1.6,775,+/-186,6.7%,+/-1.6
High school graduate (includes equivalency),"10,656",+/-494,43.0%,+/-2.0,"5,736",+/-338,43.7%,+/-2.6,"4,920",+/-365,42.3%,+/-3.1
"Some college, no degree","5,208",+/-442,21.0%,+/-1.8,"2,716",+/-284,20.7%,+/-2.2,"2,492",+/-285,21.4%,+/-2.4
Associate's degree,"2,158",+/-289,8.7%,+/-1.2,"1,107",+/-206,8.4%,+/-1.6,"1,051",+/-178,9.0%,+/-1.5
Bachelor's degree,"2,210",+/-296,8.9%,+/-1.2,"1,044",+/-202,7.9%,+/-1.5,"1,166",+/-210,10.0%,+/-1.8
Graduate or professional degree,"1,611",+/-260,6.5%,+/-1.1,759,+/-163,5.8%,+/-1.3,852,+/-183,7.3%,+/-1.6
Percent high school graduate or higher,(X),(X),88.2%,+/-1.4,(X),(X),86.5%,+/-1.9,(X),(X),90.2%,+/-1.8
Percent bachelor's degree or higher,(X),(X),15.4%,+/-1.6,(X),(X),13.7%,+/-1.8,(X),(X),17.4%,+/-2.2
Population 25 to 34 years,"4,397",+/-88,(X),(X),"2,619",+/-83,(X),(X),"1,778",+/-74,(X),(X)
High school graduate or higher,"3,763",+/-163,85.6%,+/-3.4,"2,106",+/-124,80.4%,+/-4.9,"1,657",+/-98,93.2%,+/-4.0
Bachelor's degree or higher,580,+/-151,13.2%,+/-3.4,195,+/-73,7.4%,+/-2.8,385,+/-108,21.7%,+/-5.9
Population 35 to 44 years,"4,370",+/-95,(X),(X),"2,490",+/-88,(X),(X),"1,880",+/-53,(X),(X)
High school graduate or higher,"3,862",+/-125,88.4%,+/-2.6,"2,155",+/-87,86.5%,+/-3.2,"1,707",+/-86,90.8%,+/-4.0
Bachelor's degree or higher,810,+/-196,18.5%,+/-4.5,406,+/-127,16.3%,+/-5.1,404,+/-98,21.5%,+/-5.3
Population 45 to 64 years,"10,186",+/-115,(X),(X),"5,435",+/-92,(X),(X),"4,751",+/-64,(X),(X)
High school graduate or higher,"9,245",+/-240,90.8%,+/-2.1,"4,868",+/-167,89.6%,+/-2.7,"4,377",+/-136,92.1%,+/-2.5
Bachelor's degree or higher,"1,582",+/-224,15.5%,+/-2.2,792,+/-156,14.6%,+/-2.8,790,+/-140,16.6%,+/-2.9
Population 65 years and over,"5,803",+/-56,(X),(X),"2,593",+/-35,(X),(X),"3,210",+/-41,(X),(X)
High school graduate or higher,"4,973",+/-205,85.7%,+/-3.3,"2,233",+/-93,86.1%,+/-3.7,"2,740",+/-150,85.4%,+/-4.3
Bachelor's degree or higher,849,+/-172,14.6%,+/-3.0,410,+/-112,15.8%,+/-4.3,439,+/-122,13.7%,+/-3.8
