RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"23,339",+/-70,(X),(X),"12,063",+/-63,(X),(X),"11,276",+/-55,(X),(X)
High school graduate or higher,"20,809",+/-334,89.2%,+/-1.4,"10,757",+/-241,89.2%,+/-2.0,"10,052",+/-205,89.1%,+/-1.7
Bachelor's degree or higher,"3,629",+/-418,15.5%,+/-1.8,"1,765",+/-223,14.6%,+/-1.8,"1,864",+/-274,16.5%,+/-2.4
"White alone, not Hispanic or Latino","23,098",+/-40,(X),(X),"11,900",+/-22,(X),(X),"11,198",+/-20,(X),(X)
High school graduate or higher,"20,645",+/-327,89.4%,+/-1.4,"10,662",+/-231,89.6%,+/-1.9,"9,983",+/-188,89.1%,+/-1.7
Bachelor's degree or higher,"3,595",+/-418,15.6%,+/-1.8,"1,746",+/-221,14.7%,+/-1.9,"1,849",+/-273,16.5%,+/-2.4
Black alone,"1,030",+/-123,(X),(X),"1,006",+/-128,(X),(X),24,+/-31,(X),(X)
High school graduate or higher,615,+/-131,59.7%,+/-7.9,591,+/-135,58.7%,+/-8.2,24,+/-31,100.0%,+/-58.2
Bachelor's degree or higher,53,+/-46,5.1%,+/-4.5,53,+/-46,5.3%,+/-4.6,0,+/-24,0.0%,+/-58.2
American Indian or Alaska Native alone,61,+/-59,(X),(X),25,+/-32,(X),(X),36,+/-42,(X),(X)
High school graduate or higher,48,+/-52,78.7%,+/-32.1,25,+/-32,100.0%,+/-57.0,23,+/-33,63.9%,+/-48.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-36.3,0,+/-24,0.0%,+/-57.0,0,+/-24,0.0%,+/-47.5
Asian alone,49,+/-41,(X),(X),11,+/-15,(X),(X),38,+/-30,(X),(X)
High school graduate or higher,49,+/-41,100.0%,+/-40.7,11,+/-15,100.0%,+/-85.9,38,+/-30,100.0%,+/-46.2
Bachelor's degree or higher,27,+/-33,55.1%,+/-32.1,7,+/-12,63.6%,+/-48.1,20,+/-23,52.6%,+/-32.3
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,37,+/-35,(X),(X),8,+/-12,(X),(X),29,+/-33,(X),(X)
High school graduate or higher,37,+/-35,100.0%,+/-46.8,8,+/-12,100.0%,+/-100.0,29,+/-33,100.0%,+/-52.9
Bachelor's degree or higher,9,+/-13,24.3%,+/-34.3,0,+/-24,0.0%,+/-100.0,9,+/-13,31.0%,+/-49.0
Two or more races,189,+/-95,(X),(X),97,+/-58,(X),(X),92,+/-64,(X),(X)
High school graduate or higher,164,+/-85,86.8%,+/-17.9,84,+/-55,86.6%,+/-19.0,80,+/-60,87.0%,+/-20.0
Bachelor's degree or higher,45,+/-51,23.8%,+/-25.7,5,+/-8,5.2%,+/-8.9,40,+/-49,43.5%,+/-44.0
Hispanic or Latino Origin,332,+/-56,(X),(X),227,+/-59,(X),(X),105,+/-54,(X),(X)
High school graduate or higher,255,+/-66,76.8%,+/-14.2,159,+/-52,70.0%,+/-17.1,96,+/-54,91.4%,+/-19.0
Bachelor's degree or higher,45,+/-33,13.6%,+/-9.6,23,+/-21,10.1%,+/-9.2,22,+/-20,21.0%,+/-18.0
