RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"66,676",+/-240,(X),(X),"33,482",+/-157,(X),(X),"33,194",+/-118,(X),(X)
High school graduate or higher,"58,955",+/-540,88.4%,+/-0.8,"29,426",+/-377,87.9%,+/-1.0,"29,529",+/-352,89.0%,+/-1.1
Bachelor's degree or higher,"11,993",+/-611,18.0%,+/-0.9,"5,549",+/-352,16.6%,+/-1.1,"6,444",+/-429,19.4%,+/-1.3
"White alone, not Hispanic or Latino","64,803",+/-39,(X),(X),"32,354",+/-20,(X),(X),"32,449",+/-32,(X),(X)
High school graduate or higher,"57,758",+/-478,89.1%,+/-0.7,"28,648",+/-327,88.5%,+/-1.0,"29,110",+/-333,89.7%,+/-1.0
Bachelor's degree or higher,"11,853",+/-615,18.3%,+/-0.9,"5,444",+/-357,16.8%,+/-1.1,"6,409",+/-427,19.8%,+/-1.3
Black alone,"7,643",+/-125,(X),(X),"4,742",+/-99,(X),(X),"2,901",+/-56,(X),(X)
High school graduate or higher,"5,815",+/-223,76.1%,+/-2.8,"3,413",+/-161,72.0%,+/-3.6,"2,402",+/-118,82.8%,+/-3.7
Bachelor's degree or higher,626,+/-137,8.2%,+/-1.8,283,+/-87,6.0%,+/-1.9,343,+/-110,11.8%,+/-3.8
American Indian or Alaska Native alone,229,+/-83,(X),(X),107,+/-52,(X),(X),122,+/-60,(X),(X)
High school graduate or higher,160,+/-78,69.9%,+/-18.7,62,+/-41,57.9%,+/-27.8,98,+/-63,80.3%,+/-24.0
Bachelor's degree or higher,37,+/-36,16.2%,+/-14.3,24,+/-26,22.4%,+/-21.3,13,+/-23,10.7%,+/-18.8
Asian alone,438,+/-86,(X),(X),227,+/-68,(X),(X),211,+/-42,(X),(X)
High school graduate or higher,420,+/-86,95.9%,+/-5.0,221,+/-69,97.4%,+/-4.2,199,+/-36,94.3%,+/-8.5
Bachelor's degree or higher,305,+/-96,69.6%,+/-13.7,197,+/-60,86.8%,+/-11.3,108,+/-48,51.2%,+/-22.9
Native Hawaiian and Other Pacific Islander alone,10,+/-13,(X),(X),2,+/-3,(X),(X),8,+/-12,(X),(X)
High school graduate or higher,10,+/-13,100.0%,+/-90.1,2,+/-3,100.0%,+/-100.0,8,+/-12,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-90.1,0,+/-27,0.0%,+/-100.0,0,+/-27,0.0%,+/-100.0
Some other race alone,"1,350",+/-234,(X),(X),709,+/-158,(X),(X),641,+/-109,(X),(X)
High school graduate or higher,807,+/-188,59.8%,+/-9.6,379,+/-130,53.5%,+/-12.5,428,+/-117,66.8%,+/-14.4
Bachelor's degree or higher,137,+/-79,10.1%,+/-5.6,74,+/-54,10.4%,+/-7.3,63,+/-46,9.8%,+/-6.7
Two or more races,803,+/-186,(X),(X),506,+/-138,(X),(X),297,+/-99,(X),(X)
High school graduate or higher,659,+/-169,82.1%,+/-6.3,435,+/-129,86.0%,+/-7.4,224,+/-86,75.4%,+/-14.6
Bachelor's degree or higher,143,+/-92,17.8%,+/-9.2,110,+/-75,21.7%,+/-11.2,33,+/-35,11.1%,+/-11.0
Hispanic or Latino Origin,"3,337",*****,(X),(X),"1,898",*****,(X),(X),"1,439",*****,(X),(X)
High school graduate or higher,"2,056",+/-174,61.6%,+/-5.2,"1,200",+/-121,63.2%,+/-6.4,856,+/-127,59.5%,+/-8.8
Bachelor's degree or higher,277,+/-97,8.3%,+/-2.9,179,+/-71,9.4%,+/-3.7,98,+/-48,6.8%,+/-3.4
