Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"9,462",+/-29,(X),(X),"5,327",+/-26,(X),(X),"4,135",+/-12,(X),(X)
Less than high school graduate,"2,193",+/-264,23.2%,+/-2.8,"1,456",+/-190,27.3%,+/-3.6,737,+/-178,17.8%,+/-4.3
High school graduate (includes equivalency),"3,941",+/-360,41.7%,+/-3.8,"2,500",+/-264,46.9%,+/-5.0,"1,441",+/-255,34.8%,+/-6.1
Some college or associate's degree,"2,951",+/-293,31.2%,+/-3.1,"1,256",+/-192,23.6%,+/-3.6,"1,695",+/-224,41.0%,+/-5.4
Bachelor's degree or higher,377,+/-105,4.0%,+/-1.1,115,+/-51,2.2%,+/-0.9,262,+/-93,6.3%,+/-2.2
Population 25 years and over,"77,055",+/-27,(X),(X),"39,722",+/-49,(X),(X),"37,333",+/-44,(X),(X)
Less than 9th grade,"2,436",+/-312,3.2%,+/-0.4,"1,417",+/-232,3.6%,+/-0.6,"1,019",+/-188,2.7%,+/-0.5
"9th to 12th grade, no diploma","7,170",+/-575,9.3%,+/-0.7,"4,208",+/-399,10.6%,+/-1.0,"2,962",+/-313,7.9%,+/-0.8
High school graduate (includes equivalency),"29,977",+/-929,38.9%,+/-1.2,"15,925",+/-628,40.1%,+/-1.6,"14,052",+/-599,37.6%,+/-1.6
"Some college, no degree","17,122",+/-731,22.2%,+/-0.9,"9,128",+/-576,23.0%,+/-1.5,"7,994",+/-466,21.4%,+/-1.2
Associate's degree,"6,798",+/-421,8.8%,+/-0.5,"2,696",+/-274,6.8%,+/-0.7,"4,102",+/-326,11.0%,+/-0.9
Bachelor's degree,"8,840",+/-555,11.5%,+/-0.7,"4,235",+/-346,10.7%,+/-0.9,"4,605",+/-393,12.3%,+/-1.1
Graduate or professional degree,"4,712",+/-431,6.1%,+/-0.6,"2,113",+/-238,5.3%,+/-0.6,"2,599",+/-304,7.0%,+/-0.8
Percent high school graduate or higher,(X),(X),87.5%,+/-0.9,(X),(X),85.8%,+/-1.1,(X),(X),89.3%,+/-1.0
Percent bachelor's degree or higher,(X),(X),17.6%,+/-0.9,(X),(X),16.0%,+/-1.1,(X),(X),19.3%,+/-1.2
Population 25 to 34 years,"14,451",+/-84,(X),(X),"8,325",+/-67,(X),(X),"6,126",+/-59,(X),(X)
High school graduate or higher,"12,445",+/-276,86.1%,+/-1.8,"6,802",+/-202,81.7%,+/-2.3,"5,643",+/-162,92.1%,+/-2.2
Bachelor's degree or higher,"2,470",+/-368,17.1%,+/-2.5,"1,010",+/-213,12.1%,+/-2.5,"1,460",+/-250,23.8%,+/-4.0
Population 35 to 44 years,"13,957",+/-80,(X),(X),"7,642",+/-54,(X),(X),"6,315",+/-64,(X),(X)
High school graduate or higher,"12,386",+/-217,88.7%,+/-1.4,"6,616",+/-147,86.6%,+/-1.8,"5,770",+/-151,91.4%,+/-2.3
Bachelor's degree or higher,"2,370",+/-280,17.0%,+/-2.0,974,+/-154,12.7%,+/-2.0,"1,396",+/-208,22.1%,+/-3.3
Population 45 to 64 years,"31,207",+/-154,(X),(X),"16,053",+/-103,(X),(X),"15,154",+/-90,(X),(X)
High school graduate or higher,"28,231",+/-350,90.5%,+/-1.0,"14,243",+/-227,88.7%,+/-1.3,"13,988",+/-220,92.3%,+/-1.3
Bachelor's degree or higher,"5,840",+/-417,18.7%,+/-1.3,"2,878",+/-254,17.9%,+/-1.6,"2,962",+/-275,19.5%,+/-1.8
Population 65 years and over,"17,440",+/-131,(X),(X),"7,702",+/-64,(X),(X),"9,738",+/-89,(X),(X)
High school graduate or higher,"14,387",+/-385,82.5%,+/-2.2,"6,436",+/-240,83.6%,+/-3.1,"7,951",+/-254,81.6%,+/-2.6
Bachelor's degree or higher,"2,872",+/-299,16.5%,+/-1.7,"1,486",+/-180,19.3%,+/-2.3,"1,386",+/-182,14.2%,+/-1.9
