Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,345",+/-103,(X),(X),"2,218",+/-49,(X),(X),"2,127",+/-88,(X),(X)
Less than high school graduate,681,+/-182,15.7%,+/-4.2,395,+/-135,17.8%,+/-6.0,286,+/-101,13.4%,+/-4.8
High school graduate (includes equivalency),"1,411",+/-256,32.5%,+/-5.8,894,+/-173,40.3%,+/-7.6,517,+/-180,24.3%,+/-8.3
Some college or associate's degree,"1,844",+/-291,42.4%,+/-6.7,798,+/-176,36.0%,+/-8.1,"1,046",+/-205,49.2%,+/-9.5
Bachelor's degree or higher,409,+/-139,9.4%,+/-3.2,131,+/-77,5.9%,+/-3.5,278,+/-119,13.1%,+/-5.5
Population 25 years and over,"41,492",+/-109,(X),(X),"20,043",+/-121,(X),(X),"21,449",+/-114,(X),(X)
Less than 9th grade,712,+/-185,1.7%,+/-0.4,331,+/-108,1.7%,+/-0.5,381,+/-126,1.8%,+/-0.6
"9th to 12th grade, no diploma","2,126",+/-270,5.1%,+/-0.7,990,+/-170,4.9%,+/-0.9,"1,136",+/-192,5.3%,+/-0.9
High school graduate (includes equivalency),"14,023",+/-715,33.8%,+/-1.7,"6,741",+/-472,33.6%,+/-2.3,"7,282",+/-461,34.0%,+/-2.1
"Some college, no degree","9,203",+/-638,22.2%,+/-1.5,"4,414",+/-415,22.0%,+/-2.1,"4,789",+/-393,22.3%,+/-1.8
Associate's degree,"4,219",+/-472,10.2%,+/-1.1,"2,012",+/-299,10.0%,+/-1.5,"2,207",+/-329,10.3%,+/-1.5
Bachelor's degree,"7,047",+/-549,17.0%,+/-1.3,"3,320",+/-400,16.6%,+/-2.0,"3,727",+/-381,17.4%,+/-1.8
Graduate or professional degree,"4,162",+/-442,10.0%,+/-1.1,"2,235",+/-289,11.2%,+/-1.4,"1,927",+/-263,9.0%,+/-1.2
Percent high school graduate or higher,(X),(X),93.2%,+/-0.8,(X),(X),93.4%,+/-1.0,(X),(X),92.9%,+/-1.1
Percent bachelor's degree or higher,(X),(X),27.0%,+/-1.8,(X),(X),27.7%,+/-2.3,(X),(X),26.4%,+/-2.1
Population 25 to 34 years,"6,750",+/-152,(X),(X),"3,434",+/-149,(X),(X),"3,316",+/-67,(X),(X)
High school graduate or higher,"6,470",+/-203,95.9%,+/-1.6,"3,260",+/-164,94.9%,+/-1.9,"3,210",+/-95,96.8%,+/-2.0
Bachelor's degree or higher,"2,003",+/-369,29.7%,+/-5.3,874,+/-256,25.5%,+/-7.1,"1,129",+/-193,34.0%,+/-5.8
Population 35 to 44 years,"7,970",+/-192,(X),(X),"3,952",+/-117,(X),(X),"4,018",+/-118,(X),(X)
High school graduate or higher,"7,619",+/-201,95.6%,+/-1.7,"3,755",+/-122,95.0%,+/-2.5,"3,864",+/-150,96.2%,+/-2.2
Bachelor's degree or higher,"2,456",+/-359,30.8%,+/-4.3,"1,211",+/-219,30.6%,+/-5.3,"1,245",+/-235,31.0%,+/-5.7
Population 45 to 64 years,"17,371",+/-175,(X),(X),"8,464",+/-113,(X),(X),"8,907",+/-118,(X),(X)
High school graduate or higher,"16,367",+/-219,94.2%,+/-1.2,"7,929",+/-164,93.7%,+/-1.6,"8,438",+/-159,94.7%,+/-1.5
Bachelor's degree or higher,"5,044",+/-517,29.0%,+/-3.0,"2,559",+/-300,30.2%,+/-3.5,"2,485",+/-322,27.9%,+/-3.6
Population 65 years and over,"9,401",+/-116,(X),(X),"4,193",+/-76,(X),(X),"5,208",+/-103,(X),(X)
High school graduate or higher,"8,198",+/-232,87.2%,+/-2.1,"3,778",+/-136,90.1%,+/-2.5,"4,420",+/-185,84.9%,+/-2.9
Bachelor's degree or higher,"1,706",+/-250,18.1%,+/-2.6,911,+/-139,21.7%,+/-3.4,795,+/-174,15.3%,+/-3.3
