RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"39,584",+/-90,(X),(X),"19,016",+/-61,(X),(X),"20,568",+/-72,(X),(X)
High school graduate or higher,"36,901",+/-333,93.2%,+/-0.9,"17,760",+/-233,93.4%,+/-1.1,"19,141",+/-208,93.1%,+/-1.1
Bachelor's degree or higher,"10,557",+/-706,26.7%,+/-1.8,"5,098",+/-429,26.8%,+/-2.3,"5,459",+/-447,26.5%,+/-2.2
"White alone, not Hispanic or Latino","39,178",+/-19,(X),(X),"18,812",+/-27,(X),(X),"20,366",+/-19,(X),(X)
High school graduate or higher,"36,668",+/-298,93.6%,+/-0.8,"17,651",+/-190,93.8%,+/-1.0,"19,017",+/-207,93.4%,+/-1.0
Bachelor's degree or higher,"10,460",+/-697,26.7%,+/-1.8,"5,056",+/-421,26.9%,+/-2.2,"5,404",+/-447,26.5%,+/-2.2
Black alone,606,+/-97,(X),(X),417,+/-97,(X),(X),189,+/-70,(X),(X)
High school graduate or higher,575,+/-112,94.9%,+/-7.3,402,+/-101,96.4%,+/-5.3,173,+/-74,91.5%,+/-13.0
Bachelor's degree or higher,107,+/-118,17.7%,+/-19.2,107,+/-118,25.7%,+/-28.3,0,+/-27,0.0%,+/-14.6
American Indian or Alaska Native alone,118,+/-67,(X),(X),86,+/-59,(X),(X),32,+/-46,(X),(X)
High school graduate or higher,118,+/-67,100.0%,+/-22.2,86,+/-59,100.0%,+/-28.7,32,+/-46,100.0%,+/-50.4
Bachelor's degree or higher,17,+/-25,14.4%,+/-24.6,17,+/-25,19.8%,+/-35.0,0,+/-27,0.0%,+/-50.4
Asian alone,816,+/-82,(X),(X),387,+/-55,(X),(X),429,+/-68,(X),(X)
High school graduate or higher,735,+/-131,90.1%,+/-12.4,345,+/-71,89.1%,+/-12.0,390,+/-96,90.9%,+/-14.9
Bachelor's degree or higher,424,+/-106,52.0%,+/-10.4,282,+/-74,72.9%,+/-13.7,142,+/-85,33.1%,+/-17.1
Native Hawaiian and Other Pacific Islander alone,16,+/-25,(X),(X),16,+/-25,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,16,+/-25,100.0%,+/-71.2,16,+/-25,100.0%,+/-71.2,0,+/-27,-,**
Bachelor's degree or higher,16,+/-25,100.0%,+/-71.2,16,+/-25,100.0%,+/-71.2,0,+/-27,-,**
Some other race alone,37,+/-36,(X),(X),8,+/-15,(X),(X),29,+/-28,(X),(X)
High school graduate or higher,29,+/-28,78.4%,+/-28.6,0,+/-27,0.0%,+/-100.0,29,+/-28,100.0%,+/-52.9
Bachelor's degree or higher,0,+/-27,0.0%,+/-46.8,0,+/-27,0.0%,+/-100.0,0,+/-27,0.0%,+/-52.9
Two or more races,315,+/-114,(X),(X),113,+/-70,(X),(X),202,+/-83,(X),(X)
High school graduate or higher,280,+/-115,88.9%,+/-9.6,113,+/-70,100.0%,+/-23.0,167,+/-89,82.7%,+/-16.4
Bachelor's degree or higher,88,+/-70,27.9%,+/-18.6,35,+/-35,31.0%,+/-26.2,53,+/-56,26.2%,+/-23.0
Hispanic or Latino Origin,473,+/-81,(X),(X),223,+/-60,(X),(X),250,+/-63,(X),(X)
High school graduate or higher,287,+/-149,60.7%,+/-29.9,120,+/-101,53.8%,+/-34.3,167,+/-71,66.8%,+/-30.0
Bachelor's degree or higher,120,+/-78,25.4%,+/-16.7,53,+/-46,23.8%,+/-19.6,67,+/-50,26.8%,+/-20.1
