RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"39,826",+/-89,(X),(X),"19,159",+/-68,(X),(X),"20,667",+/-69,(X),(X)
High school graduate or higher,"36,976",+/-311,92.8%,+/-0.8,"17,682",+/-239,92.3%,+/-1.2,"19,294",+/-230,93.4%,+/-1.1
Bachelor's degree or higher,"11,011",+/-714,27.6%,+/-1.8,"5,421",+/-419,28.3%,+/-2.2,"5,590",+/-438,27.0%,+/-2.1
"White alone, not Hispanic or Latino","39,425",+/-22,(X),(X),"18,945",+/-24,(X),(X),"20,480",+/-17,(X),(X)
High school graduate or higher,"36,756",+/-306,93.2%,+/-0.8,"17,575",+/-231,92.8%,+/-1.2,"19,181",+/-221,93.7%,+/-1.1
Bachelor's degree or higher,"10,919",+/-706,27.7%,+/-1.8,"5,375",+/-424,28.4%,+/-2.2,"5,544",+/-433,27.1%,+/-2.1
Black alone,640,+/-85,(X),(X),414,+/-99,(X),(X),226,+/-89,(X),(X)
High school graduate or higher,602,+/-109,94.1%,+/-8.5,394,+/-108,95.2%,+/-6.7,208,+/-91,92.0%,+/-13.1
Bachelor's degree or higher,110,+/-85,17.2%,+/-13.1,110,+/-85,26.6%,+/-21.4,0,+/-27,0.0%,+/-12.4
American Indian or Alaska Native alone,92,+/-62,(X),(X),59,+/-51,(X),(X),33,+/-39,(X),(X)
High school graduate or higher,92,+/-62,100.0%,+/-27.2,59,+/-51,100.0%,+/-37.0,33,+/-39,100.0%,+/-49.6
Bachelor's degree or higher,27,+/-31,29.3%,+/-32.9,12,+/-21,20.3%,+/-32.9,15,+/-24,45.5%,+/-54.5
Asian alone,892,+/-79,(X),(X),438,+/-54,(X),(X),454,+/-58,(X),(X)
High school graduate or higher,832,+/-113,93.3%,+/-9.3,416,+/-64,95.0%,+/-7.7,416,+/-77,91.6%,+/-11.3
Bachelor's degree or higher,482,+/-127,54.0%,+/-12.4,280,+/-78,63.9%,+/-16.3,202,+/-96,44.5%,+/-19.1
Native Hawaiian and Other Pacific Islander alone,18,+/-27,(X),(X),18,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,18,+/-27,100.0%,+/-67.2,18,+/-27,100.0%,+/-67.2,0,+/-27,-,**
Bachelor's degree or higher,18,+/-27,100.0%,+/-67.2,18,+/-27,100.0%,+/-67.2,0,+/-27,-,**
Some other race alone,54,+/-42,(X),(X),25,+/-31,(X),(X),29,+/-27,(X),(X)
High school graduate or higher,29,+/-27,53.7%,+/-37.4,0,+/-27,0.0%,+/-57.0,29,+/-27,100.0%,+/-52.9
Bachelor's degree or higher,0,+/-27,0.0%,+/-38.8,0,+/-27,0.0%,+/-57.0,0,+/-27,0.0%,+/-52.9
Two or more races,325,+/-116,(X),(X),114,+/-74,(X),(X),211,+/-74,(X),(X)
High school graduate or higher,294,+/-115,90.5%,+/-9.2,114,+/-74,100.0%,+/-22.9,180,+/-81,85.3%,+/-15.2
Bachelor's degree or higher,69,+/-60,21.2%,+/-14.8,34,+/-43,29.8%,+/-30.7,35,+/-42,16.6%,+/-18.1
Hispanic or Latino Origin,481,+/-84,(X),(X),243,+/-66,(X),(X),238,+/-70,(X),(X)
High school graduate or higher,285,+/-118,59.3%,+/-21.7,125,+/-83,51.4%,+/-25.0,160,+/-63,67.2%,+/-24.8
Bachelor's degree or higher,120,+/-69,24.9%,+/-13.6,64,+/-49,26.3%,+/-19.0,56,+/-40,23.5%,+/-14.5
