Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,471",+/-105,(X),(X),"2,284",+/-56,(X),(X),"2,187",+/-92,(X),(X)
Less than high school graduate,797,+/-207,17.8%,+/-4.5,469,+/-149,20.5%,+/-6.3,328,+/-141,15.0%,+/-6.1
High school graduate (includes equivalency),"1,442",+/-248,32.3%,+/-5.5,896,+/-184,39.2%,+/-8.1,546,+/-168,25.0%,+/-7.6
Some college or associate's degree,"1,733",+/-224,38.8%,+/-5.1,793,+/-189,34.7%,+/-8.3,940,+/-156,43.0%,+/-7.7
Bachelor's degree or higher,499,+/-149,11.2%,+/-3.3,126,+/-89,5.5%,+/-3.9,373,+/-127,17.1%,+/-5.8
Population 25 years and over,"41,847",+/-108,(X),(X),"20,227",+/-140,(X),(X),"21,620",+/-127,(X),(X)
Less than 9th grade,707,+/-209,1.7%,+/-0.5,403,+/-142,2.0%,+/-0.7,304,+/-114,1.4%,+/-0.5
"9th to 12th grade, no diploma","2,297",+/-309,5.5%,+/-0.7,"1,141",+/-203,5.6%,+/-1.0,"1,156",+/-210,5.3%,+/-1.0
High school graduate (includes equivalency),"13,771",+/-663,32.9%,+/-1.6,"6,574",+/-450,32.5%,+/-2.2,"7,197",+/-442,33.3%,+/-2.0
"Some college, no degree","9,246",+/-590,22.1%,+/-1.4,"4,337",+/-407,21.4%,+/-2.0,"4,909",+/-398,22.7%,+/-1.9
Associate's degree,"4,109",+/-391,9.8%,+/-0.9,"1,897",+/-279,9.4%,+/-1.4,"2,212",+/-287,10.2%,+/-1.3
Bachelor's degree,"7,431",+/-559,17.8%,+/-1.3,"3,656",+/-380,18.1%,+/-1.9,"3,775",+/-356,17.5%,+/-1.6
Graduate or professional degree,"4,286",+/-419,10.2%,+/-1.0,"2,219",+/-244,11.0%,+/-1.2,"2,067",+/-281,9.6%,+/-1.3
Percent high school graduate or higher,(X),(X),92.8%,+/-0.8,(X),(X),92.4%,+/-1.2,(X),(X),93.2%,+/-1.1
Percent bachelor's degree or higher,(X),(X),28.0%,+/-1.8,(X),(X),29.0%,+/-2.2,(X),(X),27.0%,+/-2.0
Population 25 to 34 years,"6,700",+/-154,(X),(X),"3,394",+/-130,(X),(X),"3,306",+/-72,(X),(X)
High school graduate or higher,"6,421",+/-196,95.8%,+/-1.5,"3,199",+/-172,94.3%,+/-2.6,"3,222",+/-83,97.5%,+/-1.5
Bachelor's degree or higher,"2,169",+/-330,32.4%,+/-4.7,996,+/-234,29.3%,+/-6.6,"1,173",+/-165,35.5%,+/-4.9
Population 35 to 44 years,"7,960",+/-161,(X),(X),"3,956",+/-94,(X),(X),"4,004",+/-102,(X),(X)
High school graduate or higher,"7,552",+/-203,94.9%,+/-1.8,"3,712",+/-130,93.8%,+/-2.4,"3,840",+/-133,95.9%,+/-2.2
Bachelor's degree or higher,"2,577",+/-346,32.4%,+/-4.3,"1,201",+/-228,30.4%,+/-5.6,"1,376",+/-213,34.4%,+/-5.2
Population 45 to 64 years,"17,315",+/-200,(X),(X),"8,437",+/-148,(X),(X),"8,878",+/-120,(X),(X)
High school graduate or higher,"16,142",+/-262,93.2%,+/-1.5,"7,755",+/-210,91.9%,+/-2.3,"8,387",+/-160,94.5%,+/-1.6
Bachelor's degree or higher,"4,914",+/-432,28.4%,+/-2.5,"2,558",+/-281,30.3%,+/-3.3,"2,356",+/-276,26.5%,+/-3.1
Population 65 years and over,"9,872",+/-129,(X),(X),"4,440",+/-76,(X),(X),"5,432",+/-110,(X),(X)
High school graduate or higher,"8,728",+/-200,88.4%,+/-1.6,"4,017",+/-128,90.5%,+/-2.5,"4,711",+/-169,86.7%,+/-2.4
Bachelor's degree or higher,"2,057",+/-282,20.8%,+/-2.8,"1,120",+/-151,25.2%,+/-3.3,937,+/-202,17.2%,+/-3.7
