RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,304",+/-86,(X),(X),"6,475",+/-56,(X),(X),"6,829",+/-46,(X),(X)
High school graduate or higher,"11,475",+/-255,86.3%,+/-2.0,"5,499",+/-170,84.9%,+/-2.8,"5,976",+/-177,87.5%,+/-2.5
Bachelor's degree or higher,"1,861",+/-218,14.0%,+/-1.7,818,+/-158,12.6%,+/-2.4,"1,043",+/-152,15.3%,+/-2.2
"White alone, not Hispanic or Latino","13,103",+/-21,(X),(X),"6,367",+/-21,(X),(X),"6,736",+/-21,(X),(X)
High school graduate or higher,"11,337",+/-248,86.5%,+/-1.9,"5,447",+/-162,85.6%,+/-2.5,"5,890",+/-170,87.4%,+/-2.5
Bachelor's degree or higher,"1,861",+/-218,14.2%,+/-1.7,818,+/-158,12.8%,+/-2.5,"1,043",+/-152,15.5%,+/-2.3
Black alone,167,+/-58,(X),(X),109,+/-39,(X),(X),58,+/-45,(X),(X)
High school graduate or higher,143,+/-55,85.6%,+/-13.5,85,+/-35,78.0%,+/-19.4,58,+/-45,100.0%,+/-37.4
Bachelor's degree or higher,20,+/-23,12.0%,+/-14.4,20,+/-23,18.3%,+/-19.6,0,+/-21,0.0%,+/-37.4
American Indian or Alaska Native alone,64,+/-47,(X),(X),30,+/-39,(X),(X),34,+/-31,(X),(X)
High school graduate or higher,60,+/-46,93.8%,+/-12.0,30,+/-39,100.0%,+/-52.0,30,+/-30,88.2%,+/-24.1
Bachelor's degree or higher,3,+/-5,4.7%,+/-11.6,3,+/-5,10.0%,+/-28.7,0,+/-21,0.0%,+/-48.9
Asian alone,86,+/-48,(X),(X),7,+/-13,(X),(X),79,+/-46,(X),(X)
High school graduate or higher,86,+/-48,100.0%,+/-28.7,7,+/-13,100.0%,+/-100.0,79,+/-46,100.0%,+/-30.6
Bachelor's degree or higher,15,+/-19,17.4%,+/-21.1,7,+/-13,100.0%,+/-100.0,8,+/-14,10.1%,+/-17.7
Native Hawaiian and Other Pacific Islander alone,12,+/-19,(X),(X),0,+/-21,(X),(X),12,+/-19,(X),(X)
High school graduate or higher,12,+/-19,100.0%,+/-82.2,0,+/-21,-,**,12,+/-19,100.0%,+/-82.2
Bachelor's degree or higher,12,+/-19,100.0%,+/-82.2,0,+/-21,-,**,12,+/-19,100.0%,+/-82.2
Some other race alone,331,+/-81,(X),(X),161,+/-48,(X),(X),170,+/-55,(X),(X)
High school graduate or higher,69,+/-40,20.8%,+/-13.4,37,+/-32,23.0%,+/-15.6,32,+/-23,18.8%,+/-19.3
Bachelor's degree or higher,4,+/-7,1.2%,+/-2.3,0,+/-21,0.0%,+/-16.9,4,+/-7,2.4%,+/-4.7
Two or more races,45,+/-36,(X),(X),45,+/-36,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,43,+/-36,95.6%,+/-9.2,43,+/-36,95.6%,+/-9.2,0,+/-21,-,**
Bachelor's degree or higher,7,+/-13,15.6%,+/-26.9,7,+/-13,15.6%,+/-26.9,0,+/-21,-,**
Hispanic or Latino Origin,551,+/-34,(X),(X),284,+/-36,(X),(X),267,+/-40,(X),(X)
High school graduate or higher,222,+/-82,40.3%,+/-14.9,104,+/-56,36.6%,+/-17.2,118,+/-51,44.2%,+/-20.5
Bachelor's degree or higher,4,+/-7,0.7%,+/-1.3,0,+/-21,0.0%,+/-10.0,4,+/-7,1.5%,+/-2.8
