Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,561",+/-48,(X),(X),838,+/-38,(X),(X),723,+/-22,(X),(X)
Less than high school graduate,332,+/-116,21.3%,+/-7.3,163,+/-51,19.5%,+/-6.1,169,+/-101,23.4%,+/-13.9
High school graduate (includes equivalency),714,+/-138,45.7%,+/-9.0,408,+/-92,48.7%,+/-11.0,306,+/-93,42.3%,+/-13.0
Some college or associate's degree,455,+/-141,29.1%,+/-9.0,254,+/-96,30.3%,+/-11.3,201,+/-98,27.8%,+/-13.6
Bachelor's degree or higher,60,+/-39,3.8%,+/-2.5,13,+/-11,1.6%,+/-1.3,47,+/-38,6.5%,+/-5.2
Population 25 years and over,"13,991",+/-78,(X),(X),"6,782",+/-76,(X),(X),"7,209",+/-71,(X),(X)
Less than 9th grade,530,+/-120,3.8%,+/-0.9,259,+/-96,3.8%,+/-1.4,271,+/-87,3.8%,+/-1.2
"9th to 12th grade, no diploma","1,533",+/-226,11.0%,+/-1.6,855,+/-165,12.6%,+/-2.4,678,+/-163,9.4%,+/-2.2
High school graduate (includes equivalency),"6,106",+/-402,43.6%,+/-2.9,"3,093",+/-281,45.6%,+/-4.1,"3,013",+/-254,41.8%,+/-3.6
"Some college, no degree","2,912",+/-315,20.8%,+/-2.2,"1,327",+/-211,19.6%,+/-3.1,"1,585",+/-219,22.0%,+/-3.0
Associate's degree,"1,064",+/-198,7.6%,+/-1.4,449,+/-138,6.6%,+/-2.0,615,+/-139,8.5%,+/-1.9
Bachelor's degree,"1,267",+/-231,9.1%,+/-1.7,577,+/-162,8.5%,+/-2.4,690,+/-144,9.6%,+/-2.0
Graduate or professional degree,579,+/-150,4.1%,+/-1.1,222,+/-96,3.3%,+/-1.4,357,+/-102,5.0%,+/-1.4
Percent high school graduate or higher,(X),(X),85.3%,+/-1.9,(X),(X),83.6%,+/-3.0,(X),(X),86.8%,+/-2.4
Percent bachelor's degree or higher,(X),(X),13.2%,+/-1.9,(X),(X),11.8%,+/-2.7,(X),(X),14.5%,+/-2.1
Population 25 to 34 years,"2,272",+/-72,(X),(X),"1,167",+/-50,(X),(X),"1,105",+/-41,(X),(X)
High school graduate or higher,"1,954",+/-155,86.0%,+/-6.2,950,+/-105,81.4%,+/-8.7,"1,004",+/-70,90.9%,+/-5.2
Bachelor's degree or higher,441,+/-131,19.4%,+/-5.7,214,+/-97,18.3%,+/-8.3,227,+/-75,20.5%,+/-6.8
Population 35 to 44 years,"2,510",+/-59,(X),(X),"1,253",+/-45,(X),(X),"1,257",+/-41,(X),(X)
High school graduate or higher,"2,065",+/-141,82.3%,+/-5.6,"1,076",+/-65,85.9%,+/-5.3,989,+/-111,78.7%,+/-8.4
Bachelor's degree or higher,453,+/-154,18.0%,+/-6.1,180,+/-88,14.4%,+/-7.1,273,+/-113,21.7%,+/-8.7
Population 45 to 64 years,"5,667",+/-103,(X),(X),"2,822",+/-66,(X),(X),"2,845",+/-79,(X),(X)
High school graduate or higher,"4,975",+/-172,87.8%,+/-2.7,"2,368",+/-128,83.9%,+/-4.3,"2,607",+/-126,91.6%,+/-3.4
Bachelor's degree or higher,573,+/-103,10.1%,+/-1.8,216,+/-68,7.7%,+/-2.4,357,+/-82,12.5%,+/-2.9
Population 65 years and over,"3,542",+/-68,(X),(X),"1,540",+/-40,(X),(X),"2,002",+/-58,(X),(X)
High school graduate or higher,"2,934",+/-130,82.8%,+/-3.5,"1,274",+/-96,82.7%,+/-5.7,"1,660",+/-104,82.9%,+/-5.6
Bachelor's degree or higher,379,+/-113,10.7%,+/-3.2,189,+/-68,12.3%,+/-4.4,190,+/-67,9.5%,+/-3.4
