Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,490",+/-52,(X),(X),780,+/-36,(X),(X),710,+/-33,(X),(X)
Less than high school graduate,228,+/-66,15.3%,+/-4.5,175,+/-50,22.4%,+/-6.7,53,+/-40,7.5%,+/-5.7
High school graduate (includes equivalency),639,+/-148,42.9%,+/-9.6,307,+/-100,39.4%,+/-12.4,332,+/-100,46.8%,+/-14.1
Some college or associate's degree,574,+/-133,38.5%,+/-9.0,289,+/-88,37.1%,+/-11.2,285,+/-100,40.1%,+/-14.1
Bachelor's degree or higher,49,+/-35,3.3%,+/-2.3,9,+/-10,1.2%,+/-1.3,40,+/-36,5.6%,+/-5.0
Population 25 years and over,"14,009",+/-78,(X),(X),"6,827",+/-55,(X),(X),"7,182",+/-77,(X),(X)
Less than 9th grade,630,+/-166,4.5%,+/-1.2,321,+/-102,4.7%,+/-1.5,309,+/-121,4.3%,+/-1.7
"9th to 12th grade, no diploma","1,491",+/-215,10.6%,+/-1.5,805,+/-147,11.8%,+/-2.1,686,+/-151,9.6%,+/-2.1
High school graduate (includes equivalency),"5,741",+/-339,41.0%,+/-2.4,"2,908",+/-288,42.6%,+/-4.2,"2,833",+/-221,39.4%,+/-3.1
"Some college, no degree","3,221",+/-334,23.0%,+/-2.4,"1,491",+/-246,21.8%,+/-3.6,"1,730",+/-219,24.1%,+/-3.1
Associate's degree,"1,004",+/-202,7.2%,+/-1.4,447,+/-134,6.5%,+/-2.0,557,+/-142,7.8%,+/-2.0
Bachelor's degree,"1,291",+/-185,9.2%,+/-1.3,615,+/-148,9.0%,+/-2.2,676,+/-135,9.4%,+/-1.9
Graduate or professional degree,631,+/-124,4.5%,+/-0.9,240,+/-85,3.5%,+/-1.2,391,+/-99,5.4%,+/-1.4
Percent high school graduate or higher,(X),(X),84.9%,+/-1.9,(X),(X),83.5%,+/-2.6,(X),(X),86.1%,+/-2.6
Percent bachelor's degree or higher,(X),(X),13.7%,+/-1.7,(X),(X),12.5%,+/-2.4,(X),(X),14.9%,+/-2.2
Population 25 to 34 years,"2,274",+/-69,(X),(X),"1,189",+/-25,(X),(X),"1,085",+/-59,(X),(X)
High school graduate or higher,"1,972",+/-118,86.7%,+/-4.3,957,+/-92,80.5%,+/-7.5,"1,015",+/-71,93.5%,+/-4.0
Bachelor's degree or higher,414,+/-114,18.2%,+/-5.1,190,+/-90,16.0%,+/-7.6,224,+/-83,20.6%,+/-7.7
Population 35 to 44 years,"2,483",+/-81,(X),(X),"1,252",+/-54,(X),(X),"1,231",+/-38,(X),(X)
High school graduate or higher,"2,077",+/-149,83.6%,+/-5.9,"1,094",+/-70,87.4%,+/-5.2,983,+/-114,79.9%,+/-8.8
Bachelor's degree or higher,411,+/-121,16.6%,+/-4.9,151,+/-64,12.1%,+/-5.1,260,+/-103,21.1%,+/-8.4
Population 45 to 64 years,"5,645",+/-88,(X),(X),"2,815",+/-51,(X),(X),"2,830",+/-72,(X),(X)
High school graduate or higher,"4,915",+/-168,87.1%,+/-2.9,"2,363",+/-146,83.9%,+/-5.0,"2,552",+/-115,90.2%,+/-3.4
Bachelor's degree or higher,614,+/-136,10.9%,+/-2.4,251,+/-81,8.9%,+/-2.9,363,+/-96,12.8%,+/-3.4
Population 65 years and over,"3,607",+/-42,(X),(X),"1,571",+/-23,(X),(X),"2,036",+/-39,(X),(X)
High school graduate or higher,"2,924",+/-127,81.1%,+/-3.6,"1,287",+/-82,81.9%,+/-5.2,"1,637",+/-97,80.4%,+/-5.2
Bachelor's degree or higher,483,+/-120,13.4%,+/-3.3,263,+/-78,16.7%,+/-5.0,220,+/-66,10.8%,+/-3.2
