RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,301",+/-119,(X),(X),"6,487",+/-69,(X),(X),"6,814",+/-63,(X),(X)
High school graduate or higher,"11,613",+/-226,87.3%,+/-1.7,"5,581",+/-161,86.0%,+/-2.4,"6,032",+/-178,88.5%,+/-2.6
Bachelor's degree or higher,"1,705",+/-234,12.8%,+/-1.8,645,+/-150,9.9%,+/-2.3,"1,060",+/-167,15.6%,+/-2.4
"White alone, not Hispanic or Latino","13,028",+/-21,(X),(X),"6,327",+/-21,(X),(X),"6,701",+/-21,(X),(X)
High school graduate or higher,"11,417",+/-230,87.6%,+/-1.8,"5,492",+/-155,86.8%,+/-2.4,"5,925",+/-182,88.4%,+/-2.7
Bachelor's degree or higher,"1,705",+/-234,13.1%,+/-1.8,645,+/-150,10.2%,+/-2.4,"1,060",+/-167,15.8%,+/-2.5
Black alone,204,+/-38,(X),(X),88,+/-43,(X),(X),116,+/-56,(X),(X)
High school graduate or higher,185,+/-38,90.7%,+/-9.6,69,+/-37,78.4%,+/-19.5,116,+/-56,100.0%,+/-22.5
Bachelor's degree or higher,42,+/-25,20.6%,+/-13.7,21,+/-26,23.9%,+/-24.6,21,+/-25,18.1%,+/-16.5
American Indian or Alaska Native alone,103,+/-44,(X),(X),43,+/-51,(X),(X),60,+/-57,(X),(X)
High school graduate or higher,98,+/-43,95.1%,+/-8.7,43,+/-51,100.0%,+/-43.5,55,+/-56,91.7%,+/-19.1
Bachelor's degree or higher,7,+/-12,6.8%,+/-16.0,7,+/-12,16.3%,+/-40.8,0,+/-21,0.0%,+/-36.7
Asian alone,37,+/-30,(X),(X),0,+/-21,(X),(X),37,+/-30,(X),(X)
High school graduate or higher,37,+/-30,100.0%,+/-46.8,0,+/-21,-,**,37,+/-30,100.0%,+/-46.8
Bachelor's degree or higher,8,+/-12,21.6%,+/-30.7,0,+/-21,-,**,8,+/-12,21.6%,+/-30.7
Native Hawaiian and Other Pacific Islander alone,12,+/-22,(X),(X),0,+/-21,(X),(X),12,+/-22,(X),(X)
High school graduate or higher,12,+/-22,100.0%,+/-82.2,0,+/-21,-,**,12,+/-22,100.0%,+/-82.2
Bachelor's degree or higher,12,+/-22,100.0%,+/-82.2,0,+/-21,-,**,12,+/-22,100.0%,+/-82.2
Some other race alone,286,+/-124,(X),(X),135,+/-65,(X),(X),151,+/-76,(X),(X)
High school graduate or higher,45,+/-44,15.7%,+/-16.5,24,+/-32,17.8%,+/-20.2,21,+/-19,13.9%,+/-17.1
Bachelor's degree or higher,5,+/-7,1.7%,+/-3.1,0,+/-21,0.0%,+/-19.8,5,+/-7,3.3%,+/-6.4
Two or more races,72,+/-47,(X),(X),44,+/-41,(X),(X),28,+/-33,(X),(X)
High school graduate or higher,68,+/-45,94.4%,+/-10.8,40,+/-40,90.9%,+/-19.5,28,+/-33,100.0%,+/-53.8
Bachelor's degree or higher,18,+/-26,25.0%,+/-32.4,18,+/-26,40.9%,+/-43.4,0,+/-21,0.0%,+/-53.8
Hispanic or Latino Origin,573,+/-28,(X),(X),304,+/-26,(X),(X),269,+/-42,(X),(X)
High school graduate or higher,250,+/-111,43.6%,+/-19.6,122,+/-65,40.1%,+/-19.7,128,+/-63,47.6%,+/-25.1
Bachelor's degree or higher,5,+/-7,0.9%,+/-1.3,0,+/-21,0.0%,+/-9.4,5,+/-7,1.9%,+/-2.9
