RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"19,584",+/-127,(X),(X),"9,554",+/-82,(X),(X),"10,030",+/-85,(X),(X)
High school graduate or higher,"14,609",+/-353,74.6%,+/-1.9,"6,991",+/-247,73.2%,+/-2.6,"7,618",+/-258,76.0%,+/-2.5
Bachelor's degree or higher,"2,792",+/-273,14.3%,+/-1.4,"1,256",+/-175,13.1%,+/-1.8,"1,536",+/-189,15.3%,+/-1.9
"White alone, not Hispanic or Latino","19,226",+/-24,(X),(X),"9,397",+/-24,(X),(X),"9,829",+/-24,(X),(X)
High school graduate or higher,"14,414",+/-336,75.0%,+/-1.7,"6,940",+/-242,73.9%,+/-2.6,"7,474",+/-238,76.0%,+/-2.4
Bachelor's degree or higher,"2,759",+/-271,14.4%,+/-1.4,"1,256",+/-175,13.4%,+/-1.9,"1,503",+/-189,15.3%,+/-1.9
Black alone,235,+/-63,(X),(X),132,+/-50,(X),(X),103,+/-62,(X),(X)
High school graduate or higher,191,+/-91,81.3%,+/-22.1,94,+/-51,71.2%,+/-30.1,97,+/-62,94.2%,+/-11.4
Bachelor's degree or higher,16,+/-18,6.8%,+/-7.4,16,+/-18,12.1%,+/-13.2,0,+/-24,0.0%,+/-24.9
American Indian or Alaska Native alone,11,+/-17,(X),(X),11,+/-17,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,0.0%,+/-85.9,0,+/-24,0.0%,+/-85.9,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-85.9,0,+/-24,0.0%,+/-85.9,0,+/-24,-,**
Asian alone,68,+/-53,(X),(X),14,+/-20,(X),(X),54,+/-40,(X),(X)
High school graduate or higher,39,+/-46,57.4%,+/-44.0,14,+/-20,100.0%,+/-76.1,25,+/-28,46.3%,+/-40.9
Bachelor's degree or higher,39,+/-46,57.4%,+/-44.0,14,+/-20,100.0%,+/-76.1,25,+/-28,46.3%,+/-40.9
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,198,+/-159,(X),(X),107,+/-96,(X),(X),91,+/-76,(X),(X)
High school graduate or higher,9,+/-14,4.5%,+/-8.9,9,+/-14,8.4%,+/-16.8,0,+/-24,0.0%,+/-27.5
Bachelor's degree or higher,0,+/-24,0.0%,+/-14.0,0,+/-24,0.0%,+/-24.1,0,+/-24,0.0%,+/-27.5
Two or more races,141,+/-63,(X),(X),84,+/-45,(X),(X),57,+/-39,(X),(X)
High school graduate or higher,141,+/-63,100.0%,+/-19.0,84,+/-45,100.0%,+/-29.2,57,+/-39,100.0%,+/-37.7
Bachelor's degree or higher,19,+/-23,13.5%,+/-16.3,14,+/-21,16.7%,+/-22.5,5,+/-9,8.8%,+/-18.2
Hispanic or Latino Origin,556,+/-105,(X),(X),264,+/-84,(X),(X),292,+/-74,(X),(X)
High school graduate or higher,204,+/-102,36.7%,+/-20.0,60,+/-42,22.7%,+/-16.0,144,+/-88,49.3%,+/-25.8
Bachelor's degree or higher,33,+/-32,5.9%,+/-5.9,0,+/-24,0.0%,+/-10.7,33,+/-32,11.3%,+/-11.1
