Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,013",+/-138,(X),(X),"1,591",+/-97,(X),(X),"1,422",+/-106,(X),(X)
Less than high school graduate,960,+/-184,31.9%,+/-6.4,654,+/-142,41.1%,+/-9.2,306,+/-98,21.5%,+/-7.0
High school graduate (includes equivalency),998,+/-234,33.1%,+/-7.0,475,+/-171,29.9%,+/-10.0,523,+/-131,36.8%,+/-7.7
Some college or associate's degree,906,+/-156,30.1%,+/-5.2,394,+/-106,24.8%,+/-6.5,512,+/-104,36.0%,+/-7.7
Bachelor's degree or higher,149,+/-96,4.9%,+/-3.2,68,+/-84,4.3%,+/-5.3,81,+/-41,5.7%,+/-3.0
Population 25 years and over,"20,237",+/-150,(X),(X),"9,902",+/-112,(X),(X),"10,335",+/-122,(X),(X)
Less than 9th grade,"3,012",+/-273,14.9%,+/-1.3,"1,593",+/-205,16.1%,+/-2.0,"1,419",+/-180,13.7%,+/-1.7
"9th to 12th grade, no diploma","2,236",+/-264,11.0%,+/-1.3,"1,117",+/-182,11.3%,+/-1.8,"1,119",+/-183,10.8%,+/-1.8
High school graduate (includes equivalency),"6,944",+/-413,34.3%,+/-2.0,"3,422",+/-242,34.6%,+/-2.5,"3,522",+/-304,34.1%,+/-2.9
"Some college, no degree","2,992",+/-281,14.8%,+/-1.4,"1,498",+/-208,15.1%,+/-2.1,"1,494",+/-195,14.5%,+/-1.9
Associate's degree,"2,187",+/-263,10.8%,+/-1.3,972,+/-173,9.8%,+/-1.7,"1,215",+/-196,11.8%,+/-1.9
Bachelor's degree,"1,875",+/-264,9.3%,+/-1.3,833,+/-156,8.4%,+/-1.6,"1,042",+/-183,10.1%,+/-1.8
Graduate or professional degree,991,+/-188,4.9%,+/-0.9,467,+/-104,4.7%,+/-1.0,524,+/-124,5.1%,+/-1.2
Percent high school graduate or higher,(X),(X),74.1%,+/-1.8,(X),(X),72.6%,+/-2.6,(X),(X),75.4%,+/-2.5
Percent bachelor's degree or higher,(X),(X),14.2%,+/-1.4,(X),(X),13.1%,+/-1.8,(X),(X),15.2%,+/-1.8
Population 25 to 34 years,"3,952",+/-107,(X),(X),"2,028",+/-67,(X),(X),"1,924",+/-88,(X),(X)
High school graduate or higher,"2,327",+/-248,58.9%,+/-5.7,"1,178",+/-148,58.1%,+/-6.8,"1,149",+/-150,59.7%,+/-7.1
Bachelor's degree or higher,555,+/-145,14.0%,+/-3.6,215,+/-82,10.6%,+/-4.0,340,+/-95,17.7%,+/-4.9
Population 35 to 44 years,"3,622",+/-106,(X),(X),"1,812",+/-91,(X),(X),"1,810",+/-76,(X),(X)
High school graduate or higher,"2,472",+/-175,68.2%,+/-5.5,"1,216",+/-105,67.1%,+/-5.9,"1,256",+/-141,69.4%,+/-7.6
Bachelor's degree or higher,564,+/-121,15.6%,+/-3.3,239,+/-78,13.2%,+/-4.3,325,+/-82,18.0%,+/-4.6
Population 45 to 64 years,"7,809",+/-109,(X),(X),"3,909",+/-99,(X),(X),"3,900",+/-62,(X),(X)
High school graduate or higher,"6,436",+/-269,82.4%,+/-3.2,"3,129",+/-185,80.0%,+/-4.7,"3,307",+/-153,84.8%,+/-3.3
Bachelor's degree or higher,"1,163",+/-173,14.9%,+/-2.3,563,+/-118,14.4%,+/-3.1,600,+/-121,15.4%,+/-3.1
Population 65 years and over,"4,854",+/-55,(X),(X),"2,153",+/-38,(X),(X),"2,701",+/-29,(X),(X)
High school graduate or higher,"3,754",+/-156,77.3%,+/-3.1,"1,669",+/-110,77.5%,+/-4.9,"2,085",+/-114,77.2%,+/-4.1
Bachelor's degree or higher,584,+/-166,12.0%,+/-3.4,283,+/-92,13.1%,+/-4.2,301,+/-107,11.1%,+/-3.9
