Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,987",+/-141,(X),(X),"1,583",+/-109,(X),(X),"1,404",+/-60,(X),(X)
Less than high school graduate,"1,062",+/-150,35.6%,+/-5.1,618,+/-105,39.0%,+/-7.0,444,+/-102,31.6%,+/-7.2
High school graduate (includes equivalency),930,+/-216,31.1%,+/-6.4,538,+/-154,34.0%,+/-8.4,392,+/-106,27.9%,+/-7.0
Some college or associate's degree,850,+/-144,28.5%,+/-5.1,360,+/-94,22.7%,+/-6.1,490,+/-103,34.9%,+/-7.6
Bachelor's degree or higher,145,+/-80,4.9%,+/-2.7,67,+/-68,4.2%,+/-4.4,78,+/-42,5.6%,+/-3.0
Population 25 years and over,"20,085",+/-148,(X),(X),"9,763",+/-111,(X),(X),"10,322",+/-83,(X),(X)
Less than 9th grade,"3,006",+/-355,15.0%,+/-1.7,"1,559",+/-234,16.0%,+/-2.3,"1,447",+/-185,14.0%,+/-1.8
"9th to 12th grade, no diploma","2,072",+/-239,10.3%,+/-1.2,"1,093",+/-165,11.2%,+/-1.7,979,+/-157,9.5%,+/-1.5
High school graduate (includes equivalency),"7,295",+/-427,36.3%,+/-2.2,"3,547",+/-275,36.3%,+/-2.9,"3,748",+/-281,36.3%,+/-2.7
"Some college, no degree","2,953",+/-264,14.7%,+/-1.3,"1,512",+/-194,15.5%,+/-2.0,"1,441",+/-155,14.0%,+/-1.5
Associate's degree,"1,946",+/-228,9.7%,+/-1.1,766,+/-145,7.8%,+/-1.5,"1,180",+/-161,11.4%,+/-1.6
Bachelor's degree,"1,721",+/-234,8.6%,+/-1.2,764,+/-157,7.8%,+/-1.6,957,+/-152,9.3%,+/-1.5
Graduate or professional degree,"1,092",+/-190,5.4%,+/-0.9,522,+/-135,5.3%,+/-1.4,570,+/-118,5.5%,+/-1.1
Percent high school graduate or higher,(X),(X),74.7%,+/-2.0,(X),(X),72.8%,+/-2.6,(X),(X),76.5%,+/-2.2
Percent bachelor's degree or higher,(X),(X),14.0%,+/-1.5,(X),(X),13.2%,+/-2.0,(X),(X),14.8%,+/-1.7
Population 25 to 34 years,"3,929",+/-109,(X),(X),"2,017",+/-71,(X),(X),"1,912",+/-68,(X),(X)
High school graduate or higher,"2,292",+/-246,58.3%,+/-6.1,"1,124",+/-149,55.7%,+/-7.5,"1,168",+/-153,61.1%,+/-7.6
Bachelor's degree or higher,564,+/-127,14.4%,+/-3.2,204,+/-74,10.1%,+/-3.6,360,+/-92,18.8%,+/-4.7
Population 35 to 44 years,"3,513",+/-59,(X),(X),"1,731",+/-51,(X),(X),"1,782",+/-35,(X),(X)
High school graduate or higher,"2,602",+/-162,74.1%,+/-4.4,"1,241",+/-111,71.7%,+/-6.1,"1,361",+/-100,76.4%,+/-5.3
Bachelor's degree or higher,578,+/-135,16.5%,+/-3.8,268,+/-83,15.5%,+/-4.8,310,+/-75,17.4%,+/-4.2
Population 45 to 64 years,"7,911",+/-112,(X),(X),"3,958",+/-93,(X),(X),"3,953",+/-56,(X),(X)
High school graduate or higher,"6,405",+/-186,81.0%,+/-2.6,"3,150",+/-122,79.6%,+/-3.3,"3,255",+/-122,82.3%,+/-3.2
Bachelor's degree or higher,"1,119",+/-181,14.1%,+/-2.3,547,+/-109,13.8%,+/-2.8,572,+/-128,14.5%,+/-3.2
Population 65 years and over,"4,732",+/-53,(X),(X),"2,057",+/-28,(X),(X),"2,675",+/-33,(X),(X)
High school graduate or higher,"3,708",+/-168,78.4%,+/-3.3,"1,596",+/-119,77.6%,+/-5.6,"2,112",+/-100,79.0%,+/-3.7
Bachelor's degree or higher,552,+/-130,11.7%,+/-2.7,267,+/-83,13.0%,+/-4.0,285,+/-83,10.7%,+/-3.1
