RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"19,483",+/-127,(X),(X),"9,478",+/-77,(X),(X),"10,005",+/-76,(X),(X)
High school graduate or higher,"14,638",+/-391,75.1%,+/-2.0,"6,945",+/-255,73.3%,+/-2.7,"7,693",+/-218,76.9%,+/-2.2
Bachelor's degree or higher,"2,728",+/-310,14.0%,+/-1.6,"1,238",+/-198,13.1%,+/-2.1,"1,490",+/-173,14.9%,+/-1.7
"White alone, not Hispanic or Latino","19,127",+/-24,(X),(X),"9,326",+/-24,(X),(X),"9,801",+/-24,(X),(X)
High school graduate or higher,"14,439",+/-371,75.5%,+/-1.9,"6,902",+/-240,74.0%,+/-2.6,"7,537",+/-210,76.9%,+/-2.1
Bachelor's degree or higher,"2,697",+/-304,14.1%,+/-1.6,"1,238",+/-198,13.3%,+/-2.1,"1,459",+/-169,14.9%,+/-1.7
Black alone,261,+/-56,(X),(X),130,+/-44,(X),(X),131,+/-51,(X),(X)
High school graduate or higher,221,+/-67,84.7%,+/-13.3,90,+/-51,69.2%,+/-25.2,131,+/-51,100.0%,+/-20.3
Bachelor's degree or higher,16,+/-18,6.1%,+/-7.5,16,+/-18,12.3%,+/-13.8,0,+/-24,0.0%,+/-20.3
American Indian or Alaska Native alone,6,+/-12,(X),(X),6,+/-12,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**
Asian alone,80,+/-57,(X),(X),15,+/-22,(X),(X),65,+/-43,(X),(X)
High school graduate or higher,48,+/-49,60.0%,+/-36.3,15,+/-22,100.0%,+/-73.6,33,+/-31,50.8%,+/-34.6
Bachelor's degree or higher,41,+/-49,51.3%,+/-39.6,15,+/-22,100.0%,+/-73.6,26,+/-29,40.0%,+/-35.2
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,190,+/-158,(X),(X),105,+/-85,(X),(X),85,+/-80,(X),(X)
High school graduate or higher,35,+/-32,18.4%,+/-28.1,32,+/-32,30.5%,+/-40.8,3,+/-6,3.5%,+/-10.4
Bachelor's degree or higher,0,+/-24,0.0%,+/-14.6,0,+/-24,0.0%,+/-24.5,0,+/-24,0.0%,+/-28.9
Two or more races,65,+/-41,(X),(X),29,+/-30,(X),(X),36,+/-32,(X),(X)
High school graduate or higher,65,+/-41,100.0%,+/-34.9,29,+/-30,100.0%,+/-52.9,36,+/-32,100.0%,+/-47.5
Bachelor's degree or higher,28,+/-29,43.1%,+/-32.4,17,+/-24,58.6%,+/-46.1,11,+/-15,30.6%,+/-39.0
Hispanic or Latino Origin,546,+/-126,(X),(X),257,+/-97,(X),(X),289,+/-52,(X),(X)
High school graduate or higher,234,+/-98,42.9%,+/-21.6,75,+/-50,29.2%,+/-21.0,159,+/-73,55.0%,+/-25.2
Bachelor's degree or higher,31,+/-36,5.7%,+/-6.1,0,+/-24,0.0%,+/-11.0,31,+/-36,10.7%,+/-11.7
