Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,789,+/-26,(X),(X),394,+/-25,(X),(X),395,+/-13,(X),(X)
Less than high school graduate,163,+/-61,20.7%,+/-7.7,117,+/-53,29.7%,+/-12.6,46,+/-28,11.6%,+/-7.0
High school graduate (includes equivalency),361,+/-74,45.8%,+/-9.5,205,+/-48,52.0%,+/-12.8,156,+/-53,39.5%,+/-13.2
Some college or associate's degree,235,+/-80,29.8%,+/-10.0,72,+/-44,18.3%,+/-11.2,163,+/-61,41.3%,+/-15.4
Bachelor's degree or higher,30,+/-29,3.8%,+/-3.7,0,+/-18,0.0%,+/-7.3,30,+/-29,7.6%,+/-7.3
Population 25 years and over,"7,413",+/-28,(X),(X),"3,728",+/-27,(X),(X),"3,685",+/-28,(X),(X)
Less than 9th grade,358,+/-88,4.8%,+/-1.2,224,+/-70,6.0%,+/-1.9,134,+/-56,3.6%,+/-1.5
"9th to 12th grade, no diploma",925,+/-166,12.5%,+/-2.2,531,+/-114,14.2%,+/-3.0,394,+/-99,10.7%,+/-2.7
High school graduate (includes equivalency),"3,533",+/-229,47.7%,+/-3.1,"1,816",+/-159,48.7%,+/-4.3,"1,717",+/-159,46.6%,+/-4.3
"Some college, no degree","1,352",+/-188,18.2%,+/-2.5,633,+/-143,17.0%,+/-3.8,719,+/-119,19.5%,+/-3.2
Associate's degree,519,+/-124,7.0%,+/-1.7,208,+/-94,5.6%,+/-2.5,311,+/-88,8.4%,+/-2.4
Bachelor's degree,437,+/-111,5.9%,+/-1.5,215,+/-73,5.8%,+/-2.0,222,+/-59,6.0%,+/-1.6
Graduate or professional degree,289,+/-81,3.9%,+/-1.1,101,+/-38,2.7%,+/-1.0,188,+/-71,5.1%,+/-1.9
Percent high school graduate or higher,(X),(X),82.7%,+/-2.5,(X),(X),79.7%,+/-3.2,(X),(X),85.7%,+/-2.8
Percent bachelor's degree or higher,(X),(X),9.8%,+/-1.9,(X),(X),8.5%,+/-2.2,(X),(X),11.1%,+/-2.5
Population 25 to 34 years,"1,137",+/-41,(X),(X),581,+/-26,(X),(X),556,+/-22,(X),(X)
High school graduate or higher,908,+/-105,79.9%,+/-8.8,450,+/-56,77.5%,+/-9.5,458,+/-73,82.4%,+/-12.5
Bachelor's degree or higher,80,+/-41,7.0%,+/-3.7,20,+/-16,3.4%,+/-2.8,60,+/-36,10.8%,+/-6.6
Population 35 to 44 years,"1,249",+/-16,(X),(X),625,+/-5,(X),(X),624,+/-15,(X),(X)
High school graduate or higher,"1,084",+/-62,86.8%,+/-4.8,531,+/-42,85.0%,+/-6.6,553,+/-46,88.6%,+/-7.0
Bachelor's degree or higher,94,+/-49,7.5%,+/-3.9,28,+/-23,4.5%,+/-3.7,66,+/-37,10.6%,+/-6.0
Population 45 to 64 years,"3,200",+/-41,(X),(X),"1,657",+/-23,(X),(X),"1,543",+/-29,(X),(X)
High school graduate or higher,"2,689",+/-121,84.0%,+/-3.8,"1,341",+/-87,80.9%,+/-5.2,"1,348",+/-77,87.4%,+/-4.8
Bachelor's degree or higher,339,+/-87,10.6%,+/-2.7,146,+/-46,8.8%,+/-2.8,193,+/-62,12.5%,+/-3.9
Population 65 years and over,"1,827",+/-24,(X),(X),865,+/-18,(X),(X),962,+/-24,(X),(X)
High school graduate or higher,"1,449",+/-83,79.3%,+/-4.4,651,+/-58,75.3%,+/-6.7,798,+/-54,83.0%,+/-5.1
Bachelor's degree or higher,213,+/-83,11.7%,+/-4.6,122,+/-49,14.1%,+/-5.7,91,+/-56,9.5%,+/-5.8
