RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"7,272",+/-21,(X),(X),"3,684",+/-13,(X),(X),"3,588",+/-17,(X),(X)
High school graduate or higher,"5,999",+/-167,82.5%,+/-2.3,"2,957",+/-114,80.3%,+/-3.1,"3,042",+/-119,84.8%,+/-3.3
Bachelor's degree or higher,771,+/-127,10.6%,+/-1.7,373,+/-84,10.1%,+/-2.3,398,+/-88,11.1%,+/-2.5
"White alone, not Hispanic or Latino","7,251",+/-18,(X),(X),"3,675",+/-18,(X),(X),"3,576",+/-18,(X),(X)
High school graduate or higher,"5,978",+/-170,82.4%,+/-2.3,"2,948",+/-114,80.2%,+/-3.1,"3,030",+/-120,84.7%,+/-3.3
Bachelor's degree or higher,771,+/-127,10.6%,+/-1.7,373,+/-84,10.1%,+/-2.3,398,+/-88,11.1%,+/-2.5
Black alone,19,+/-13,(X),(X),5,+/-7,(X),(X),14,+/-11,(X),(X)
High school graduate or higher,5,+/-7,26.3%,+/-34.2,5,+/-7,100.0%,+/-100.0,0,+/-18,0.0%,+/-76.1
Bachelor's degree or higher,0,+/-18,0.0%,+/-65.4,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-76.1
American Indian or Alaska Native alone,82,+/-43,(X),(X),25,+/-22,(X),(X),57,+/-31,(X),(X)
High school graduate or higher,41,+/-31,50.0%,+/-42.1,6,+/-10,24.0%,+/-45.3,35,+/-32,61.4%,+/-41.3
Bachelor's degree or higher,0,+/-18,0.0%,+/-29.7,0,+/-18,0.0%,+/-57.0,0,+/-18,0.0%,+/-37.7
Asian alone,14,+/-20,(X),(X),7,+/-10,(X),(X),7,+/-10,(X),(X)
High school graduate or higher,14,+/-20,100.0%,+/-76.1,7,+/-10,100.0%,+/-100.0,7,+/-10,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-76.1,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Two or more races,86,+/-47,(X),(X),39,+/-35,(X),(X),47,+/-37,(X),(X)
High school graduate or higher,60,+/-38,69.8%,+/-27.2,20,+/-20,51.3%,+/-46.6,40,+/-33,85.1%,+/-15.6
Bachelor's degree or higher,8,+/-12,9.3%,+/-13.6,0,+/-18,0.0%,+/-45.6,8,+/-12,17.0%,+/-27.1
Hispanic or Latino Origin,58,+/-29,(X),(X),18,+/-17,(X),(X),40,+/-24,(X),(X)
High school graduate or higher,52,+/-28,89.7%,+/-11.2,18,+/-17,100.0%,+/-67.2,34,+/-23,85.0%,+/-18.4
Bachelor's degree or higher,1,+/-4,1.7%,+/-7.3,0,+/-18,0.0%,+/-67.2,1,+/-4,2.5%,+/-11.2
