Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,232",+/-50,(X),(X),"1,184",+/-49,(X),(X),"1,048",+/-9,(X),(X)
Less than high school graduate,698,+/-133,31.3%,+/-5.9,365,+/-92,30.8%,+/-7.5,333,+/-82,31.8%,+/-7.8
High school graduate (includes equivalency),842,+/-135,37.7%,+/-6.1,468,+/-88,39.5%,+/-7.5,374,+/-98,35.7%,+/-9.3
Some college or associate's degree,620,+/-142,27.8%,+/-6.3,315,+/-88,26.6%,+/-7.4,305,+/-107,29.1%,+/-10.2
Bachelor's degree or higher,72,+/-52,3.2%,+/-2.3,36,+/-38,3.0%,+/-3.2,36,+/-37,3.4%,+/-3.5
Population 25 years and over,"18,966",+/-102,(X),(X),"9,316",+/-77,(X),(X),"9,650",+/-94,(X),(X)
Less than 9th grade,968,+/-152,5.1%,+/-0.8,503,+/-108,5.4%,+/-1.2,465,+/-105,4.8%,+/-1.1
"9th to 12th grade, no diploma","1,780",+/-287,9.4%,+/-1.5,"1,025",+/-211,11.0%,+/-2.2,755,+/-165,7.8%,+/-1.7
High school graduate (includes equivalency),"8,656",+/-442,45.6%,+/-2.3,"4,499",+/-250,48.3%,+/-2.7,"4,157",+/-283,43.1%,+/-2.9
"Some college, no degree","3,510",+/-295,18.5%,+/-1.6,"1,516",+/-173,16.3%,+/-1.8,"1,994",+/-252,20.7%,+/-2.6
Associate's degree,"1,642",+/-200,8.7%,+/-1.1,600,+/-149,6.4%,+/-1.6,"1,042",+/-158,10.8%,+/-1.6
Bachelor's degree,"1,399",+/-223,7.4%,+/-1.2,712,+/-178,7.6%,+/-1.9,687,+/-144,7.1%,+/-1.5
Graduate or professional degree,"1,011",+/-195,5.3%,+/-1.0,461,+/-127,4.9%,+/-1.4,550,+/-117,5.7%,+/-1.2
Percent high school graduate or higher,(X),(X),85.5%,+/-1.8,(X),(X),83.6%,+/-2.4,(X),(X),87.4%,+/-2.0
Percent bachelor's degree or higher,(X),(X),12.7%,+/-1.4,(X),(X),12.6%,+/-2.2,(X),(X),12.8%,+/-1.8
Population 25 to 34 years,"3,056",+/-31,(X),(X),"1,549",+/-25,(X),(X),"1,507",+/-15,(X),(X)
High school graduate or higher,"2,801",+/-99,91.7%,+/-3.3,"1,356",+/-81,87.5%,+/-5.4,"1,445",+/-38,95.9%,+/-2.4
Bachelor's degree or higher,482,+/-120,15.8%,+/-3.9,188,+/-84,12.1%,+/-5.5,294,+/-91,19.5%,+/-6.0
Population 35 to 44 years,"3,506",+/-41,(X),(X),"1,796",+/-38,(X),(X),"1,710",+/-24,(X),(X)
High school graduate or higher,"3,082",+/-137,87.9%,+/-3.6,"1,520",+/-103,84.6%,+/-5.4,"1,562",+/-72,91.3%,+/-3.7
Bachelor's degree or higher,567,+/-141,16.2%,+/-4.0,291,+/-110,16.2%,+/-6.0,276,+/-89,16.1%,+/-5.2
Population 45 to 64 years,"8,106",+/-104,(X),(X),"4,032",+/-61,(X),(X),"4,074",+/-83,(X),(X)
High school graduate or higher,"7,053",+/-219,87.0%,+/-2.6,"3,421",+/-141,84.8%,+/-3.3,"3,632",+/-146,89.2%,+/-3.2
Bachelor's degree or higher,926,+/-158,11.4%,+/-2.0,417,+/-122,10.3%,+/-3.1,509,+/-94,12.5%,+/-2.3
Population 65 years and over,"4,298",+/-49,(X),(X),"1,939",+/-30,(X),(X),"2,359",+/-36,(X),(X)
High school graduate or higher,"3,282",+/-142,76.4%,+/-3.2,"1,491",+/-99,76.9%,+/-4.9,"1,791",+/-89,75.9%,+/-3.7
Bachelor's degree or higher,435,+/-100,10.1%,+/-2.3,277,+/-71,14.3%,+/-3.7,158,+/-54,6.7%,+/-2.3
