Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,218",+/-46,(X),(X),"1,187",+/-45,(X),(X),"1,031",+/-7,(X),(X)
Less than high school graduate,628,+/-102,28.3%,+/-4.6,336,+/-66,28.3%,+/-5.4,292,+/-78,28.3%,+/-7.6
High school graduate (includes equivalency),916,+/-152,41.3%,+/-6.9,485,+/-91,40.9%,+/-7.5,431,+/-122,41.8%,+/-11.8
Some college or associate's degree,565,+/-142,25.5%,+/-6.3,294,+/-82,24.8%,+/-6.8,271,+/-118,26.3%,+/-11.4
Bachelor's degree or higher,109,+/-62,4.9%,+/-2.8,72,+/-52,6.1%,+/-4.4,37,+/-35,3.6%,+/-3.4
Population 25 years and over,"19,059",+/-110,(X),(X),"9,354",+/-88,(X),(X),"9,705",+/-96,(X),(X)
Less than 9th grade,901,+/-128,4.7%,+/-0.7,527,+/-104,5.6%,+/-1.1,374,+/-87,3.9%,+/-0.9
"9th to 12th grade, no diploma","1,934",+/-338,10.1%,+/-1.8,"1,020",+/-229,10.9%,+/-2.4,914,+/-198,9.4%,+/-2.0
High school graduate (includes equivalency),"8,653",+/-522,45.4%,+/-2.8,"4,413",+/-315,47.2%,+/-3.4,"4,240",+/-316,43.7%,+/-3.3
"Some college, no degree","3,597",+/-352,18.9%,+/-1.8,"1,637",+/-240,17.5%,+/-2.6,"1,960",+/-241,20.2%,+/-2.4
Associate's degree,"1,671",+/-240,8.8%,+/-1.3,576,+/-139,6.2%,+/-1.5,"1,095",+/-196,11.3%,+/-2.0
Bachelor's degree,"1,425",+/-273,7.5%,+/-1.4,762,+/-185,8.1%,+/-2.0,663,+/-161,6.8%,+/-1.7
Graduate or professional degree,878,+/-192,4.6%,+/-1.0,419,+/-128,4.5%,+/-1.4,459,+/-123,4.7%,+/-1.3
Percent high school graduate or higher,(X),(X),85.1%,+/-1.8,(X),(X),83.5%,+/-2.5,(X),(X),86.7%,+/-2.3
Percent bachelor's degree or higher,(X),(X),12.1%,+/-1.6,(X),(X),12.6%,+/-2.3,(X),(X),11.6%,+/-1.9
Population 25 to 34 years,"3,053",+/-29,(X),(X),"1,556",+/-27,(X),(X),"1,497",+/-8,(X),(X)
High school graduate or higher,"2,812",+/-98,92.1%,+/-3.3,"1,364",+/-89,87.7%,+/-5.7,"1,448",+/-36,96.7%,+/-2.3
Bachelor's degree or higher,502,+/-136,16.4%,+/-4.5,190,+/-86,12.2%,+/-5.5,312,+/-95,20.8%,+/-6.4
Population 35 to 44 years,"3,450",+/-51,(X),(X),"1,769",+/-45,(X),(X),"1,681",+/-21,(X),(X)
High school graduate or higher,"2,977",+/-152,86.3%,+/-4.1,"1,491",+/-112,84.3%,+/-5.8,"1,486",+/-91,88.4%,+/-5.3
Bachelor's degree or higher,539,+/-151,15.6%,+/-4.3,269,+/-110,15.2%,+/-6.1,270,+/-91,16.1%,+/-5.5
Population 45 to 64 years,"8,113",+/-107,(X),(X),"4,020",+/-64,(X),(X),"4,093",+/-91,(X),(X)
High school graduate or higher,"7,035",+/-213,86.7%,+/-2.6,"3,422",+/-129,85.1%,+/-3.3,"3,613",+/-162,88.3%,+/-3.6
Bachelor's degree or higher,862,+/-199,10.6%,+/-2.5,445,+/-153,11.1%,+/-3.8,417,+/-105,10.2%,+/-2.6
Population 65 years and over,"4,443",+/-50,(X),(X),"2,009",+/-32,(X),(X),"2,434",+/-40,(X),(X)
High school graduate or higher,"3,400",+/-164,76.5%,+/-3.6,"1,530",+/-96,76.2%,+/-4.7,"1,870",+/-126,76.8%,+/-4.9
Bachelor's degree or higher,400,+/-120,9.0%,+/-2.7,277,+/-90,13.8%,+/-4.5,123,+/-50,5.1%,+/-2.0
