RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"18,705",+/-52,(X),(X),"9,170",+/-34,(X),(X),"9,535",+/-67,(X),(X)
High school graduate or higher,"15,996",+/-333,85.5%,+/-1.8,"7,681",+/-222,83.8%,+/-2.4,"8,315",+/-196,87.2%,+/-2.0
Bachelor's degree or higher,"2,396",+/-265,12.8%,+/-1.4,"1,159",+/-205,12.6%,+/-2.2,"1,237",+/-176,13.0%,+/-1.9
"White alone, not Hispanic or Latino","18,552",+/-18,(X),(X),"9,106",+/-21,(X),(X),"9,446",+/-18,(X),(X)
High school graduate or higher,"15,851",+/-334,85.4%,+/-1.8,"7,617",+/-218,83.6%,+/-2.4,"8,234",+/-196,87.2%,+/-2.1
Bachelor's degree or higher,"2,369",+/-267,12.8%,+/-1.4,"1,132",+/-205,12.4%,+/-2.3,"1,237",+/-176,13.1%,+/-1.9
Black alone,9,+/-8,(X),(X),9,+/-8,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,5,+/-8,55.6%,+/-55.6,5,+/-8,55.6%,+/-55.6,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-95.0,0,+/-21,0.0%,+/-95.0,0,+/-21,-,**
American Indian or Alaska Native alone,42,+/-52,(X),(X),31,+/-47,(X),(X),11,+/-21,(X),(X)
High school graduate or higher,42,+/-52,100.0%,+/-44.0,31,+/-47,100.0%,+/-51.2,11,+/-21,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-44.0,0,+/-21,0.0%,+/-51.2,0,+/-21,0.0%,+/-85.9
Asian alone,40,+/-35,(X),(X),26,+/-27,(X),(X),14,+/-11,(X),(X)
High school graduate or higher,32,+/-26,80.0%,+/-16.5,18,+/-17,69.2%,+/-19.2,14,+/-11,100.0%,+/-76.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-45.1,0,+/-21,0.0%,+/-55.9,0,+/-21,0.0%,+/-76.1
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,12,+/-18,(X),(X),0,+/-21,(X),(X),12,+/-18,(X),(X)
High school graduate or higher,12,+/-18,100.0%,+/-82.2,0,+/-21,-,**,12,+/-18,100.0%,+/-82.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-82.3,0,+/-21,-,**,0,+/-21,0.0%,+/-82.3
Two or more races,158,+/-76,(X),(X),80,+/-55,(X),(X),78,+/-57,(X),(X)
High school graduate or higher,131,+/-70,82.9%,+/-22.7,53,+/-42,66.3%,+/-39.2,78,+/-57,100.0%,+/-30.9
Bachelor's degree or higher,14,+/-20,8.9%,+/-13.1,14,+/-20,17.5%,+/-24.5,0,+/-21,0.0%,+/-30.9
Hispanic or Latino Origin,153,+/-48,(X),(X),64,+/-34,(X),(X),89,+/-64,(X),(X)
High school graduate or higher,145,+/-48,94.8%,+/-7.1,64,+/-34,100.0%,+/-35.3,81,+/-64,91.0%,+/-15.4
Bachelor's degree or higher,27,+/-36,17.6%,+/-22.8,27,+/-36,42.2%,+/-40.1,0,+/-21,0.0%,+/-27.9
