RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"18,802",+/-47,(X),(X),"9,220",+/-40,(X),(X),"9,582",+/-71,(X),(X)
High school graduate or higher,"16,014",+/-355,85.2%,+/-1.9,"7,720",+/-232,83.7%,+/-2.5,"8,294",+/-227,86.6%,+/-2.3
Bachelor's degree or higher,"2,274",+/-304,12.1%,+/-1.6,"1,157",+/-211,12.5%,+/-2.3,"1,117",+/-186,11.7%,+/-1.9
"White alone, not Hispanic or Latino","18,640",+/-20,(X),(X),"9,155",+/-21,(X),(X),"9,485",+/-20,(X),(X)
High school graduate or higher,"15,856",+/-351,85.1%,+/-1.9,"7,655",+/-233,83.6%,+/-2.5,"8,201",+/-224,86.5%,+/-2.3
Bachelor's degree or higher,"2,243",+/-308,12.0%,+/-1.7,"1,126",+/-211,12.3%,+/-2.3,"1,117",+/-186,11.8%,+/-2.0
Black alone,16,+/-14,(X),(X),16,+/-14,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,8,+/-14,50.0%,+/-50.0,8,+/-14,50.0%,+/-50.0,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-71.2,0,+/-21,0.0%,+/-71.2,0,+/-21,-,**
American Indian or Alaska Native alone,14,+/-25,(X),(X),0,+/-21,(X),(X),14,+/-25,(X),(X)
High school graduate or higher,14,+/-25,100.0%,+/-76.1,0,+/-21,-,**,14,+/-25,100.0%,+/-76.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-76.1,0,+/-21,-,**,0,+/-21,0.0%,+/-76.1
Asian alone,36,+/-30,(X),(X),19,+/-24,(X),(X),17,+/-12,(X),(X)
High school graduate or higher,30,+/-23,83.3%,+/-15.6,13,+/-16,68.4%,+/-22.8,17,+/-12,100.0%,+/-69.1
Bachelor's degree or higher,5,+/-7,13.9%,+/-24.1,0,+/-21,0.0%,+/-65.4,5,+/-7,29.4%,+/-41.6
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,14,+/-20,(X),(X),0,+/-21,(X),(X),14,+/-20,(X),(X)
High school graduate or higher,14,+/-20,100.0%,+/-76.1,0,+/-21,-,**,14,+/-20,100.0%,+/-76.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-76.1,0,+/-21,-,**,0,+/-21,0.0%,+/-76.1
Two or more races,177,+/-91,(X),(X),99,+/-63,(X),(X),78,+/-59,(X),(X)
High school graduate or higher,144,+/-79,81.4%,+/-24.4,66,+/-51,66.7%,+/-41.0,78,+/-59,100.0%,+/-30.9
Bachelor's degree or higher,24,+/-32,13.6%,+/-16.8,24,+/-32,24.2%,+/-30.4,0,+/-21,0.0%,+/-30.9
Hispanic or Latino Origin,162,+/-41,(X),(X),65,+/-40,(X),(X),97,+/-66,(X),(X)
High school graduate or higher,158,+/-42,97.5%,+/-4.3,65,+/-40,100.0%,+/-34.9,93,+/-68,95.9%,+/-8.7
Bachelor's degree or higher,31,+/-35,19.1%,+/-22.4,31,+/-35,47.7%,+/-34.2,0,+/-21,0.0%,+/-26.1
