Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,352",+/-49,(X),(X),726,+/-28,(X),(X),626,+/-46,(X),(X)
Less than high school graduate,271,+/-83,20.0%,+/-6.0,155,+/-58,21.3%,+/-8.1,116,+/-55,18.5%,+/-7.9
High school graduate (includes equivalency),511,+/-94,37.8%,+/-6.8,308,+/-74,42.4%,+/-10.0,203,+/-50,32.4%,+/-8.1
Some college or associate's degree,504,+/-89,37.3%,+/-6.9,244,+/-77,33.6%,+/-10.4,260,+/-56,41.5%,+/-9.5
Bachelor's degree or higher,66,+/-37,4.9%,+/-2.7,19,+/-18,2.6%,+/-2.5,47,+/-29,7.5%,+/-4.6
Population 25 years and over,"11,569",+/-83,(X),(X),"5,622",+/-68,(X),(X),"5,947",+/-48,(X),(X)
Less than 9th grade,516,+/-104,4.5%,+/-0.9,325,+/-76,5.8%,+/-1.4,191,+/-60,3.2%,+/-1.0
"9th to 12th grade, no diploma",876,+/-124,7.6%,+/-1.1,436,+/-88,7.8%,+/-1.6,440,+/-97,7.4%,+/-1.6
High school graduate (includes equivalency),"5,111",+/-254,44.2%,+/-2.2,"2,662",+/-190,47.3%,+/-3.3,"2,449",+/-172,41.2%,+/-2.8
"Some college, no degree","2,466",+/-242,21.3%,+/-2.1,"1,248",+/-169,22.2%,+/-3.0,"1,218",+/-154,20.5%,+/-2.6
Associate's degree,927,+/-154,8.0%,+/-1.3,336,+/-98,6.0%,+/-1.7,591,+/-104,9.9%,+/-1.7
Bachelor's degree,"1,067",+/-136,9.2%,+/-1.2,379,+/-79,6.7%,+/-1.4,688,+/-101,11.6%,+/-1.7
Graduate or professional degree,606,+/-130,5.2%,+/-1.1,236,+/-66,4.2%,+/-1.2,370,+/-91,6.2%,+/-1.5
Percent high school graduate or higher,(X),(X),88.0%,+/-1.5,(X),(X),86.5%,+/-2.0,(X),(X),89.4%,+/-1.9
Percent bachelor's degree or higher,(X),(X),14.5%,+/-1.6,(X),(X),10.9%,+/-1.9,(X),(X),17.8%,+/-2.2
Population 25 to 34 years,"1,798",+/-62,(X),(X),918,+/-37,(X),(X),880,+/-37,(X),(X)
High school graduate or higher,"1,614",+/-79,89.8%,+/-3.2,780,+/-59,85.0%,+/-5.4,834,+/-43,94.8%,+/-2.8
Bachelor's degree or higher,370,+/-84,20.6%,+/-4.7,140,+/-53,15.3%,+/-5.6,230,+/-58,26.1%,+/-6.7
Population 35 to 44 years,"1,981",+/-87,(X),(X),989,+/-63,(X),(X),992,+/-36,(X),(X)
High school graduate or higher,"1,848",+/-99,93.3%,+/-2.9,905,+/-72,91.5%,+/-4.3,943,+/-50,95.1%,+/-3.6
Bachelor's degree or higher,339,+/-86,17.1%,+/-4.3,96,+/-49,9.7%,+/-4.9,243,+/-63,24.5%,+/-6.3
Population 45 to 64 years,"4,619",+/-40,(X),(X),"2,311",+/-21,(X),(X),"2,308",+/-35,(X),(X)
High school graduate or higher,"4,162",+/-86,90.1%,+/-1.7,"2,055",+/-67,88.9%,+/-2.7,"2,107",+/-61,91.3%,+/-2.4
Bachelor's degree or higher,686,+/-113,14.9%,+/-2.4,242,+/-68,10.5%,+/-2.9,444,+/-88,19.2%,+/-3.8
Population 65 years and over,"3,171",+/-23,(X),(X),"1,404",+/-16,(X),(X),"1,767",+/-17,(X),(X)
High school graduate or higher,"2,553",+/-108,80.5%,+/-3.3,"1,121",+/-63,79.8%,+/-4.4,"1,432",+/-81,81.0%,+/-4.5
Bachelor's degree or higher,278,+/-70,8.8%,+/-2.2,137,+/-45,9.8%,+/-3.2,141,+/-49,8.0%,+/-2.7
