RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"11,384",+/-41,(X),(X),"5,507",+/-42,(X),(X),"5,877",+/-28,(X),(X)
High school graduate or higher,"10,016",+/-171,88.0%,+/-1.5,"4,770",+/-115,86.6%,+/-2.1,"5,246",+/-115,89.3%,+/-1.9
Bachelor's degree or higher,"1,636",+/-185,14.4%,+/-1.6,586,+/-108,10.6%,+/-1.9,"1,050",+/-126,17.9%,+/-2.2
"White alone, not Hispanic or Latino","11,201",+/-18,(X),(X),"5,430",+/-18,(X),(X),"5,771",+/-18,(X),(X)
High school graduate or higher,"9,854",+/-168,88.0%,+/-1.5,"4,698",+/-114,86.5%,+/-2.1,"5,156",+/-110,89.3%,+/-1.9
Bachelor's degree or higher,"1,627",+/-186,14.5%,+/-1.7,586,+/-108,10.8%,+/-2.0,"1,041",+/-128,18.0%,+/-2.2
Black alone,35,+/-33,(X),(X),26,+/-24,(X),(X),9,+/-13,(X),(X)
High school graduate or higher,30,+/-32,85.7%,+/-27.8,21,+/-22,80.8%,+/-35.3,9,+/-13,100.0%,+/-95.0
Bachelor's degree or higher,5,+/-9,14.3%,+/-26.2,5,+/-9,19.2%,+/-34.4,0,+/-18,0.0%,+/-95.0
American Indian or Alaska Native alone,41,+/-32,(X),(X),15,+/-18,(X),(X),26,+/-27,(X),(X)
High school graduate or higher,41,+/-32,100.0%,+/-44.5,15,+/-18,100.0%,+/-73.6,26,+/-27,100.0%,+/-55.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-44.5,0,+/-18,0.0%,+/-73.6,0,+/-18,0.0%,+/-55.9
Asian alone,28,+/-32,(X),(X),20,+/-25,(X),(X),8,+/-16,(X),(X)
High school graduate or higher,28,+/-32,100.0%,+/-53.8,20,+/-25,100.0%,+/-63.7,8,+/-16,100.0%,+/-100.0
Bachelor's degree or higher,28,+/-32,100.0%,+/-53.8,20,+/-25,100.0%,+/-63.7,8,+/-16,100.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,30,+/-32,(X),(X),19,+/-21,(X),(X),11,+/-16,(X),(X)
High school graduate or higher,11,+/-16,36.7%,+/-31.6,0,+/-18,0.0%,+/-65.4,11,+/-16,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-52.0,0,+/-18,0.0%,+/-65.4,0,+/-18,0.0%,+/-85.9
Two or more races,51,+/-57,(X),(X),35,+/-41,(X),(X),16,+/-24,(X),(X)
High school graduate or higher,51,+/-57,100.0%,+/-39.9,35,+/-41,100.0%,+/-48.2,16,+/-24,100.0%,+/-71.2
Bachelor's degree or higher,4,+/-6,7.8%,+/-16.0,4,+/-6,11.4%,+/-21.6,0,+/-18,0.0%,+/-71.2
Hispanic or Latino Origin,219,+/-26,(X),(X),102,+/-35,(X),(X),117,+/-30,(X),(X)
High school graduate or higher,179,+/-41,81.7%,+/-14.7,78,+/-43,76.5%,+/-24.4,101,+/-31,86.3%,+/-13.0
Bachelor's degree or higher,9,+/-14,4.1%,+/-6.5,0,+/-18,0.0%,+/-25.1,9,+/-14,7.7%,+/-11.6
