Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,333",+/-54,(X),(X),717,+/-29,(X),(X),616,+/-42,(X),(X)
Less than high school graduate,309,+/-71,23.2%,+/-5.2,198,+/-67,27.6%,+/-9.6,111,+/-50,18.0%,+/-7.2
High school graduate (includes equivalency),443,+/-97,33.2%,+/-7.1,246,+/-78,34.3%,+/-10.6,197,+/-52,32.0%,+/-8.9
Some college or associate's degree,505,+/-101,37.9%,+/-7.4,254,+/-72,35.4%,+/-9.7,251,+/-64,40.7%,+/-10.5
Bachelor's degree or higher,76,+/-39,5.7%,+/-3.0,19,+/-17,2.6%,+/-2.4,57,+/-35,9.3%,+/-5.8
Population 25 years and over,"11,656",+/-84,(X),(X),"5,663",+/-75,(X),(X),"5,993",+/-47,(X),(X)
Less than 9th grade,501,+/-97,4.3%,+/-0.8,294,+/-82,5.2%,+/-1.4,207,+/-55,3.5%,+/-0.9
"9th to 12th grade, no diploma",937,+/-138,8.0%,+/-1.2,457,+/-86,8.1%,+/-1.5,480,+/-93,8.0%,+/-1.6
High school graduate (includes equivalency),"5,147",+/-256,44.2%,+/-2.2,"2,589",+/-174,45.7%,+/-3.1,"2,558",+/-168,42.7%,+/-2.7
"Some college, no degree","2,614",+/-204,22.4%,+/-1.7,"1,336",+/-165,23.6%,+/-2.8,"1,278",+/-115,21.3%,+/-1.9
Associate's degree,868,+/-162,7.4%,+/-1.4,354,+/-97,6.3%,+/-1.7,514,+/-108,8.6%,+/-1.8
Bachelor's degree,"1,049",+/-155,9.0%,+/-1.3,422,+/-89,7.5%,+/-1.6,627,+/-121,10.5%,+/-2.0
Graduate or professional degree,540,+/-99,4.6%,+/-0.9,211,+/-59,3.7%,+/-1.0,329,+/-79,5.5%,+/-1.3
Percent high school graduate or higher,(X),(X),87.7%,+/-1.6,(X),(X),86.7%,+/-2.3,(X),(X),88.5%,+/-2.1
Percent bachelor's degree or higher,(X),(X),13.6%,+/-1.5,(X),(X),11.2%,+/-1.9,(X),(X),16.0%,+/-2.2
Population 25 to 34 years,"1,809",+/-72,(X),(X),932,+/-53,(X),(X),877,+/-41,(X),(X)
High school graduate or higher,"1,631",+/-100,90.2%,+/-4.0,827,+/-70,88.7%,+/-5.3,804,+/-56,91.7%,+/-4.4
Bachelor's degree or higher,327,+/-100,18.1%,+/-5.5,124,+/-55,13.3%,+/-5.8,203,+/-67,23.1%,+/-7.7
Population 35 to 44 years,"2,064",+/-74,(X),(X),"1,032",+/-54,(X),(X),"1,032",+/-31,(X),(X)
High school graduate or higher,"1,907",+/-92,92.4%,+/-2.9,934,+/-70,90.5%,+/-4.5,973,+/-40,94.3%,+/-2.8
Bachelor's degree or higher,391,+/-84,18.9%,+/-4.1,141,+/-56,13.7%,+/-5.4,250,+/-66,24.2%,+/-6.5
Population 45 to 64 years,"4,658",+/-35,(X),(X),"2,328",+/-22,(X),(X),"2,330",+/-24,(X),(X)
High school graduate or higher,"4,170",+/-95,89.5%,+/-2.0,"2,074",+/-67,89.1%,+/-2.9,"2,096",+/-65,90.0%,+/-2.8
Bachelor's degree or higher,617,+/-125,13.2%,+/-2.7,241,+/-59,10.4%,+/-2.5,376,+/-99,16.1%,+/-4.3
Population 65 years and over,"3,125",+/-24,(X),(X),"1,371",+/-15,(X),(X),"1,754",+/-18,(X),(X)
High school graduate or higher,"2,510",+/-111,80.3%,+/-3.5,"1,077",+/-71,78.6%,+/-5.2,"1,433",+/-84,81.7%,+/-4.6
Bachelor's degree or higher,254,+/-64,8.1%,+/-2.1,127,+/-44,9.3%,+/-3.2,127,+/-45,7.2%,+/-2.5
